Year,Metric,GeoAreaName,Value
2006,Regulatory Quality,Kyrgyzstan,-0.656034946
2005,Regulatory Quality,Kyrgyzstan,-1.008081913
2004,Regulatory Quality,Kyrgyzstan,-0.389383018
2003,Regulatory Quality,Kyrgyzstan,-0.405866712
2002,Regulatory Quality,Kyrgyzstan,-0.140870079
2000,Regulatory Quality,Kyrgyzstan,-0.234089404
1998,Regulatory Quality,Kyrgyzstan,-0.188530892
1996,Regulatory Quality,Kyrgyzstan,-0.298121572
2021,Regulatory Quality,Lithuania,1.276888251
2020,Regulatory Quality,Lithuania,1.090660095
2019,Regulatory Quality,Lithuania,1.155692458
2018,Regulatory Quality,Lithuania,1.100566149
2017,Regulatory Quality,Lithuania,1.154124022
2016,Regulatory Quality,Lithuania,1.132786036
2015,Regulatory Quality,Lithuania,1.272503018
2014,Regulatory Quality,Lithuania,1.188768387
2013,Regulatory Quality,Lithuania,1.147009254
2012,Regulatory Quality,Lithuania,1.117751122
2011,Regulatory Quality,Lithuania,0.926461577
2010,Regulatory Quality,Lithuania,0.960122764
2009,Regulatory Quality,Lithuania,0.951837957
2008,Regulatory Quality,Lithuania,1.042177677
2007,Regulatory Quality,Lithuania,1.010036111
2006,Regulatory Quality,Lithuania,0.973231792
2005,Regulatory Quality,Lithuania,0.936665177
2004,Regulatory Quality,Lithuania,1.058151603
2003,Regulatory Quality,Lithuania,1.038295269
2002,Regulatory Quality,Lithuania,1.077029228
2000,Regulatory Quality,Lithuania,0.714432061
1998,Regulatory Quality,Lithuania,0.91604811
1996,Regulatory Quality,Lithuania,1.076940894
2021,Regulatory Quality,Luxembourg,1.915203333
2020,Regulatory Quality,Luxembourg,1.847934842
2019,Regulatory Quality,Luxembourg,1.698431134
2018,Regulatory Quality,Luxembourg,1.756064296
2017,Regulatory Quality,Luxembourg,1.689293742
2016,Regulatory Quality,Luxembourg,1.718979716
2015,Regulatory Quality,Luxembourg,1.65323925
2014,Regulatory Quality,Luxembourg,1.625041127
2013,Regulatory Quality,Luxembourg,1.770977259
2012,Regulatory Quality,Luxembourg,1.759886026
2011,Regulatory Quality,Luxembourg,1.85898304
2010,Regulatory Quality,Luxembourg,1.673909426
2009,Regulatory Quality,Luxembourg,1.643333912
2008,Regulatory Quality,Luxembourg,1.658034682
2007,Regulatory Quality,Luxembourg,1.737618685
2006,Regulatory Quality,Luxembourg,1.674869657
2005,Regulatory Quality,Luxembourg,1.638608694
2004,Regulatory Quality,Luxembourg,1.784244657
2003,Regulatory Quality,Luxembourg,1.788604856
2002,Regulatory Quality,Luxembourg,1.864336729
2000,Regulatory Quality,Luxembourg,1.849446416
1998,Regulatory Quality,Luxembourg,1.491168499
1996,Regulatory Quality,Luxembourg,1.757416725
2021,Regulatory Quality,Latvia,1.223477721
2020,Regulatory Quality,Latvia,1.190822363
2019,Regulatory Quality,Latvia,1.191028714
2018,Regulatory Quality,Latvia,1.140990019
2017,Regulatory Quality,Latvia,1.152490377
2016,Regulatory Quality,Latvia,1.076778889
2015,Regulatory Quality,Latvia,1.084394813
2014,Regulatory Quality,Latvia,1.166745305
2013,Regulatory Quality,Latvia,1.037102938
2012,Regulatory Quality,Latvia,1.010626793
2011,Regulatory Quality,Latvia,0.954886913
2010,Regulatory Quality,Latvia,0.928532481
2009,Regulatory Quality,Latvia,0.922658324
2008,Regulatory Quality,Latvia,0.966387451
2007,Regulatory Quality,Latvia,0.954827309
2006,Regulatory Quality,Latvia,0.933780432
2005,Regulatory Quality,Latvia,0.874489903
2004,Regulatory Quality,Latvia,0.921956718
2003,Regulatory Quality,Latvia,0.954042315
2002,Regulatory Quality,Latvia,0.883539677
2000,Regulatory Quality,Latvia,0.69623071
1998,Regulatory Quality,Latvia,0.83918637
1996,Regulatory Quality,Latvia,0.904138863
2021,Regulatory Quality,Moldova,0.013904043
2020,Regulatory Quality,Moldova,0.002466966
2019,Regulatory Quality,Moldova,-0.035521571
2018,Regulatory Quality,Moldova,-0.020723321
2017,Regulatory Quality,Moldova,-0.034842685
2016,Regulatory Quality,Moldova,-0.123699941
2015,Regulatory Quality,Moldova,-0.06467668
2014,Regulatory Quality,Moldova,0.014869669
2013,Regulatory Quality,Moldova,-0.085767806
2012,Regulatory Quality,Moldova,-0.11593055
2011,Regulatory Quality,Moldova,-0.103003003
2010,Regulatory Quality,Moldova,-0.132566243
2009,Regulatory Quality,Moldova,-0.144404069
2008,Regulatory Quality,Moldova,-0.201783881
2007,Regulatory Quality,Moldova,-0.283888221
2006,Regulatory Quality,Moldova,-0.348091394
2005,Regulatory Quality,Moldova,-0.460677326
2004,Regulatory Quality,Moldova,-0.430486381
2003,Regulatory Quality,Moldova,-0.41021201
2002,Regulatory Quality,Moldova,-0.403108656
2000,Regulatory Quality,Moldova,-0.13722226
1998,Regulatory Quality,Moldova,-0.106951557
1996,Regulatory Quality,Moldova,-0.066545919
2021,Regulatory Quality,North Macedonia,0.41672489
2020,Regulatory Quality,North Macedonia,0.448257148
2019,Regulatory Quality,North Macedonia,0.452311516
2018,Regulatory Quality,North Macedonia,0.52442342
2017,Regulatory Quality,North Macedonia,0.454407305
2016,Regulatory Quality,North Macedonia,0.392085105
2015,Regulatory Quality,North Macedonia,0.373514771
2014,Regulatory Quality,North Macedonia,0.421686172
2013,Regulatory Quality,North Macedonia,0.247319892
2012,Regulatory Quality,North Macedonia,0.264106423
2011,Regulatory Quality,North Macedonia,0.215584025
2010,Regulatory Quality,North Macedonia,0.237565532
2009,Regulatory Quality,North Macedonia,0.194719598
2008,Regulatory Quality,North Macedonia,0.119425923
2007,Regulatory Quality,North Macedonia,0.042447865
2006,Regulatory Quality,North Macedonia,-0.09363433
2005,Regulatory Quality,North Macedonia,-0.232430562
2004,Regulatory Quality,North Macedonia,0.020573849
2003,Regulatory Quality,North Macedonia,-0.173230603
2002,Regulatory Quality,North Macedonia,-0.161741629
2000,Regulatory Quality,North Macedonia,-0.258749276
1998,Regulatory Quality,North Macedonia,-0.365546852
1996,Regulatory Quality,North Macedonia,-0.348028451
2021,Regulatory Quality,Malta,0.813723207
2020,Regulatory Quality,Malta,1.222333431
2019,Regulatory Quality,Malta,0.953892291
2018,Regulatory Quality,Malta,1.335242867
2017,Regulatory Quality,Malta,1.280290246
2016,Regulatory Quality,Malta,1.153371334
2015,Regulatory Quality,Malta,1.164396167
2014,Regulatory Quality,Malta,1.078362703
2013,Regulatory Quality,Malta,1.290717721
2012,Regulatory Quality,Malta,1.321319699
2011,Regulatory Quality,Malta,1.334326267
2010,Regulatory Quality,Malta,1.42860508
2009,Regulatory Quality,Malta,1.364444613
2008,Regulatory Quality,Malta,1.201978564
2007,Regulatory Quality,Malta,1.144415736
2006,Regulatory Quality,Malta,1.114864707
2005,Regulatory Quality,Malta,1.060323238
2004,Regulatory Quality,Malta,1.124591827
2003,Regulatory Quality,Malta,1.148790598
2002,Regulatory Quality,Malta,1.060881257
2000,Regulatory Quality,Malta,1.100150585
1998,Regulatory Quality,Malta,1.012163877
1996,Regulatory Quality,Malta,0.967723608
2021,Regulatory Quality,Montenegro,0.43062079
2020,Regulatory Quality,Montenegro,0.437879831
2019,Regulatory Quality,Montenegro,0.408847392
2018,Regulatory Quality,Montenegro,0.402972072
2017,Regulatory Quality,Montenegro,0.336299419
2016,Regulatory Quality,Montenegro,0.243920729
2015,Regulatory Quality,Montenegro,0.241498619
2014,Regulatory Quality,Montenegro,0.175064266
2013,Regulatory Quality,Montenegro,0.093567498
2012,Regulatory Quality,Montenegro,0.034414675
2011,Regulatory Quality,Montenegro,0.000100756
2010,Regulatory Quality,Montenegro,-0.007252727
2009,Regulatory Quality,Montenegro,0.029315198
2008,Regulatory Quality,Montenegro,-0.070495389
2007,Regulatory Quality,Montenegro,-0.127576694
2006,Regulatory Quality,Montenegro,-0.549078822
2005,Regulatory Quality,Montenegro,-0.132531121
2021,Regulatory Quality,Netherlands,1.752583385
2020,Regulatory Quality,Netherlands,1.758723021
2019,Regulatory Quality,Netherlands,1.859692931
2018,Regulatory Quality,Netherlands,2.01860261
2017,Regulatory Quality,Netherlands,2.04545331
2016,Regulatory Quality,Netherlands,1.973211288
2015,Regulatory Quality,Netherlands,1.794146419
2014,Regulatory Quality,Netherlands,1.7631253
2013,Regulatory Quality,Netherlands,1.760917544
2012,Regulatory Quality,Netherlands,1.745505095
2011,Regulatory Quality,Netherlands,1.804837584
2010,Regulatory Quality,Netherlands,1.729081273
2009,Regulatory Quality,Netherlands,1.697055578
2008,Regulatory Quality,Netherlands,1.775118947
2007,Regulatory Quality,Netherlands,1.800438523
2006,Regulatory Quality,Netherlands,1.682605624
2005,Regulatory Quality,Netherlands,1.654107094
2004,Regulatory Quality,Netherlands,1.765661716
2003,Regulatory Quality,Netherlands,1.718166828
2002,Regulatory Quality,Netherlands,1.819209218
2000,Regulatory Quality,Netherlands,2.025181293
1998,Regulatory Quality,Netherlands,1.862751842
1996,Regulatory Quality,Netherlands,1.8410604
2021,Regulatory Quality,Norway,1.635414124
2020,Regulatory Quality,Norway,1.703167439
2019,Regulatory Quality,Norway,1.802645683
2018,Regulatory Quality,Norway,1.789726734
2017,Regulatory Quality,Norway,1.811427236
2016,Regulatory Quality,Norway,1.69484961
2015,Regulatory Quality,Norway,1.602116466
2014,Regulatory Quality,Norway,1.640582204
2013,Regulatory Quality,Norway,1.657411098
2012,Regulatory Quality,Norway,1.539739251
2011,Regulatory Quality,Norway,1.602969527
2010,Regulatory Quality,Norway,1.511984587
2009,Regulatory Quality,Norway,1.464951038
2008,Regulatory Quality,Norway,1.372900724
2007,Regulatory Quality,Norway,1.329770327
2006,Regulatory Quality,Norway,1.220952749
2005,Regulatory Quality,Norway,1.478502393
2004,Regulatory Quality,Norway,1.439240694
2003,Regulatory Quality,Norway,1.307568908
2002,Regulatory Quality,Norway,1.220713973
2000,Regulatory Quality,Norway,1.107441306
1998,Regulatory Quality,Norway,1.407007694
1996,Regulatory Quality,Norway,1.531025887
2021,Regulatory Quality,Poland,0.840023577
2020,Regulatory Quality,Poland,0.861159921
2019,Regulatory Quality,Poland,1.021948099
2018,Regulatory Quality,Poland,0.882684767
2017,Regulatory Quality,Poland,0.815237224
2016,Regulatory Quality,Poland,0.914959908
2015,Regulatory Quality,Poland,0.965730309
2014,Regulatory Quality,Poland,1.063315392
2013,Regulatory Quality,Poland,1.05261457
2012,Regulatory Quality,Poland,0.996395767
2011,Regulatory Quality,Poland,0.958582044
2010,Regulatory Quality,Poland,1.023158789
2009,Regulatory Quality,Poland,0.976622403
2008,Regulatory Quality,Poland,0.844261587
2007,Regulatory Quality,Poland,0.768656671
2006,Regulatory Quality,Poland,0.701598585
2005,Regulatory Quality,Poland,0.812517762
2004,Regulatory Quality,Poland,0.75869143
2003,Regulatory Quality,Poland,0.694821358
2002,Regulatory Quality,Poland,0.650061429
2000,Regulatory Quality,Poland,0.704200506
1998,Regulatory Quality,Poland,0.616440833
1996,Regulatory Quality,Poland,0.724792421
2021,Regulatory Quality,Portugal,0.736070037
2020,Regulatory Quality,Portugal,0.834571183
2019,Regulatory Quality,Portugal,0.967999637
2018,Regulatory Quality,Portugal,0.883467257
2017,Regulatory Quality,Portugal,0.90679121
2016,Regulatory Quality,Portugal,0.840800703
2015,Regulatory Quality,Portugal,0.952535808
2014,Regulatory Quality,Portugal,0.745933354
2013,Regulatory Quality,Portugal,0.798301339
2012,Regulatory Quality,Portugal,0.821372986
2011,Regulatory Quality,Portugal,0.62163049
2010,Regulatory Quality,Portugal,0.717936516
2009,Regulatory Quality,Portugal,0.98944813
2008,Regulatory Quality,Portugal,1.100550771
2007,Regulatory Quality,Portugal,1.081407785
2006,Regulatory Quality,Portugal,1.064929008
2005,Regulatory Quality,Portugal,1.279269099
2004,Regulatory Quality,Portugal,1.187247157
2003,Regulatory Quality,Portugal,1.222377777
2002,Regulatory Quality,Portugal,1.247205257
2000,Regulatory Quality,Portugal,0.919032693
1998,Regulatory Quality,Portugal,1.085837483
1996,Regulatory Quality,Portugal,1.219081879
2021,Regulatory Quality,Romania,0.30902037
2020,Regulatory Quality,Romania,0.360423952
2019,Regulatory Quality,Romania,0.459240168
2018,Regulatory Quality,Romania,0.417061269
2017,Regulatory Quality,Romania,0.445294321
2016,Regulatory Quality,Romania,0.575496197
2015,Regulatory Quality,Romania,0.581416547
2014,Regulatory Quality,Romania,0.600805342
2013,Regulatory Quality,Romania,0.634414732
2012,Regulatory Quality,Romania,0.564533114
2011,Regulatory Quality,Romania,0.687459826
2010,Regulatory Quality,Romania,0.67256701
2009,Regulatory Quality,Romania,0.617714942
2008,Regulatory Quality,Romania,0.597521305
2007,Regulatory Quality,Romania,0.506391943
2006,Regulatory Quality,Romania,0.441958904
2005,Regulatory Quality,Romania,0.242886126
2004,Regulatory Quality,Romania,0.180780634
2003,Regulatory Quality,Romania,-0.051850341
2002,Regulatory Quality,Romania,0.045701791
2000,Regulatory Quality,Romania,-0.104750372
1998,Regulatory Quality,Romania,0.211220115
1996,Regulatory Quality,Romania,0.026118133
2021,Regulatory Quality,Serbia,0.052124023
2020,Regulatory Quality,Serbia,0.094855107
2019,Regulatory Quality,Serbia,0.1117725
2018,Regulatory Quality,Serbia,0.111153185
2017,Regulatory Quality,Serbia,-0.032494158
2016,Regulatory Quality,Serbia,0.034261219
2015,Regulatory Quality,Serbia,0.151395857
2014,Regulatory Quality,Serbia,0.181434169
2013,Regulatory Quality,Serbia,-0.0626247
2012,Regulatory Quality,Serbia,-0.070326254
2011,Regulatory Quality,Serbia,-0.016896952
2010,Regulatory Quality,Serbia,-0.065657973
2009,Regulatory Quality,Serbia,-0.182950586
2008,Regulatory Quality,Serbia,-0.386879176
2007,Regulatory Quality,Serbia,-0.437243164
2006,Regulatory Quality,Serbia,-0.530395031
2005,Regulatory Quality,Serbia,-0.623985469
2004,Regulatory Quality,Serbia,-0.467083603
2003,Regulatory Quality,Serbia,-0.611243188
2002,Regulatory Quality,Serbia,-0.638883829
2000,Regulatory Quality,Serbia,-0.857414663
1998,Regulatory Quality,Serbia,-0.822418809
1996,Regulatory Quality,Serbia,-0.717159688
2021,Regulatory Quality,Slovak Republic,0.874235034
2020,Regulatory Quality,Slovak Republic,0.78571862
2019,Regulatory Quality,Slovak Republic,1.005047917
2018,Regulatory Quality,Slovak Republic,0.806757152
2017,Regulatory Quality,Slovak Republic,0.821869314
2016,Regulatory Quality,Slovak Republic,0.885478973
2015,Regulatory Quality,Slovak Republic,0.784459472
2014,Regulatory Quality,Slovak Republic,0.885451794
2013,Regulatory Quality,Slovak Republic,0.92778039
2012,Regulatory Quality,Slovak Republic,1.040906668
2011,Regulatory Quality,Slovak Republic,0.999639213
2010,Regulatory Quality,Slovak Republic,0.999186158
2009,Regulatory Quality,Slovak Republic,1.048043728
2008,Regulatory Quality,Slovak Republic,1.078327537
2007,Regulatory Quality,Slovak Republic,0.974188089
2006,Regulatory Quality,Slovak Republic,1.084782243
2005,Regulatory Quality,Slovak Republic,1.126772285
2004,Regulatory Quality,Slovak Republic,1.083422542
2003,Regulatory Quality,Slovak Republic,0.91302371
2002,Regulatory Quality,Slovak Republic,0.903905571
2000,Regulatory Quality,Slovak Republic,0.57780838
1998,Regulatory Quality,Slovak Republic,0.496213675
1996,Regulatory Quality,Slovak Republic,0.672422051
2021,Regulatory Quality,Slovenia,0.834269524
2020,Regulatory Quality,Slovenia,0.92386055
2019,Regulatory Quality,Slovenia,1.007107973
2018,Regulatory Quality,Slovenia,0.652155876
2017,Regulatory Quality,Slovenia,0.576206565
2016,Regulatory Quality,Slovenia,0.636555076
2015,Regulatory Quality,Slovenia,0.622256517
2014,Regulatory Quality,Slovenia,0.657770276
2013,Regulatory Quality,Slovenia,0.624960363
2012,Regulatory Quality,Slovenia,0.625475347
2011,Regulatory Quality,Slovenia,0.69279635
2010,Regulatory Quality,Slovenia,0.759355605
2009,Regulatory Quality,Slovenia,0.913787246
2008,Regulatory Quality,Slovenia,0.847147286
2007,Regulatory Quality,Slovenia,0.800101042
2006,Regulatory Quality,Slovenia,0.794790149
2005,Regulatory Quality,Slovenia,0.883193433
2004,Regulatory Quality,Slovenia,0.844685614
2003,Regulatory Quality,Slovenia,0.881739914
2002,Regulatory Quality,Slovenia,0.851863027
2000,Regulatory Quality,Slovenia,0.672722459
1998,Regulatory Quality,Slovenia,1.049601316
1996,Regulatory Quality,Slovenia,1.09056139
2021,Regulatory Quality,Sweden,1.752570987
2020,Regulatory Quality,Sweden,1.687518954
2019,Regulatory Quality,Sweden,1.800264716
2018,Regulatory Quality,Sweden,1.831447601
2017,Regulatory Quality,Sweden,1.796406507
2016,Regulatory Quality,Sweden,1.851178288
2015,Regulatory Quality,Sweden,1.810170889
2014,Regulatory Quality,Sweden,1.805163264
2013,Regulatory Quality,Sweden,1.895466685
2012,Regulatory Quality,Sweden,1.900038838
2011,Regulatory Quality,Sweden,1.892241955
2010,Regulatory Quality,Sweden,1.656240582
2009,Regulatory Quality,Sweden,1.649703622
2008,Regulatory Quality,Sweden,1.635884047
2007,Regulatory Quality,Sweden,1.572997212
2006,Regulatory Quality,Sweden,1.439547062
2005,Regulatory Quality,Sweden,1.532868862
2004,Regulatory Quality,Sweden,1.669409156
2003,Regulatory Quality,Sweden,1.610253572
2002,Regulatory Quality,Sweden,1.590243936
2000,Regulatory Quality,Sweden,1.34945941
1998,Regulatory Quality,Sweden,1.164456725
1996,Regulatory Quality,Sweden,1.319948554
2021,Regulatory Quality,Tajikistan,-1.125773072
2020,Regulatory Quality,Tajikistan,-1.038092852
2019,Regulatory Quality,Tajikistan,-1.030121803
2018,Regulatory Quality,Tajikistan,-1.06789577
2017,Regulatory Quality,Tajikistan,-1.08035326
2016,Regulatory Quality,Tajikistan,-1.102454185
2015,Regulatory Quality,Tajikistan,-1.041050673
2014,Regulatory Quality,Tajikistan,-1.036864042
2013,Regulatory Quality,Tajikistan,-1.066145539
2012,Regulatory Quality,Tajikistan,-1.011844516
2011,Regulatory Quality,Tajikistan,-0.977914989
2010,Regulatory Quality,Tajikistan,-1.010269761
2009,Regulatory Quality,Tajikistan,-1.064246535
2008,Regulatory Quality,Tajikistan,-1.077060342
2007,Regulatory Quality,Tajikistan,-1.132352829
2006,Regulatory Quality,Tajikistan,-1.106146812
2005,Regulatory Quality,Tajikistan,-1.127930045
2004,Regulatory Quality,Tajikistan,-1.12121141
2003,Regulatory Quality,Tajikistan,-1.089490056
2002,Regulatory Quality,Tajikistan,-1.346471786
2000,Regulatory Quality,Tajikistan,-1.161776781
1998,Regulatory Quality,Tajikistan,-1.465714335
1996,Regulatory Quality,Tajikistan,-1.521551132
2021,Regulatory Quality,Turkmenistan,-2.018804789
2020,Regulatory Quality,Turkmenistan,-2.036666393
2019,Regulatory Quality,Turkmenistan,-2.014978647
2018,Regulatory Quality,Turkmenistan,-1.981237888
2017,Regulatory Quality,Turkmenistan,-1.975878716
2016,Regulatory Quality,Turkmenistan,-2.10329628
2015,Regulatory Quality,Turkmenistan,-2.073918819
2014,Regulatory Quality,Turkmenistan,-2.097846508
2013,Regulatory Quality,Turkmenistan,-2.132285595
2012,Regulatory Quality,Turkmenistan,-2.114089966
2011,Regulatory Quality,Turkmenistan,-2.050928116
2010,Regulatory Quality,Turkmenistan,-2.061424971
2009,Regulatory Quality,Turkmenistan,-1.967352509
2008,Regulatory Quality,Turkmenistan,-1.959103823
2007,Regulatory Quality,Turkmenistan,-2.009495258
2006,Regulatory Quality,Turkmenistan,-2.087571383
2005,Regulatory Quality,Turkmenistan,-1.789073229
2004,Regulatory Quality,Turkmenistan,-1.841409445
2003,Regulatory Quality,Turkmenistan,-1.744266748
2002,Regulatory Quality,Turkmenistan,-1.667082429
2000,Regulatory Quality,Turkmenistan,-1.768283486
1998,Regulatory Quality,Turkmenistan,-1.748048067
1996,Regulatory Quality,Turkmenistan,-1.376553655
2021,Regulatory Quality,Türkiye,-0.08191213
2020,Regulatory Quality,Türkiye,-0.010028477
2019,Regulatory Quality,Türkiye,-0.003839991
2018,Regulatory Quality,Türkiye,0.028570814
2017,Regulatory Quality,Türkiye,0.057467476
2016,Regulatory Quality,Türkiye,0.203276694
2015,Regulatory Quality,Türkiye,0.288755
2014,Regulatory Quality,Türkiye,0.432501823
2013,Regulatory Quality,Türkiye,0.463030308
2012,Regulatory Quality,Türkiye,0.450981587
2011,Regulatory Quality,Türkiye,0.393024772
2010,Regulatory Quality,Türkiye,0.312994033
2009,Regulatory Quality,Türkiye,0.288754821
2008,Regulatory Quality,Türkiye,0.269334227
2007,Regulatory Quality,Türkiye,0.329305053
2006,Regulatory Quality,Türkiye,0.280463099
2005,Regulatory Quality,Türkiye,0.269054443
2004,Regulatory Quality,Türkiye,0.030695695
2003,Regulatory Quality,Türkiye,0.015878489
2002,Regulatory Quality,Türkiye,0.055775434
2000,Regulatory Quality,Türkiye,0.245814547
1998,Regulatory Quality,Türkiye,0.363668382
1996,Regulatory Quality,Türkiye,0.103578582
2021,Regulatory Quality,Ukraine,-0.278163433
2020,Regulatory Quality,Ukraine,-0.252103299
2019,Regulatory Quality,Ukraine,-0.202633947
2018,Regulatory Quality,Ukraine,-0.244220331
2017,Regulatory Quality,Ukraine,-0.266749024
2016,Regulatory Quality,Ukraine,-0.400204659
2015,Regulatory Quality,Ukraine,-0.598943889
2014,Regulatory Quality,Ukraine,-0.586776257
2013,Regulatory Quality,Ukraine,-0.585612416
2012,Regulatory Quality,Ukraine,-0.554683208
2011,Regulatory Quality,Ukraine,-0.563705266
2010,Regulatory Quality,Ukraine,-0.454440266
2009,Regulatory Quality,Ukraine,-0.559112489
2008,Regulatory Quality,Ukraine,-0.516110599
2007,Regulatory Quality,Ukraine,-0.409717262
2006,Regulatory Quality,Ukraine,-0.486631006
2005,Regulatory Quality,Ukraine,-0.510850072
2004,Regulatory Quality,Ukraine,-0.347879618
2003,Regulatory Quality,Ukraine,-0.555056512
2002,Regulatory Quality,Ukraine,-0.624253511
2000,Regulatory Quality,Ukraine,-0.405505002
1998,Regulatory Quality,Ukraine,-0.707292855
1996,Regulatory Quality,Ukraine,-0.41892156
2021,Regulatory Quality,Uzbekistan,-0.581233621
2020,Regulatory Quality,Uzbekistan,-0.977474451
2019,Regulatory Quality,Uzbekistan,-1.030110121
2018,Regulatory Quality,Uzbekistan,-1.106446624
2017,Regulatory Quality,Uzbekistan,-1.281056523
2016,Regulatory Quality,Uzbekistan,-1.627996325
2015,Regulatory Quality,Uzbekistan,-1.663137794
2014,Regulatory Quality,Uzbekistan,-1.729825616
2013,Regulatory Quality,Uzbekistan,-1.603982806
2012,Regulatory Quality,Uzbekistan,-1.579983473
2011,Regulatory Quality,Uzbekistan,-1.557781339
2010,Regulatory Quality,Uzbekistan,-1.536477327
2009,Regulatory Quality,Uzbekistan,-1.469173312
2008,Regulatory Quality,Uzbekistan,-1.363840461
2007,Regulatory Quality,Uzbekistan,-1.506052732
2006,Regulatory Quality,Uzbekistan,-1.628457427
2005,Regulatory Quality,Uzbekistan,-1.513823986
2004,Regulatory Quality,Uzbekistan,-1.581190109
2003,Regulatory Quality,Uzbekistan,-1.423900008
2002,Regulatory Quality,Uzbekistan,-1.510510683
2000,Regulatory Quality,Uzbekistan,-2.242905617
1998,Regulatory Quality,Uzbekistan,-2.021319866
1996,Regulatory Quality,Uzbekistan,-1.776772618
2021,Regulatory Quality,Kosovo⁎,-0.272519022
2020,Regulatory Quality,Kosovo⁎,-0.303990692
2019,Regulatory Quality,Kosovo⁎,-0.374860853
2018,Regulatory Quality,Kosovo⁎,-0.324225783
2017,Regulatory Quality,Kosovo⁎,-0.136985153
2016,Regulatory Quality,Kosovo⁎,-0.203981861
2015,Regulatory Quality,Kosovo⁎,-0.300878823
2014,Regulatory Quality,Kosovo⁎,-0.161953509
2013,Regulatory Quality,Kosovo⁎,-0.040910311
2012,Regulatory Quality,Kosovo⁎,-0.040483929
2011,Regulatory Quality,Kosovo⁎,-0.151747063
2010,Regulatory Quality,Kosovo⁎,-0.096795879
2009,Regulatory Quality,Kosovo⁎,0.061585706
2008,Regulatory Quality,Kosovo⁎,0.032282241
2007,Regulatory Quality,Kosovo⁎,0.037798978
