Year,SeriesCode,GeoAreaName,Disability status,Grounds of discrimination,Location,Sex,Value
2018,VC_VOV_GDSD,Georgia,_T,AGE,ALLAREA,MALE,1.2
2018,VC_VOV_GDSD,Georgia,_T,SEXO,ALLAREA,BOTHSEX,0.3
2018,VC_VOV_GDSD,Georgia,_T,ALL,ALLAREA,BOTHSEX,5.4
2018,VC_VOV_GDSD,Georgia,_T,SEXO,URBAN,MALE,0.3
2018,VC_VOV_GDSD,Georgia,PD,AGE,ALLAREA,MALE,0.4
2015,VC_VOV_GDSD,Sweden,PD,DISHEA,ALLAREA,BOTHSEX,15.0
2015,VC_VOV_GDSD,Sweden,_T,ALL,ALLAREA,MALE,4.0
2015,VC_VOV_GDSD,Sweden,_T,DISHEA,ALLAREA,MALE,1.0
2015,VC_VOV_GDSD,Sweden,_T,ALL,ALLAREA,FEMALE,9.0
2015,VC_VOV_GDSD,Sweden,_T,ETHCOLLAN,ALLAREA,FEMALE,2.0
2015,VC_VOV_GDSD,Sweden,_T,SEX,ALLAREA,FEMALE,8.0
2018,VC_VOV_GDSD,Georgia,PD,AGE,ALLAREA,FEMALE,2.4
2018,VC_VOV_GDSD,Georgia,_T,SEX,URBAN,FEMALE,2.2
2018,VC_VOV_GDSD,Georgia,_T,SEX,URBAN,MALE,0.4
2018,VC_VOV_GDSD,Georgia,_T,ALL,URBAN,FEMALE,7.8
2018,VC_VOV_GDSD,Georgia,_T,DIS,URBAN,BOTHSEX,0.4
2020,VC_VOV_GDSD,Israel,PWD,SEXOGENID,ALLAREA,BOTHSEX,0.7
2020,VC_VOV_GDSD,Israel,_T,AGE,URBAN,BOTHSEX,5.5
2020,VC_VOV_GDSD,Israel,_T,ALL,ALLAREA,MALE,22.5
2020,VC_VOV_GDSD,Israel,_T,ALL,ALLAREA,FEMALE,24.2
2020,VC_VOV_GDSD,Israel,PD,ALL,ALLAREA,BOTHSEX,27.1
2020,VC_VOV_GDSD,Israel,_T,ALL,URBAN,BOTHSEX,23.5
2015,VC_VOV_GDSD,Sweden,PWD,ETHCOLLAN,ALLAREA,BOTHSEX,10.0
2015,VC_VOV_GDSD,Sweden,PWD,ALL,ALLAREA,BOTHSEX,39.0
2015,VC_VOV_GDSD,Sweden,PWD,DISHEA,ALLAREA,BOTHSEX,2.0
2015,VC_VOV_GDSD,Sweden,_T,SEX,ALLAREA,BOTHSEX,3.0
2015,VC_VOV_GDSD,Sweden,PD,SEXO,ALLAREA,BOTHSEX,1.0
2015,VC_VOV_GDSD,Sweden,PD,SEX,ALLAREA,BOTHSEX,11.0
2015,VC_VOV_GDSD,Sweden,PWD,SEXO,ALLAREA,BOTHSEX,4.0
2015,VC_VOV_GDSD,Sweden,PD,RELIGION,ALLAREA,BOTHSEX,4.0
2015,VC_VOV_GDSD,Sweden,_T,DISHEA,ALLAREA,BOTHSEX,1.0
2015,VC_VOV_GDSD,Sweden,_T,ALL,ALLAREA,BOTHSEX,7.0
2015,VC_VOV_GDSD,Sweden,_T,AGE,ALLAREA,BOTHSEX,2.0
2015,VC_VOV_GDSD,Sweden,PD,AGE,ALLAREA,BOTHSEX,8.0
2018,VC_VOV_GDSD,Georgia,_T,ETHI,URBAN,BOTHSEX,1.3
2018,VC_VOV_GDSD,Georgia,PD,DIS,ALLAREA,MALE,0.0
2018,VC_VOV_GDSD,Georgia,_T,DIS,URBAN,FEMALE,0.5
2018,VC_VOV_GDSD,Georgia,PWD,RELIGION,ALLAREA,BOTHSEX,1.9
2018,VC_VOV_GDSD,Georgia,PWD,OTHER,ALLAREA,FEMALE,0.9
2018,VC_VOV_GDSD,Georgia,PWD,OTHER,ALLAREA,BOTHSEX,0.77
2018,VC_VOV_GDSD,Georgia,PD,SEXO,ALLAREA,FEMALE,0.6
2018,VC_VOV_GDSD,Georgia,PD,SEX,ALLAREA,FEMALE,2.3
2018,VC_VOV_GDSD,Georgia,PD,SEXO,ALLAREA,BOTHSEX,0.4
2018,VC_VOV_GDSD,Georgia,_T,DIS,RURAL,BOTHSEX,0.35
2016,VC_VOV_GDSD,Sweden,PD,SEXO,ALLAREA,BOTHSEX,2.0
2016,VC_VOV_GDSD,Sweden,PWD,ALL,ALLAREA,BOTHSEX,46.0
2016,VC_VOV_GDSD,Sweden,PWD,DISHEA,ALLAREA,BOTHSEX,3.0
2016,VC_VOV_GDSD,Sweden,PD,RELIGION,ALLAREA,BOTHSEX,6.0
2016,VC_VOV_GDSD,Sweden,PWD,SEX,ALLAREA,BOTHSEX,22.0
2016,VC_VOV_GDSD,Sweden,PWD,SEXO,ALLAREA,BOTHSEX,4.0
2020,VC_VOV_GDSD,Israel,_T,ALL,RURAL,BOTHSEX,20.7
2020,VC_VOV_GDSD,Israel,_T,SEX,ALLAREA,BOTHSEX,5.2
2020,VC_VOV_GDSD,Israel,_T,AGE,ALLAREA,FEMALE,6.3
2021,VC_VOV_GDSD,Israel,_T,SEX,RURAL,BOTHSEX,6.2
2021,VC_VOV_GDSD,Israel,_T,AGE,ALLAREA,BOTHSEX,6.4
2021,VC_VOV_GDSD,Israel,_T,AGE,ALLAREA,MALE,5.9
2016,VC_VOV_GDSD,Sweden,PWD,AGE,ALLAREA,BOTHSEX,12.0
2016,VC_VOV_GDSD,Sweden,_T,DISHEA,ALLAREA,BOTHSEX,1.0
2016,VC_VOV_GDSD,Sweden,_T,SEXO,ALLAREA,BOTHSEX,1.0
2016,VC_VOV_GDSD,Sweden,_T,ALL,ALLAREA,BOTHSEX,9.0
2016,VC_VOV_GDSD,Sweden,_T,AGE,ALLAREA,FEMALE,3.0
2016,VC_VOV_GDSD,Sweden,_T,ETHCOLLAN,ALLAREA,FEMALE,3.0
2016,VC_VOV_GDSD,Sweden,_T,RELIGION,ALLAREA,FEMALE,1.0
2016,VC_VOV_GDSD,Sweden,_T,DISHEA,ALLAREA,FEMALE,1.0
2016,VC_VOV_GDSD,Sweden,_T,ALL,ALLAREA,FEMALE,12.0
2016,VC_VOV_GDSD,Sweden,_T,SEXO,ALLAREA,FEMALE,1.0
2016,VC_VOV_GDSD,Sweden,_T,DISHEA,ALLAREA,MALE,1.0
2016,VC_VOV_GDSD,Sweden,_T,AGE,ALLAREA,MALE,2.0
2015,VC_VOV_GDSD,Germany,_T,ALL,URBAN,BOTHSEX,12.27
2015,VC_VOV_GDSD,Germany,_T,ALL,RURAL,BOTHSEX,13.21
2015,VC_VOV_GDSD,Germany,_T,ALL,ALLAREA,BOTHSEX,12.5
2015,VC_VOV_GDSD,Germany,_T,ALL,ALLAREA,MALE,12.5
2015,VC_VOV_GDSD,Germany,_T,ALL,ALLAREA,FEMALE,12.6
2021,VC_VOV_GDSD,Israel,_T,AGE,ALLAREA,FEMALE,6.9
2021,VC_VOV_GDSD,Israel,_T,SEX,URBAN,BOTHSEX,6.3
2021,VC_VOV_GDSD,Israel,PD,SEX,ALLAREA,BOTHSEX,8.6
2021,VC_VOV_GDSD,Israel,_T,ALL,ALLAREA,FEMALE,26.9
2021,VC_VOV_GDSD,Israel,_T,DISHEA,RURAL,BOTHSEX,2.1
2021,VC_VOV_GDSD,Israel,_T,ALL,ALLAREA,BOTHSEX,26.3
2016,VC_VOV_GDSD,Sweden,PWD,ETHCOLLAN,ALLAREA,BOTHSEX,11.0
2016,VC_VOV_GDSD,Sweden,PD,DISHEA,ALLAREA,BOTHSEX,16.0
2016,VC_VOV_GDSD,Sweden,_T,AGE,ALLAREA,BOTHSEX,2.0
2016,VC_VOV_GDSD,Sweden,_T,SEX,ALLAREA,BOTHSEX,4.0
2016,VC_VOV_GDSD,Sweden,PD,ETHCOLLAN,ALLAREA,BOTHSEX,10.0
2016,VC_VOV_GDSD,Sweden,PD,ALL,ALLAREA,BOTHSEX,51.0
2016,VC_VOV_GDSD,Sweden,_T,RELIGION,ALLAREA,BOTHSEX,1.0
2016,VC_VOV_GDSD,Sweden,_T,SEX,ALLAREA,FEMALE,8.0
2016,VC_VOV_GDSD,Sweden,PD,SEX,ALLAREA,BOTHSEX,18.0
2016,VC_VOV_GDSD,Sweden,PWD,RELIGION,ALLAREA,BOTHSEX,4.0
2016,VC_VOV_GDSD,Sweden,PD,AGE,ALLAREA,BOTHSEX,16.0
2016,VC_VOV_GDSD,Sweden,_T,ETHCOLLAN,ALLAREA,BOTHSEX,3.0
2017,VC_VOV_GDSD,Germany,_T,ALL,ALLAREA,FEMALE,9.7
2017,VC_VOV_GDSD,Germany,_T,ALL,URBAN,BOTHSEX,9.81
2017,VC_VOV_GDSD,Germany,_T,ALL,RURAL,BOTHSEX,10.16
2017,VC_VOV_GDSD,Germany,_T,ALL,ALLAREA,BOTHSEX,9.85
2017,VC_VOV_GDSD,Germany,_T,ALL,ALLAREA,MALE,10.0
2021,VC_VOV_GDSD,Israel,_T,ALL,ALLAREA,MALE,25.7
2021,VC_VOV_GDSD,Israel,_T,COLR,ALLAREA,FEMALE,1.8
2021,VC_VOV_GDSD,Israel,_T,ETH,ALLAREA,FEMALE,9.1
2021,VC_VOV_GDSD,Israel,_T,COLR,URBAN,BOTHSEX,2.2
2021,VC_VOV_GDSD,Israel,PD,ETH,ALLAREA,BOTHSEX,15.4
2021,VC_VOV_GDSD,Israel,PWD,ETH,ALLAREA,BOTHSEX,9.3
2017,VC_VOV_GDSD,Mexico,_T,GEO,ALLAREA,FEMALE,3.6
2018,VC_VOV_GDSD,Republic of Moldova,_T,AGE,ALLAREA,BOTHSEX,18.0
2018,VC_VOV_GDSD,Republic of Moldova,_T,RELIGION,ALLAREA,BOTHSEX,3.0
2018,VC_VOV_GDSD,Republic of Moldova,_T,ALL,ALLAREA,BOTHSEX,26.3
2018,VC_VOV_GDSD,Republic of Moldova,_T,ALL,RURAL,BOTHSEX,24.2
2018,VC_VOV_GDSD,Republic of Moldova,_T,ALL,ALLAREA,FEMALE,26.0
2019,VC_VOV_GDSD,Germany,_T,ALL,RURAL,BOTHSEX,9.55
2019,VC_VOV_GDSD,Germany,_T,ALL,URBAN,BOTHSEX,7.72
2019,VC_VOV_GDSD,Germany,_T,ALL,ALLAREA,BOTHSEX,8.57
2019,VC_VOV_GDSD,Germany,_T,ALL,ALLAREA,MALE,8.55
2019,VC_VOV_GDSD,Germany,_T,ALL,ALLAREA,FEMALE,8.44
2019,VC_VOV_GDSD,Germany,PD,ALL,ALLAREA,BOTHSEX,15.88
2019,VC_VOV_GDSD,Germany,PWD,ALL,ALLAREA,BOTHSEX,7.25
2021,VC_VOV_GDSD,Germany,_T,ALL,RURAL,BOTHSEX,7.69
2021,VC_VOV_GDSD,Germany,_T,ALL,URBAN,BOTHSEX,7.47
2021,VC_VOV_GDSD,Germany,PWD,ALL,ALLAREA,BOTHSEX,6.64
2016,VC_VOV_GDSD,Sweden,_T,SEX,ALLAREA,MALE,1.0
2016,VC_VOV_GDSD,Sweden,_T,ETHCOLLAN,ALLAREA,MALE,3.0
2016,VC_VOV_GDSD,Sweden,_T,ALL,ALLAREA,MALE,6.0
2016,VC_VOV_GDSD,Sweden,_T,RELIGION,ALLAREA,MALE,1.0
2016,VC_VOV_GDSD,Sweden,_T,SEXO,ALLAREA,MALE,1.0
2018,VC_VOV_GDSD,Sweden,_T,DISHEA,ALLAREA,MALE,1.0
2021,VC_VOV_GDSD,Israel,_T,ETH,URBAN,BOTHSEX,10.6
2021,VC_VOV_GDSD,Israel,_T,RELIGION,ALLAREA,BOTHSEX,12.0
2021,VC_VOV_GDSD,Israel,PWD,MIG,ALLAREA,BOTHSEX,9.2
2021,VC_VOV_GDSD,Israel,_T,RELIGION,ALLAREA,MALE,11.3
2021,VC_VOV_GDSD,Israel,_T,RELIGION,ALLAREA,FEMALE,12.8
2021,VC_VOV_GDSD,Israel,PWD,ALL,ALLAREA,BOTHSEX,25.4
2018,VC_VOV_GDSD,Sweden,_T,SEXO,ALLAREA,FEMALE,2.0
2018,VC_VOV_GDSD,Sweden,_T,AGE,ALLAREA,FEMALE,4.0
2018,VC_VOV_GDSD,Sweden,PWD,SEX,ALLAREA,BOTHSEX,24.0
2018,VC_VOV_GDSD,Sweden,PD,SEXO,ALLAREA,BOTHSEX,4.0
2018,VC_VOV_GDSD,Sweden,PD,SEX,ALLAREA,BOTHSEX,18.0
2018,VC_VOV_GDSD,Sweden,_T,ETHCOLLAN,ALLAREA,BOTHSEX,3.0
2021,VC_VOV_GDSD,Germany,PD,ALL,ALLAREA,BOTHSEX,13.72
2021,VC_VOV_GDSD,Germany,_T,ALL,ALLAREA,FEMALE,6.63
2021,VC_VOV_GDSD,Germany,_T,ALL,ALLAREA,MALE,9.16
2021,VC_VOV_GDSD,Germany,_T,ALL,ALLAREA,BOTHSEX,7.84
2018,VC_VOV_GDSD,North Macedonia,_T,AGE,RURAL,FEMALE,2.4
2021,VC_VOV_GDSD,Israel,_T,DISHEA,ALLAREA,BOTHSEX,2.9
2021,VC_VOV_GDSD,Israel,PWD,SEX,ALLAREA,BOTHSEX,5.9
2021,VC_VOV_GDSD,Israel,_T,AGE,RURAL,BOTHSEX,5.4
2021,VC_VOV_GDSD,Israel,_T,SEXOGENID,ALLAREA,MALE,1.1
2021,VC_VOV_GDSD,Israel,_T,SEXOGENID,ALLAREA,FEMALE,1.1
2021,VC_VOV_GDSD,Israel,PD,SEXOGENID,ALLAREA,BOTHSEX,2.2
2018,VC_VOV_GDSD,Sweden,PD,ALL,ALLAREA,BOTHSEX,52.0
2018,VC_VOV_GDSD,Sweden,_T,RELIGION,ALLAREA,BOTHSEX,1.0
2018,VC_VOV_GDSD,Sweden,_T,RELIGION,ALLAREA,FEMALE,1.0
2018,VC_VOV_GDSD,Sweden,PWD,SEXO,ALLAREA,BOTHSEX,4.0
2018,VC_VOV_GDSD,Sweden,_T,ALL,ALLAREA,BOTHSEX,10.0
2018,VC_VOV_GDSD,Sweden,_T,SEXO,ALLAREA,BOTHSEX,1.0
2018,VC_VOV_GDSD,North Macedonia,_T,RELIGION,RURAL,FEMALE,1.2
2018,VC_VOV_GDSD,North Macedonia,_T,ALL,URBAN,FEMALE,12.5
2018,VC_VOV_GDSD,North Macedonia,PWD,DIS,ALLAREA,FEMALE,0.9
2018,VC_VOV_GDSD,North Macedonia,PWD,ETHI,ALLAREA,FEMALE,5.2
2018,VC_VOV_GDSD,North Macedonia,PD,OTHER,ALLAREA,FEMALE,7.8
2018,VC_VOV_GDSD,North Macedonia,PD,ETHI,ALLAREA,FEMALE,18.0
2018,VC_VOV_GDSD,North Macedonia,PD,DIS,ALLAREA,FEMALE,3.0
2018,VC_VOV_GDSD,North Macedonia,_T,AGE,ALLAREA,FEMALE,2.5
2018,VC_VOV_GDSD,North Macedonia,_T,OTHER,RURAL,FEMALE,1.2
2018,VC_VOV_GDSD,North Macedonia,_T,SEX,ALLAREA,FEMALE,4.9
2018,VC_VOV_GDSD,North Macedonia,PD,AGE,ALLAREA,FEMALE,1.4
2018,VC_VOV_GDSD,North Macedonia,PWD,SEX,ALLAREA,FEMALE,5.0
2018,VC_VOV_GDSD,Sweden,PWD,ALL,ALLAREA,BOTHSEX,47.0
2018,VC_VOV_GDSD,Sweden,_T,AGE,ALLAREA,MALE,2.0
2018,VC_VOV_GDSD,Sweden,_T,RELIGION,ALLAREA,MALE,1.0
2018,VC_VOV_GDSD,Sweden,_T,ETHCOLLAN,ALLAREA,MALE,3.0
2018,VC_VOV_GDSD,Sweden,_T,SEXO,ALLAREA,MALE,1.0
2018,VC_VOV_GDSD,Sweden,_T,SEX,ALLAREA,FEMALE,10.0
2018,VC_VOV_GDSD,North Macedonia,PWD,SEXO,ALLAREA,FEMALE,0.5
2018,VC_VOV_GDSD,North Macedonia,PD,SEXO,ALLAREA,FEMALE,0.0
2018,VC_VOV_GDSD,North Macedonia,PWD,AGE,ALLAREA,FEMALE,2.1
2018,VC_VOV_GDSD,North Macedonia,_T,ETHI,URBAN,FEMALE,5.7
2018,VC_VOV_GDSD,North Macedonia,_T,SEXO,URBAN,FEMALE,0.4
2018,VC_VOV_GDSD,North Macedonia,_T,DIS,URBAN,FEMALE,1.1
2021,VC_VOV_GDSD,Israel,PWD,SEXOGENID,ALLAREA,BOTHSEX,0.9
2021,VC_VOV_GDSD,Israel,PD,AGE,ALLAREA,BOTHSEX,11.8
2021,VC_VOV_GDSD,Israel,PWD,AGE,ALLAREA,BOTHSEX,5.5
2021,VC_VOV_GDSD,Israel,_T,AGE,URBAN,BOTHSEX,6.5
2021,VC_VOV_GDSD,Israel,_T,ALL,RURAL,BOTHSEX,19.7
2021,VC_VOV_GDSD,Israel,_T,SEX,ALLAREA,BOTHSEX,6.3
2018,VC_VOV_GDSD,Sweden,_T,SEX,ALLAREA,MALE,1.0
2018,VC_VOV_GDSD,Sweden,_T,ALL,ALLAREA,MALE,7.0
2018,VC_VOV_GDSD,Sweden,PWD,ETHCOLLAN,ALLAREA,BOTHSEX,11.0
2018,VC_VOV_GDSD,Sweden,_T,DISHEA,ALLAREA,FEMALE,2.0
2018,VC_VOV_GDSD,Sweden,_T,ALL,ALLAREA,FEMALE,14.0
2018,VC_VOV_GDSD,Sweden,_T,ETHCOLLAN,ALLAREA,FEMALE,3.0
2021,VC_VOV_GDSD,Israel,_T,SEX,ALLAREA,MALE,2.8
2021,VC_VOV_GDSD,Israel,_T,SEX,ALLAREA,FEMALE,9.6
2021,VC_VOV_GDSD,Israel,PD,COLR,ALLAREA,BOTHSEX,4.5
2021,VC_VOV_GDSD,Israel,PWD,COLR,ALLAREA,BOTHSEX,1.7
2021,VC_VOV_GDSD,Israel,_T,MIG,ALLAREA,BOTHSEX,9.8
2021,VC_VOV_GDSD,Israel,PD,RELIGION,ALLAREA,BOTHSEX,12.4
2018,VC_VOV_GDSD,Sweden,_T,SEX,ALLAREA,BOTHSEX,5.0
2018,VC_VOV_GDSD,Sweden,_T,DISHEA,ALLAREA,BOTHSEX,1.0
2018,VC_VOV_GDSD,Sweden,_T,AGE,ALLAREA,BOTHSEX,3.0
2018,VC_VOV_GDSD,Sweden,PD,AGE,ALLAREA,BOTHSEX,14.0
2018,VC_VOV_GDSD,Sweden,PD,DISHEA,ALLAREA,BOTHSEX,17.0
2018,VC_VOV_GDSD,Sweden,PWD,RELIGION,ALLAREA,BOTHSEX,4.0
2021,VC_VOV_GDSD,Israel,_T,MIG,ALLAREA,MALE,10.9
2021,VC_VOV_GDSD,Israel,_T,MIG,ALLAREA,FEMALE,8.8
2021,VC_VOV_GDSD,Israel,PD,MIG,ALLAREA,BOTHSEX,13.3
2021,VC_VOV_GDSD,Israel,_T,ETH,RURAL,BOTHSEX,6.1
2021,VC_VOV_GDSD,Israel,_T,COLR,ALLAREA,BOTHSEX,2.1
2021,VC_VOV_GDSD,Israel,_T,COLR,ALLAREA,MALE,2.4
2018,VC_VOV_GDSD,Sweden,PD,RELIGION,ALLAREA,BOTHSEX,5.0
2018,VC_VOV_GDSD,Sweden,PD,ETHCOLLAN,ALLAREA,BOTHSEX,9.0
2018,VC_VOV_GDSD,Sweden,PWD,AGE,ALLAREA,BOTHSEX,13.0
2018,VC_VOV_GDSD,Sweden,PWD,DISHEA,ALLAREA,BOTHSEX,3.0
2020,VC_VOV_GDSD,Sweden,_T,SEX,ALLAREA,BOTHSEX,4.0
2020,VC_VOV_GDSD,Sweden,_T,AGE,ALLAREA,BOTHSEX,2.0
2021,VC_VOV_GDSD,Israel,PWD,RELIGION,ALLAREA,BOTHSEX,12.0
2021,VC_VOV_GDSD,Israel,_T,RELIGION,RURAL,BOTHSEX,5.2
2021,VC_VOV_GDSD,Israel,_T,MIG,URBAN,BOTHSEX,10.2
2021,VC_VOV_GDSD,Israel,_T,MIG,RURAL,BOTHSEX,5.1
2021,VC_VOV_GDSD,Israel,_T,DISHEA,ALLAREA,MALE,2.8
2021,VC_VOV_GDSD,Israel,_T,DISHEA,ALLAREA,FEMALE,3.0
2020,VC_VOV_GDSD,Sweden,_T,SEX,ALLAREA,FEMALE,7.0
2020,VC_VOV_GDSD,Sweden,_T,ETHCOLLAN,ALLAREA,FEMALE,3.0
2020,VC_VOV_GDSD,Sweden,_T,ALL,ALLAREA,MALE,6.0
2020,VC_VOV_GDSD,Sweden,_T,SEX,ALLAREA,MALE,1.0
2020,VC_VOV_GDSD,Sweden,_T,DISHEA,ALLAREA,BOTHSEX,1.0
2020,VC_VOV_GDSD,Sweden,_T,ETHCOLLAN,ALLAREA,BOTHSEX,3.0
2021,VC_VOV_GDSD,Israel,PD,DISHEA,ALLAREA,BOTHSEX,11.2
2021,VC_VOV_GDSD,Israel,PWD,DISHEA,ALLAREA,BOTHSEX,1.5
2021,VC_VOV_GDSD,Israel,_T,DISHEA,URBAN,BOTHSEX,3.0
2021,VC_VOV_GDSD,Israel,_T,ALL,URBAN,BOTHSEX,26.8
2021,VC_VOV_GDSD,Israel,PD,ALL,ALLAREA,BOTHSEX,31.4
2021,VC_VOV_GDSD,Israel,_T,ETH,ALLAREA,BOTHSEX,10.2
2020,VC_VOV_GDSD,Sweden,_T,RELIGION,ALLAREA,BOTHSEX,1.0
2020,VC_VOV_GDSD,Sweden,_T,SEXOGENID,ALLAREA,BOTHSEX,1.0
2020,VC_VOV_GDSD,Sweden,_T,ALL,ALLAREA,BOTHSEX,8.0
2020,VC_VOV_GDSD,Sweden,_T,RELIGION,ALLAREA,MALE,1.0
2020,VC_VOV_GDSD,Sweden,_T,SEXOGENID,ALLAREA,MALE,1.0
2020,VC_VOV_GDSD,Sweden,_T,AGE,ALLAREA,MALE,1.0
2021,VC_VOV_GDSD,Israel,_T,RELIGION,URBAN,BOTHSEX,12.6
2021,VC_VOV_GDSD,Israel,_T,SEXOGENID,URBAN,BOTHSEX,1.1
2021,VC_VOV_GDSD,Israel,_T,ETH,ALLAREA,MALE,11.4
2021,VC_VOV_GDSD,Israel,_T,SEXOGENID,ALLAREA,BOTHSEX,1.1
2019,VC_VOV_GDSD,Republic of Korea,_T,DIS,ALLAREA,FEMALE,1.8
2019,VC_VOV_GDSD,Republic of Korea,_T,SEX,ALLAREA,FEMALE,19.9
2020,VC_VOV_GDSD,Sweden,_T,DISHEA,ALLAREA,MALE,1.0
2020,VC_VOV_GDSD,Sweden,_T,ETHCOLLAN,ALLAREA,MALE,3.0
2020,VC_VOV_GDSD,Sweden,_T,ALL,ALLAREA,FEMALE,11.0
2020,VC_VOV_GDSD,Sweden,_T,SEXOGENID,ALLAREA,FEMALE,1.0
2020,VC_VOV_GDSD,Sweden,_T,RELIGION,ALLAREA,FEMALE,1.0
2020,VC_VOV_GDSD,Sweden,_T,AGE,ALLAREA,FEMALE,3.0
2018,VC_VOV_GDSD,North Macedonia,PWD,RELIGION,ALLAREA,FEMALE,2.6
2018,VC_VOV_GDSD,North Macedonia,_T,SEXO,RURAL,FEMALE,0.9
2018,VC_VOV_GDSD,North Macedonia,_T,AGE,URBAN,FEMALE,2.5
2018,VC_VOV_GDSD,North Macedonia,PD,ALL,ALLAREA,FEMALE,26.4
2018,VC_VOV_GDSD,North Macedonia,_T,SEXO,ALLAREA,FEMALE,0.4
2018,VC_VOV_GDSD,North Macedonia,_T,RELIGION,ALLAREA,FEMALE,2.9
2019,VC_VOV_GDSD,Republic of Korea,_T,MAR,ALLAREA,FEMALE,4.1
2019,VC_VOV_GDSD,Republic of Korea,_T,PHYSCOND,RURAL,BOTHSEX,5.1
2019,VC_VOV_GDSD,Republic of Korea,_T,PHYSCOND,URBAN,BOTHSEX,7.0
2019,VC_VOV_GDSD,Republic of Korea,_T,SEX,RURAL,BOTHSEX,9.6
2019,VC_VOV_GDSD,Republic of Korea,_T,HEALTH,ALLAREA,BOTHSEX,2.3
2019,VC_VOV_GDSD,Republic of Korea,_T,POLVIEW,RURAL,BOTHSEX,3.6
2020,VC_VOV_GDSD,Sweden,_T,DISHEA,ALLAREA,FEMALE,1.0
2021,VC_VOV_GDSD,Sweden,_T,SEX,ALLAREA,MALE,1.0
2021,VC_VOV_GDSD,Sweden,_T,RELIGION,ALLAREA,MALE,1.0
2021,VC_VOV_GDSD,Sweden,_T,DISHEA,ALLAREA,FEMALE,1.0
2021,VC_VOV_GDSD,Sweden,_T,ALL,ALLAREA,MALE,5.0
2021,VC_VOV_GDSD,Sweden,_T,ALL,ALLAREA,FEMALE,10.0
2018,VC_VOV_GDSD,North Macedonia,_T,DIS,ALLAREA,FEMALE,1.1
2018,VC_VOV_GDSD,North Macedonia,PD,SEX,ALLAREA,FEMALE,6.9
2018,VC_VOV_GDSD,North Macedonia,PD,RELIGION,ALLAREA,FEMALE,9.8
2018,VC_VOV_GDSD,North Macedonia,_T,ALL,RURAL,FEMALE,7.5
2018,VC_VOV_GDSD,North Macedonia,_T,SEX,URBAN,FEMALE,4.9
2018,VC_VOV_GDSD,North Macedonia,_T,RELIGION,URBAN,FEMALE,2.9
2019,VC_VOV_GDSD,Republic of Korea,_T,AGE,URBAN,BOTHSEX,14.4
2019,VC_VOV_GDSD,Republic of Korea,_T,GEO,ALLAREA,MALE,2.7
2019,VC_VOV_GDSD,Republic of Korea,_T,MAR,ALLAREA,MALE,2.6
2019,VC_VOV_GDSD,Republic of Korea,_T,DIS,ALLAREA,MALE,1.6
2019,VC_VOV_GDSD,Republic of Korea,_T,AGE,ALLAREA,FEMALE,16.8
2019,VC_VOV_GDSD,Republic of Korea,_T,ETHCOLLANMIG,ALLAREA,FEMALE,1.8
2021,VC_VOV_GDSD,Sweden,_T,RELIGION,ALLAREA,FEMALE,1.0
2021,VC_VOV_GDSD,Sweden,_T,RELIGION,ALLAREA,BOTHSEX,1.0
2021,VC_VOV_GDSD,Sweden,_T,SEXOGENID,ALLAREA,BOTHSEX,1.0
2021,VC_VOV_GDSD,Sweden,_T,AGE,ALLAREA,BOTHSEX,2.0
2021,VC_VOV_GDSD,Sweden,_T,DISHEA,ALLAREA,BOTHSEX,1.0
2021,VC_VOV_GDSD,Sweden,_T,ETHCOLLAN,ALLAREA,FEMALE,2.0
2021,VC_VOV_GDSD,Sweden,_T,SEXOGENID,ALLAREA,FEMALE,1.0
2021,VC_VOV_GDSD,Sweden,_T,SEX,ALLAREA,FEMALE,6.0
2021,VC_VOV_GDSD,Sweden,_T,SEXOGENID,ALLAREA,MALE,1.0
2021,VC_VOV_GDSD,Sweden,_T,ETHCOLLAN,ALLAREA,MALE,3.0
2021,VC_VOV_GDSD,Sweden,_T,AGE,ALLAREA,MALE,1.0
2021,VC_VOV_GDSD,Sweden,_T,DISHEA,ALLAREA,MALE,1.0
2019,VC_VOV_GDSD,Republic of Korea,_T,GEO,ALLAREA,FEMALE,2.7
2019,VC_VOV_GDSD,Republic of Korea,_T,PHYSCOND,ALLAREA,FEMALE,8.7
2019,VC_VOV_GDSD,Republic of Korea,_T,HEALTH,ALLAREA,FEMALE,2.6
2019,VC_VOV_GDSD,Republic of Korea,_T,SEX,ALLAREA,BOTHSEX,13.9
2019,VC_VOV_GDSD,Republic of Korea,_T,MAR,RURAL,BOTHSEX,2.7
2019,VC_VOV_GDSD,Republic of Korea,_T,SOCIOECON,ALLAREA,BOTHSEX,10.3
2021,VC_VOV_GDSD,Sweden,_T,AGE,ALLAREA,FEMALE,3.0
2021,VC_VOV_GDSD,Sweden,_T,SEX,ALLAREA,BOTHSEX,3.0
2021,VC_VOV_GDSD,Sweden,_T,ALL,ALLAREA,BOTHSEX,7.0
2021,VC_VOV_GDSD,Sweden,_T,ETHCOLLAN,ALLAREA,BOTHSEX,2.0
2022,VC_VOV_GDSD,Sweden,_T,DISHEA,ALLAREA,FEMALE,1.0
2022,VC_VOV_GDSD,Sweden,_T,SEXOGENID,ALLAREA,BOTHSEX,1.0
2019,VC_VOV_GDSD,Republic of Korea,_T,SOCIOECON,RURAL,BOTHSEX,7.8
