Year,SeriesCode,Country,Frequency of Chlorophyll-a concentration,Value
2022,EN_MAR_CHLANM,Costa Rica,Moderate,3.71329
2018,EN_MAR_CHLANM,Croatia,Extreme,0.33455
2018,EN_MAR_CHLANM,Croatia,High,2.15491
2018,EN_MAR_CHLANM,Croatia,Moderate,3.18023
2021,EN_MAR_CHLANM,New Zealand,Extreme,0.68902
2021,EN_MAR_CHLANM,New Zealand,High,4.41186
2021,EN_MAR_CHLANM,New Zealand,Moderate,7.22734
2022,EN_MAR_CHLANM,New Zealand,High,3.91831
2022,EN_MAR_CHLANM,New Zealand,Extreme,0.60525
2022,EN_MAR_CHLANM,New Zealand,Moderate,6.17518
2018,EN_MAR_CHLANM,Norway,Extreme,4.75964
2018,EN_MAR_CHLANM,Norway,Moderate,8.31894
2018,EN_MAR_CHLANM,Norway,High,10.98513
2019,EN_MAR_CHLANM,Norway,High,14.23898
2019,EN_MAR_CHLANM,Norway,Moderate,7.82958
2019,EN_MAR_CHLANM,Norway,Extreme,5.72331
2020,EN_MAR_CHLANM,Norway,Moderate,5.99011
2019,EN_MAR_CHLANM,Croatia,Moderate,3.83212
2019,EN_MAR_CHLANM,Croatia,High,2.47882
2019,EN_MAR_CHLANM,Croatia,Extreme,0.44028
2020,EN_MAR_CHLANM,Croatia,Extreme,0.11386
2020,EN_MAR_CHLANM,Croatia,High,2.01541
2020,EN_MAR_CHLANM,Croatia,Moderate,3.28837
2021,EN_MAR_CHLANM,Croatia,Moderate,3.25959
2021,EN_MAR_CHLANM,Croatia,High,2.84477
2021,EN_MAR_CHLANM,Croatia,Extreme,0.35469
2022,EN_MAR_CHLANM,Croatia,Moderate,2.20189
2022,EN_MAR_CHLANM,Croatia,High,1.17986
2022,EN_MAR_CHLANM,Croatia,Extreme,0.09099
2018,EN_MAR_CHLANM,Cyprus,Moderate,2.8159
2018,EN_MAR_CHLANM,Cyprus,High,0.51197
2018,EN_MAR_CHLANM,Cyprus,Extreme,0.02791
2019,EN_MAR_CHLANM,Cyprus,High,0.34937
2019,EN_MAR_CHLANM,Cyprus,Moderate,2.9884
2019,EN_MAR_CHLANM,Cyprus,Extreme,0.03737
2020,EN_MAR_CHLANM,Cyprus,High,1.05946
2020,EN_MAR_CHLANM,Cyprus,Moderate,4.98842
2020,EN_MAR_CHLANM,Cyprus,Extreme,0.05004
2021,EN_MAR_CHLANM,Cyprus,High,0.81386
2021,EN_MAR_CHLANM,Cyprus,Extreme,0.07353
2021,EN_MAR_CHLANM,Cyprus,Moderate,3.87397
2022,EN_MAR_CHLANM,Cyprus,High,0.77212
2022,EN_MAR_CHLANM,Cyprus,Moderate,4.7559
2020,EN_MAR_CHLANM,Norway,High,3.84191
2020,EN_MAR_CHLANM,Norway,Extreme,0.53472
2021,EN_MAR_CHLANM,Norway,Extreme,0.0
2021,EN_MAR_CHLANM,Norway,High,4.15905
2021,EN_MAR_CHLANM,Norway,Moderate,8.6214
2022,EN_MAR_CHLANM,Norway,Moderate,9.80492
2022,EN_MAR_CHLANM,Norway,High,9.35145
2022,EN_MAR_CHLANM,Norway,Extreme,2.16338
2018,EN_MAR_CHLANM,Poland,Moderate,8.21932
2018,EN_MAR_CHLANM,Poland,Extreme,8.70498
2018,EN_MAR_CHLANM,Poland,High,14.7997
2019,EN_MAR_CHLANM,Poland,High,11.69585
2019,EN_MAR_CHLANM,Poland,Extreme,3.24411
2022,EN_MAR_CHLANM,Cyprus,Extreme,0.02969
2018,EN_MAR_CHLANM,Denmark,Moderate,6.48186
2018,EN_MAR_CHLANM,Denmark,High,7.48828
2018,EN_MAR_CHLANM,Denmark,Extreme,2.58966
2019,EN_MAR_CHLANM,Denmark,Extreme,2.19431
2019,EN_MAR_CHLANM,Denmark,High,6.62881
2019,EN_MAR_CHLANM,Denmark,Moderate,6.73485
2020,EN_MAR_CHLANM,Denmark,Moderate,4.535
2020,EN_MAR_CHLANM,Denmark,High,6.23495
2020,EN_MAR_CHLANM,Denmark,Extreme,2.00696
2021,EN_MAR_CHLANM,Denmark,Extreme,1.27838
2021,EN_MAR_CHLANM,Denmark,High,5.32478
2021,EN_MAR_CHLANM,Denmark,Moderate,6.09479
2019,EN_MAR_CHLANM,Poland,Moderate,9.52353
2020,EN_MAR_CHLANM,Poland,Moderate,7.7239
2020,EN_MAR_CHLANM,Poland,Extreme,2.91138
2020,EN_MAR_CHLANM,Poland,High,11.40781
2021,EN_MAR_CHLANM,Poland,High,9.91869
2021,EN_MAR_CHLANM,Poland,Extreme,2.8913
2021,EN_MAR_CHLANM,Poland,Moderate,7.95459
2022,EN_MAR_CHLANM,Poland,Moderate,6.83688
2022,EN_MAR_CHLANM,Poland,Extreme,1.71321
2022,EN_MAR_CHLANM,Poland,High,7.64149
2018,EN_MAR_CHLANM,Portugal,Moderate,8.03409
2018,EN_MAR_CHLANM,Portugal,High,4.52206
2018,EN_MAR_CHLANM,Portugal,Extreme,0.63017
2019,EN_MAR_CHLANM,Portugal,Extreme,0.9016
2019,EN_MAR_CHLANM,Portugal,High,3.9951
2019,EN_MAR_CHLANM,Portugal,Moderate,5.46952
2020,EN_MAR_CHLANM,Portugal,Moderate,3.97978
2020,EN_MAR_CHLANM,Portugal,High,2.80628
2020,EN_MAR_CHLANM,Portugal,Extreme,0.93033
2021,EN_MAR_CHLANM,Portugal,Moderate,5.65634
2021,EN_MAR_CHLANM,Portugal,Extreme,0.87284
2021,EN_MAR_CHLANM,Portugal,High,3.78727
2022,EN_MAR_CHLANM,Portugal,Moderate,4.46941
2022,EN_MAR_CHLANM,Portugal,High,3.97606
2022,EN_MAR_CHLANM,Portugal,Extreme,0.71469
2018,EN_MAR_CHLANM,Romania,Extreme,0.64276
2018,EN_MAR_CHLANM,Romania,High,3.18334
2018,EN_MAR_CHLANM,Romania,Moderate,4.7039
2019,EN_MAR_CHLANM,Romania,Moderate,8.15041
2019,EN_MAR_CHLANM,Romania,Extreme,1.27791
2019,EN_MAR_CHLANM,Romania,High,8.59765
2020,EN_MAR_CHLANM,Romania,Extreme,0.65419
2020,EN_MAR_CHLANM,Romania,High,5.22944
2020,EN_MAR_CHLANM,Romania,Moderate,5.68692
2021,EN_MAR_CHLANM,Romania,Moderate,5.48706
2021,EN_MAR_CHLANM,Romania,High,5.35874
2021,EN_MAR_CHLANM,Romania,Extreme,0.69472
2022,EN_MAR_CHLANM,Romania,Extreme,0.39514
2022,EN_MAR_CHLANM,Romania,High,4.57836
2022,EN_MAR_CHLANM,Romania,Moderate,6.7363
2018,EN_MAR_CHLANM,Viet Nam,Extreme,0.87201
2018,EN_MAR_CHLANM,Viet Nam,High,3.94454
2018,EN_MAR_CHLANM,Viet Nam,Moderate,5.02176
2019,EN_MAR_CHLANM,Viet Nam,Moderate,5.28686
2019,EN_MAR_CHLANM,Viet Nam,High,4.44093
2019,EN_MAR_CHLANM,Viet Nam,Extreme,1.11818
2020,EN_MAR_CHLANM,Viet Nam,Extreme,0.96193
2020,EN_MAR_CHLANM,Viet Nam,High,5.32386
2020,EN_MAR_CHLANM,Viet Nam,Moderate,6.00087
2021,EN_MAR_CHLANM,Viet Nam,High,5.08779
2021,EN_MAR_CHLANM,Viet Nam,Extreme,1.39529
2021,EN_MAR_CHLANM,Viet Nam,Moderate,5.53973
2022,EN_MAR_CHLANM,Viet Nam,Moderate,5.23727
2022,EN_MAR_CHLANM,Viet Nam,Extreme,0.81082
2022,EN_MAR_CHLANM,Viet Nam,High,4.26641
2018,EN_MAR_CHLANM,Slovenia,Extreme,1.94429
2018,EN_MAR_CHLANM,Slovenia,High,7.07943
2018,EN_MAR_CHLANM,Slovenia,Moderate,10.17649
2019,EN_MAR_CHLANM,Slovenia,Moderate,9.05757
2019,EN_MAR_CHLANM,Slovenia,High,14.38212
2019,EN_MAR_CHLANM,Slovenia,Extreme,1.76128
2020,EN_MAR_CHLANM,Slovenia,Extreme,0.28184
2020,EN_MAR_CHLANM,Slovenia,High,7.7829
2020,EN_MAR_CHLANM,Slovenia,Moderate,9.35117
2021,EN_MAR_CHLANM,Slovenia,Moderate,9.80769
2021,EN_MAR_CHLANM,Slovenia,High,10.2167
2021,EN_MAR_CHLANM,Slovenia,Extreme,0.33002
2022,EN_MAR_CHLANM,Slovenia,Extreme,1.45574
2022,EN_MAR_CHLANM,Slovenia,High,7.39711
2022,EN_MAR_CHLANM,Slovenia,Moderate,6.86338
2018,EN_MAR_CHLANM,Spain,High,6.7948
2018,EN_MAR_CHLANM,Spain,Extreme,1.26108
2018,EN_MAR_CHLANM,Spain,Moderate,7.83119
2019,EN_MAR_CHLANM,Spain,High,5.33465
2019,EN_MAR_CHLANM,Spain,Moderate,6.43313
2019,EN_MAR_CHLANM,Spain,Extreme,1.34299
2020,EN_MAR_CHLANM,Spain,Extreme,1.00146
2020,EN_MAR_CHLANM,Spain,Moderate,4.96864
2020,EN_MAR_CHLANM,Spain,High,4.2159
2021,EN_MAR_CHLANM,Spain,High,5.1686
2021,EN_MAR_CHLANM,Spain,Extreme,1.24614
2021,EN_MAR_CHLANM,Spain,Moderate,5.98481
2022,EN_MAR_CHLANM,Spain,Moderate,4.72975
2022,EN_MAR_CHLANM,Spain,High,3.89267
2022,EN_MAR_CHLANM,Spain,Extreme,1.19728
2018,EN_MAR_CHLANM,Sweden,Extreme,8.98264
2018,EN_MAR_CHLANM,Sweden,Moderate,6.87155
2018,EN_MAR_CHLANM,Sweden,High,10.43977
2019,EN_MAR_CHLANM,Sweden,High,13.74389
2019,EN_MAR_CHLANM,Sweden,Moderate,8.95976
2019,EN_MAR_CHLANM,Sweden,Extreme,5.21071
2020,EN_MAR_CHLANM,Sweden,Extreme,2.82453
2020,EN_MAR_CHLANM,Sweden,Moderate,6.81033
2020,EN_MAR_CHLANM,Sweden,High,9.2552
2021,EN_MAR_CHLANM,Sweden,Moderate,8.81229
2021,EN_MAR_CHLANM,Sweden,Extreme,1.78288
2021,EN_MAR_CHLANM,Sweden,High,8.48293
2022,EN_MAR_CHLANM,Sweden,High,7.34133
2022,EN_MAR_CHLANM,Sweden,Extreme,1.84604
2022,EN_MAR_CHLANM,Sweden,Moderate,6.68259
2018,EN_MAR_CHLANM,United Arab Emirates,Extreme,1.46216
2018,EN_MAR_CHLANM,United Arab Emirates,Moderate,7.99522
2018,EN_MAR_CHLANM,United Arab Emirates,High,7.92576
2019,EN_MAR_CHLANM,United Arab Emirates,High,4.89123
2019,EN_MAR_CHLANM,United Arab Emirates,Extreme,0.77611
2019,EN_MAR_CHLANM,United Arab Emirates,Moderate,6.96575
2020,EN_MAR_CHLANM,United Arab Emirates,High,3.50302
2020,EN_MAR_CHLANM,United Arab Emirates,Extreme,0.10809
2020,EN_MAR_CHLANM,United Arab Emirates,Moderate,7.20382
2021,EN_MAR_CHLANM,United Arab Emirates,Extreme,0.06317
2021,EN_MAR_CHLANM,United Arab Emirates,High,2.54852
2021,EN_MAR_CHLANM,United Arab Emirates,Moderate,6.0048
2022,EN_MAR_CHLANM,United Arab Emirates,Moderate,3.93786
2022,EN_MAR_CHLANM,United Arab Emirates,High,2.0684
2022,EN_MAR_CHLANM,United Arab Emirates,Extreme,0.16579
2018,EN_MAR_CHLANM,Türkiye,Extreme,0.4654
2018,EN_MAR_CHLANM,Türkiye,Moderate,5.35737
2018,EN_MAR_CHLANM,Türkiye,High,2.88519
2019,EN_MAR_CHLANM,Türkiye,High,2.60254
2019,EN_MAR_CHLANM,Türkiye,Extreme,0.5574
2019,EN_MAR_CHLANM,Türkiye,Moderate,3.92803
2020,EN_MAR_CHLANM,Türkiye,Extreme,0.33496
2020,EN_MAR_CHLANM,Türkiye,High,3.57101
2020,EN_MAR_CHLANM,Türkiye,Moderate,5.71196
2021,EN_MAR_CHLANM,Türkiye,High,3.00239
2021,EN_MAR_CHLANM,Türkiye,Moderate,5.72364
2021,EN_MAR_CHLANM,Türkiye,Extreme,0.42829
2022,EN_MAR_CHLANM,Türkiye,High,2.51054
2022,EN_MAR_CHLANM,Türkiye,Moderate,5.06362
2022,EN_MAR_CHLANM,Türkiye,Extreme,0.20511
2018,EN_MAR_CHLANM,Turkmenistan,Extreme,0.47837
2018,EN_MAR_CHLANM,Turkmenistan,Moderate,4.53762
2018,EN_MAR_CHLANM,Turkmenistan,High,6.69149
2019,EN_MAR_CHLANM,Turkmenistan,Extreme,0.20793
2019,EN_MAR_CHLANM,Turkmenistan,Moderate,4.99702
2019,EN_MAR_CHLANM,Turkmenistan,High,2.15591
2020,EN_MAR_CHLANM,Turkmenistan,High,0.67669
2020,EN_MAR_CHLANM,Turkmenistan,Extreme,0.04516
2020,EN_MAR_CHLANM,Turkmenistan,Moderate,2.10493
2021,EN_MAR_CHLANM,Turkmenistan,Moderate,5.29009
2021,EN_MAR_CHLANM,Turkmenistan,Extreme,0.05896
2021,EN_MAR_CHLANM,Turkmenistan,High,2.26461
2022,EN_MAR_CHLANM,Turkmenistan,Extreme,0.02594
2022,EN_MAR_CHLANM,Turkmenistan,High,0.592
2022,EN_MAR_CHLANM,Turkmenistan,Moderate,2.91885
2018,EN_MAR_CHLANM,Ukraine,Moderate,4.29864
2018,EN_MAR_CHLANM,Ukraine,Extreme,0.4026
2018,EN_MAR_CHLANM,Ukraine,High,2.40729
2019,EN_MAR_CHLANM,Ukraine,Extreme,0.47999
2019,EN_MAR_CHLANM,Ukraine,High,3.86354
2019,EN_MAR_CHLANM,Ukraine,Moderate,5.02857
2020,EN_MAR_CHLANM,Ukraine,Moderate,5.86344
2020,EN_MAR_CHLANM,Ukraine,High,3.1924
2020,EN_MAR_CHLANM,Ukraine,Extreme,0.24997
2021,EN_MAR_CHLANM,Ukraine,Extreme,0.64406
2021,EN_MAR_CHLANM,Ukraine,High,3.47451
2021,EN_MAR_CHLANM,Ukraine,Moderate,5.96842
2018,EN_MAR_CHLANM,United Kingdom of Great Britain and Northern Ireland,High,9.21822
2018,EN_MAR_CHLANM,United Kingdom of Great Britain and Northern Ireland,Extreme,1.56311
2018,EN_MAR_CHLANM,United Kingdom of Great Britain and Northern Ireland,Moderate,8.69429
2019,EN_MAR_CHLANM,United Kingdom of Great Britain and Northern Ireland,Moderate,8.89782
2019,EN_MAR_CHLANM,United Kingdom of Great Britain and Northern Ireland,High,8.68392
2019,EN_MAR_CHLANM,United Kingdom of Great Britain and Northern Ireland,Extreme,1.38811
2020,EN_MAR_CHLANM,United Kingdom of Great Britain and Northern Ireland,High,7.97308
2020,EN_MAR_CHLANM,United Kingdom of Great Britain and Northern Ireland,Extreme,2.44957
2020,EN_MAR_CHLANM,United Kingdom of Great Britain and Northern Ireland,Moderate,6.46111
2021,EN_MAR_CHLANM,United Kingdom of Great Britain and Northern Ireland,Extreme,1.49674
2022,EN_MAR_CHLANM,Denmark,Moderate,5.20073
2022,EN_MAR_CHLANM,Denmark,High,4.078
2022,EN_MAR_CHLANM,Denmark,Extreme,0.6963
2021,EN_MAR_CHLANM,United Kingdom of Great Britain and Northern Ireland,Moderate,10.19161
2021,EN_MAR_CHLANM,United Kingdom of Great Britain and Northern Ireland,High,10.60801
2022,EN_MAR_CHLANM,United Kingdom of Great Britain and Northern Ireland,High,6.57183
2022,EN_MAR_CHLANM,United Kingdom of Great Britain and Northern Ireland,Extreme,1.57098
2022,EN_MAR_CHLANM,United Kingdom of Great Britain and Northern Ireland,Moderate,6.99955
2022,EN_MAR_CHLANM,United Kingdom of Great Britain and Northern Ireland,Moderate,6.99955
