Year,Poverty line,Country,Value
2017,$3.65 a day (2017 PPP) LMIC,Georgia,20.1
2017,$6.85 a day (2017 PPP) UMIC,Georgia,53.9
2018,$2.15 a day (2017 PPP) dollar-a-day,Georgia,5.6
2018,$3.65 a day (2017 PPP) LMIC,Georgia,19.6
2018,$6.85 a day (2017 PPP) UMIC,Georgia,53.9
2019,$2.15 a day (2017 PPP) dollar-a-day,Georgia,4.8
2019,$3.65 a day (2017 PPP) LMIC,Georgia,18.5
2019,$6.85 a day (2017 PPP) UMIC,Georgia,54.2
2020,$2.15 a day (2017 PPP) dollar-a-day,Georgia,5.8
2020,$3.65 a day (2017 PPP) LMIC,Georgia,21.4
2020,$6.85 a day (2017 PPP) UMIC,Georgia,58.3
2021,$2.15 a day (2017 PPP) dollar-a-day,Georgia,5.5
2021,$3.65 a day (2017 PPP) LMIC,Georgia,19.1
2021,$6.85 a day (2017 PPP) UMIC,Georgia,55.4
2012,$2.15 a day (2017 PPP) dollar-a-day,Montenegro,3.0
2012,$3.65 a day (2017 PPP) LMIC,Montenegro,10.4
2012,$6.85 a day (2017 PPP) UMIC,Montenegro,26.3
2013,$2.15 a day (2017 PPP) dollar-a-day,Montenegro,3.0
2013,$3.65 a day (2017 PPP) LMIC,Montenegro,8.2
2013,$6.85 a day (2017 PPP) UMIC,Montenegro,23.3
2014,$2.15 a day (2017 PPP) dollar-a-day,Montenegro,1.6
2014,$3.65 a day (2017 PPP) LMIC,Montenegro,8.4
2014,$6.85 a day (2017 PPP) UMIC,Montenegro,22.6
2015,$2.15 a day (2017 PPP) dollar-a-day,Montenegro,1.3
2015,$3.65 a day (2017 PPP) LMIC,Montenegro,8.0
2015,$6.85 a day (2017 PPP) UMIC,Montenegro,21.3
2016,$2.15 a day (2017 PPP) dollar-a-day,Montenegro,2.5
2016,$3.65 a day (2017 PPP) LMIC,Montenegro,5.9
2016,$6.85 a day (2017 PPP) UMIC,Montenegro,17.3
2017,$2.15 a day (2017 PPP) dollar-a-day,Montenegro,3.3
2017,$3.65 a day (2017 PPP) LMIC,Montenegro,7.0
2017,$6.85 a day (2017 PPP) UMIC,Montenegro,17.2
2018,$2.15 a day (2017 PPP) dollar-a-day,Montenegro,2.8
2018,$3.65 a day (2017 PPP) LMIC,Montenegro,6.3
2018,$6.85 a day (2017 PPP) UMIC,Montenegro,18.5
2009,$2.15 a day (2017 PPP) dollar-a-day,North Macedonia,9.8
2009,$3.65 a day (2017 PPP) LMIC,North Macedonia,18.6
2009,$6.85 a day (2017 PPP) UMIC,North Macedonia,40.8
2010,$2.15 a day (2017 PPP) dollar-a-day,North Macedonia,10.4
2010,$3.65 a day (2017 PPP) LMIC,North Macedonia,17.9
2010,$6.85 a day (2017 PPP) UMIC,North Macedonia,37.8
2011,$2.15 a day (2017 PPP) dollar-a-day,North Macedonia,9.1
2011,$3.65 a day (2017 PPP) LMIC,North Macedonia,15.5
2011,$6.85 a day (2017 PPP) UMIC,North Macedonia,37.2
2012,$2.15 a day (2017 PPP) dollar-a-day,North Macedonia,6.9
2012,$3.65 a day (2017 PPP) LMIC,North Macedonia,14.1
2012,$6.85 a day (2017 PPP) UMIC,North Macedonia,35.7
2013,$2.15 a day (2017 PPP) dollar-a-day,North Macedonia,5.2
2013,$3.65 a day (2017 PPP) LMIC,North Macedonia,12.0
2013,$6.85 a day (2017 PPP) UMIC,North Macedonia,34.1
2014,$2.15 a day (2017 PPP) dollar-a-day,North Macedonia,4.5
2014,$3.65 a day (2017 PPP) LMIC,North Macedonia,10.5
2014,$6.85 a day (2017 PPP) UMIC,North Macedonia,29.8
2015,$2.15 a day (2017 PPP) dollar-a-day,North Macedonia,5.5
2015,$3.65 a day (2017 PPP) LMIC,North Macedonia,10.1
2015,$6.85 a day (2017 PPP) UMIC,North Macedonia,28.8
2016,$2.15 a day (2017 PPP) dollar-a-day,North Macedonia,4.2
2016,$3.65 a day (2017 PPP) LMIC,North Macedonia,9.7
2016,$6.85 a day (2017 PPP) UMIC,North Macedonia,24.9
2017,$2.15 a day (2017 PPP) dollar-a-day,North Macedonia,4.5
2017,$3.65 a day (2017 PPP) LMIC,North Macedonia,9.2
2017,$6.85 a day (2017 PPP) UMIC,North Macedonia,23.1
2018,$2.15 a day (2017 PPP) dollar-a-day,North Macedonia,3.4
2018,$3.65 a day (2017 PPP) LMIC,North Macedonia,7.1
2018,$6.85 a day (2017 PPP) UMIC,North Macedonia,20.8
2019,$2.15 a day (2017 PPP) dollar-a-day,North Macedonia,2.7
2019,$3.65 a day (2017 PPP) LMIC,North Macedonia,7.5
2019,$6.85 a day (2017 PPP) UMIC,North Macedonia,19.0
1998,$2.15 a day (2017 PPP) dollar-a-day,Moldova,24.0
1998,$3.65 a day (2017 PPP) LMIC,Moldova,53.1
1998,$6.85 a day (2017 PPP) UMIC,Moldova,83.9
1999,$2.15 a day (2017 PPP) dollar-a-day,Moldova,33.5
1999,$3.65 a day (2017 PPP) LMIC,Moldova,66.0
1999,$6.85 a day (2017 PPP) UMIC,Moldova,88.4
2000,$2.15 a day (2017 PPP) dollar-a-day,Moldova,31.1
2000,$3.65 a day (2017 PPP) LMIC,Moldova,64.7
2000,$6.85 a day (2017 PPP) UMIC,Moldova,90.8
2001,$2.15 a day (2017 PPP) dollar-a-day,Moldova,23.3
2001,$3.65 a day (2017 PPP) LMIC,Moldova,55.1
2001,$6.85 a day (2017 PPP) UMIC,Moldova,85.8
2002,$2.15 a day (2017 PPP) dollar-a-day,Moldova,13.6
2002,$3.65 a day (2017 PPP) LMIC,Moldova,40.5
2002,$6.85 a day (2017 PPP) UMIC,Moldova,76.9
2003,$2.15 a day (2017 PPP) dollar-a-day,Moldova,5.6
2003,$3.65 a day (2017 PPP) LMIC,Moldova,27.7
2003,$6.85 a day (2017 PPP) UMIC,Moldova,69.6
2004,$2.15 a day (2017 PPP) dollar-a-day,Moldova,6.6
2004,$3.65 a day (2017 PPP) LMIC,Moldova,28.7
2004,$6.85 a day (2017 PPP) UMIC,Moldova,70.2
2005,$2.15 a day (2017 PPP) dollar-a-day,Moldova,10.9
2005,$3.65 a day (2017 PPP) LMIC,Moldova,35.7
2005,$6.85 a day (2017 PPP) UMIC,Moldova,75.3
2006,$2.15 a day (2017 PPP) dollar-a-day,Moldova,2.0
2006,$3.65 a day (2017 PPP) LMIC,Moldova,10.6
2006,$6.85 a day (2017 PPP) UMIC,Moldova,41.9
2007,$2.15 a day (2017 PPP) dollar-a-day,Moldova,1.0
2007,$3.65 a day (2017 PPP) LMIC,Moldova,6.5
2007,$6.85 a day (2017 PPP) UMIC,Moldova,32.5
2008,$2.15 a day (2017 PPP) dollar-a-day,Moldova,1.0
2008,$3.65 a day (2017 PPP) LMIC,Moldova,7.2
2008,$6.85 a day (2017 PPP) UMIC,Moldova,34.0
2009,$2.15 a day (2017 PPP) dollar-a-day,Moldova,0.7
2009,$3.65 a day (2017 PPP) LMIC,Moldova,6.6
2009,$6.85 a day (2017 PPP) UMIC,Moldova,33.0
2010,$2.15 a day (2017 PPP) dollar-a-day,Moldova,0.4
2010,$3.65 a day (2017 PPP) LMIC,Moldova,4.5
2010,$6.85 a day (2017 PPP) UMIC,Moldova,30.1
2011,$2.15 a day (2017 PPP) dollar-a-day,Moldova,0.2
2011,$3.65 a day (2017 PPP) LMIC,Moldova,3.1
2011,$6.85 a day (2017 PPP) UMIC,Moldova,27.0
2012,$2.15 a day (2017 PPP) dollar-a-day,Moldova,0.1
2012,$3.65 a day (2017 PPP) LMIC,Moldova,2.3
2012,$6.85 a day (2017 PPP) UMIC,Moldova,25.9
2013,$2.15 a day (2017 PPP) dollar-a-day,Moldova,0.0
2013,$3.65 a day (2017 PPP) LMIC,Moldova,1.6
2013,$6.85 a day (2017 PPP) UMIC,Moldova,21.1
2014,$2.15 a day (2017 PPP) dollar-a-day,Moldova,0.0
2014,$3.65 a day (2017 PPP) LMIC,Moldova,0.8
2014,$6.85 a day (2017 PPP) UMIC,Moldova,19.9
2015,$2.15 a day (2017 PPP) dollar-a-day,Moldova,0.0
2015,$3.65 a day (2017 PPP) LMIC,Moldova,0.9
2015,$6.85 a day (2017 PPP) UMIC,Moldova,17.7
2016,$2.15 a day (2017 PPP) dollar-a-day,Moldova,0.1
2016,$3.65 a day (2017 PPP) LMIC,Moldova,1.1
2016,$6.85 a day (2017 PPP) UMIC,Moldova,17.7
2017,$2.15 a day (2017 PPP) dollar-a-day,Moldova,0.0
2017,$3.65 a day (2017 PPP) LMIC,Moldova,0.7
2017,$6.85 a day (2017 PPP) UMIC,Moldova,17.5
2018,$2.15 a day (2017 PPP) dollar-a-day,Moldova,0.0
2018,$3.65 a day (2017 PPP) LMIC,Moldova,0.6
2018,$6.85 a day (2017 PPP) UMIC,Moldova,14.6
2019,$2.15 a day (2017 PPP) dollar-a-day,Moldova,0.0
2019,$3.65 a day (2017 PPP) LMIC,Moldova,0.4
2019,$6.85 a day (2017 PPP) UMIC,Moldova,14.7
2021,$2.15 a day (2017 PPP) dollar-a-day,Moldova,0.0
2021,$3.65 a day (2017 PPP) LMIC,Moldova,0.3
2021,$6.85 a day (2017 PPP) UMIC,Moldova,14.4
2012,$2.15 a day (2017 PPP) dollar-a-day,Serbia,5.3
2012,$3.65 a day (2017 PPP) LMIC,Serbia,10.2
2012,$6.85 a day (2017 PPP) UMIC,Serbia,25.0
2013,$2.15 a day (2017 PPP) dollar-a-day,Serbia,5.8
2013,$3.65 a day (2017 PPP) LMIC,Serbia,11.6
2013,$6.85 a day (2017 PPP) UMIC,Serbia,28.3
2014,$2.15 a day (2017 PPP) dollar-a-day,Serbia,6.9
2014,$3.65 a day (2017 PPP) LMIC,Serbia,12.2
2014,$6.85 a day (2017 PPP) UMIC,Serbia,28.2
2015,$2.15 a day (2017 PPP) dollar-a-day,Serbia,6.6
2015,$3.65 a day (2017 PPP) LMIC,Serbia,11.6
2015,$6.85 a day (2017 PPP) UMIC,Serbia,27.2
2016,$2.15 a day (2017 PPP) dollar-a-day,Serbia,6.4
2016,$3.65 a day (2017 PPP) LMIC,Serbia,11.0
2016,$6.85 a day (2017 PPP) UMIC,Serbia,24.6
2017,$2.15 a day (2017 PPP) dollar-a-day,Serbia,5.4
2017,$3.65 a day (2017 PPP) LMIC,Serbia,9.0
2017,$6.85 a day (2017 PPP) UMIC,Serbia,21.7
2018,$2.15 a day (2017 PPP) dollar-a-day,Serbia,2.9
2018,$3.65 a day (2017 PPP) LMIC,Serbia,5.9
2018,$6.85 a day (2017 PPP) UMIC,Serbia,17.2
2019,$2.15 a day (2017 PPP) dollar-a-day,Serbia,2.3
2019,$3.65 a day (2017 PPP) LMIC,Serbia,4.0
2019,$6.85 a day (2017 PPP) UMIC,Serbia,12.0
2020,$2.15 a day (2017 PPP) dollar-a-day,Serbia,1.6
2020,$3.65 a day (2017 PPP) LMIC,Serbia,2.8
2020,$6.85 a day (2017 PPP) UMIC,Serbia,10.1
2002,$2.15 a day (2017 PPP) dollar-a-day,Turkiye,2.1
2002,$3.65 a day (2017 PPP) LMIC,Turkiye,12.3
2002,$6.85 a day (2017 PPP) UMIC,Turkiye,38.8
2003,$2.15 a day (2017 PPP) dollar-a-day,Turkiye,3.9
2003,$3.65 a day (2017 PPP) LMIC,Turkiye,14.6
2003,$6.85 a day (2017 PPP) UMIC,Turkiye,42.0
2004,$2.15 a day (2017 PPP) dollar-a-day,Turkiye,2.0
2004,$3.65 a day (2017 PPP) LMIC,Turkiye,9.9
2004,$6.85 a day (2017 PPP) UMIC,Turkiye,30.8
2005,$2.15 a day (2017 PPP) dollar-a-day,Turkiye,2.3
2005,$3.65 a day (2017 PPP) LMIC,Turkiye,9.5
2005,$6.85 a day (2017 PPP) UMIC,Turkiye,28.4
2006,$2.15 a day (2017 PPP) dollar-a-day,Turkiye,1.8
2006,$3.65 a day (2017 PPP) LMIC,Turkiye,8.0
2006,$6.85 a day (2017 PPP) UMIC,Turkiye,25.9
2007,$2.15 a day (2017 PPP) dollar-a-day,Turkiye,1.3
2007,$3.65 a day (2017 PPP) LMIC,Turkiye,6.4
2007,$6.85 a day (2017 PPP) UMIC,Turkiye,22.3
2008,$2.15 a day (2017 PPP) dollar-a-day,Turkiye,0.6
2008,$3.65 a day (2017 PPP) LMIC,Turkiye,5.6
2008,$6.85 a day (2017 PPP) UMIC,Turkiye,18.8
2009,$2.15 a day (2017 PPP) dollar-a-day,Turkiye,0.7
2009,$3.65 a day (2017 PPP) LMIC,Turkiye,4.8
2009,$6.85 a day (2017 PPP) UMIC,Turkiye,19.2
2010,$2.15 a day (2017 PPP) dollar-a-day,Turkiye,0.8
2010,$3.65 a day (2017 PPP) LMIC,Turkiye,4.4
2010,$6.85 a day (2017 PPP) UMIC,Turkiye,18.2
2011,$2.15 a day (2017 PPP) dollar-a-day,Turkiye,0.1
2011,$3.65 a day (2017 PPP) LMIC,Turkiye,4.0
2011,$6.85 a day (2017 PPP) UMIC,Turkiye,15.9
2012,$2.15 a day (2017 PPP) dollar-a-day,Turkiye,0.1
2012,$3.65 a day (2017 PPP) LMIC,Turkiye,3.2
2012,$6.85 a day (2017 PPP) UMIC,Turkiye,14.8
2013,$2.15 a day (2017 PPP) dollar-a-day,Turkiye,0.3
2013,$3.65 a day (2017 PPP) LMIC,Turkiye,2.7
2013,$6.85 a day (2017 PPP) UMIC,Turkiye,13.8
2014,$2.15 a day (2017 PPP) dollar-a-day,Turkiye,0.2
2014,$3.65 a day (2017 PPP) LMIC,Turkiye,2.2
2014,$6.85 a day (2017 PPP) UMIC,Turkiye,12.4
2015,$2.15 a day (2017 PPP) dollar-a-day,Turkiye,0.2
2015,$3.65 a day (2017 PPP) LMIC,Turkiye,2.5
2015,$6.85 a day (2017 PPP) UMIC,Turkiye,13.7
2016,$2.15 a day (2017 PPP) dollar-a-day,Turkiye,0.2
2016,$3.65 a day (2017 PPP) LMIC,Turkiye,1.6
2016,$6.85 a day (2017 PPP) UMIC,Turkiye,11.6
2017,$2.15 a day (2017 PPP) dollar-a-day,Turkiye,0.1
2017,$3.65 a day (2017 PPP) LMIC,Turkiye,1.5
2017,$6.85 a day (2017 PPP) UMIC,Turkiye,10.9
2018,$2.15 a day (2017 PPP) dollar-a-day,Turkiye,0.0
2018,$3.65 a day (2017 PPP) LMIC,Turkiye,1.4
2018,$6.85 a day (2017 PPP) UMIC,Turkiye,10.9
2019,$2.15 a day (2017 PPP) dollar-a-day,Turkiye,0.4
2019,$3.65 a day (2017 PPP) LMIC,Turkiye,2.2
2019,$6.85 a day (2017 PPP) UMIC,Turkiye,12.6
2002,$2.15 a day (2017 PPP) dollar-a-day,Ukraine,2.7
2002,$3.65 a day (2017 PPP) LMIC,Ukraine,17.0
2002,$6.85 a day (2017 PPP) UMIC,Ukraine,61.9
2003,$2.15 a day (2017 PPP) dollar-a-day,Ukraine,1.1
2003,$3.65 a day (2017 PPP) LMIC,Ukraine,10.4
2003,$6.85 a day (2017 PPP) UMIC,Ukraine,54.1
2004,$2.15 a day (2017 PPP) dollar-a-day,Ukraine,0.9
2004,$3.65 a day (2017 PPP) LMIC,Ukraine,8.3
2004,$6.85 a day (2017 PPP) UMIC,Ukraine,43.9
2005,$2.15 a day (2017 PPP) dollar-a-day,Ukraine,0.4
2005,$3.65 a day (2017 PPP) LMIC,Ukraine,3.9
2005,$6.85 a day (2017 PPP) UMIC,Ukraine,31.0
2006,$2.15 a day (2017 PPP) dollar-a-day,Ukraine,0.2
2006,$3.65 a day (2017 PPP) LMIC,Ukraine,2.7
2006,$6.85 a day (2017 PPP) UMIC,Ukraine,26.6
2007,$2.15 a day (2017 PPP) dollar-a-day,Ukraine,0.1
2007,$3.65 a day (2017 PPP) LMIC,Ukraine,2.1
2007,$6.85 a day (2017 PPP) UMIC,Ukraine,26.4
2008,$2.15 a day (2017 PPP) dollar-a-day,Ukraine,0.0
2008,$3.65 a day (2017 PPP) LMIC,Ukraine,0.9
2008,$6.85 a day (2017 PPP) UMIC,Ukraine,16.7
2009,$2.15 a day (2017 PPP) dollar-a-day,Ukraine,0.1
2009,$3.65 a day (2017 PPP) LMIC,Ukraine,1.0
2009,$6.85 a day (2017 PPP) UMIC,Ukraine,19.3
2010,$2.15 a day (2017 PPP) dollar-a-day,Ukraine,0.0
2010,$3.65 a day (2017 PPP) LMIC,Ukraine,0.4
2010,$6.85 a day (2017 PPP) UMIC,Ukraine,15.2
2011,$2.15 a day (2017 PPP) dollar-a-day,Ukraine,0.0
2011,$3.65 a day (2017 PPP) LMIC,Ukraine,0.5
2011,$6.85 a day (2017 PPP) UMIC,Ukraine,12.4
2012,$2.15 a day (2017 PPP) dollar-a-day,Ukraine,0.1
2012,$3.65 a day (2017 PPP) LMIC,Ukraine,0.4
2012,$6.85 a day (2017 PPP) UMIC,Ukraine,11.0
2013,$2.15 a day (2017 PPP) dollar-a-day,Ukraine,0.0
2013,$3.65 a day (2017 PPP) LMIC,Ukraine,0.3
2013,$6.85 a day (2017 PPP) UMIC,Ukraine,8.4
2014,$2.15 a day (2017 PPP) dollar-a-day,Ukraine,0.0
2014,$3.65 a day (2017 PPP) LMIC,Ukraine,0.2
2014,$6.85 a day (2017 PPP) UMIC,Ukraine,9.0
2015,$2.15 a day (2017 PPP) dollar-a-day,Ukraine,0.1
2015,$3.65 a day (2017 PPP) LMIC,Ukraine,0.9
2015,$6.85 a day (2017 PPP) UMIC,Ukraine,15.0
2016,$2.15 a day (2017 PPP) dollar-a-day,Ukraine,0.1
2016,$3.65 a day (2017 PPP) LMIC,Ukraine,0.7
2016,$6.85 a day (2017 PPP) UMIC,Ukraine,15.4
2017,$2.15 a day (2017 PPP) dollar-a-day,Ukraine,0.0
2017,$3.65 a day (2017 PPP) LMIC,Ukraine,0.6
2017,$6.85 a day (2017 PPP) UMIC,Ukraine,10.8
2018,$2.15 a day (2017 PPP) dollar-a-day,Ukraine,0.0
2018,$3.65 a day (2017 PPP) LMIC,Ukraine,0.5
2018,$6.85 a day (2017 PPP) UMIC,Ukraine,9.4
2019,$2.15 a day (2017 PPP) dollar-a-day,Ukraine,0.0
2019,$3.65 a day (2017 PPP) LMIC,Ukraine,0.3
2019,$6.85 a day (2017 PPP) UMIC,Ukraine,7.1
2020,$2.15 a day (2017 PPP) dollar-a-day,Ukraine,0.0
2020,$3.65 a day (2017 PPP) LMIC,Ukraine,0.2
2020,$6.85 a day (2017 PPP) UMIC,Ukraine,7.1
2001,$2.15 a day (2017 PPP) dollar-a-day,Australia,0.7
2001,$3.65 a day (2017 PPP) LMIC,Australia,1.0
2001,$6.85 a day (2017 PPP) UMIC,Australia,1.5
2003,$2.15 a day (2017 PPP) dollar-a-day,Australia,1.0
2003,$3.65 a day (2017 PPP) LMIC,Australia,1.2
2003,$6.85 a day (2017 PPP) UMIC,Australia,1.7
2004,$2.15 a day (2017 PPP) dollar-a-day,Australia,0.7
2004,$3.65 a day (2017 PPP) LMIC,Australia,0.7
2004,$6.85 a day (2017 PPP) UMIC,Australia,1.2
2008,$2.15 a day (2017 PPP) dollar-a-day,Australia,0.4
2008,$3.65 a day (2017 PPP) LMIC,Australia,0.7
2008,$6.85 a day (2017 PPP) UMIC,Australia,0.7
2010,$2.15 a day (2017 PPP) dollar-a-day,Australia,0.3
2010,$3.65 a day (2017 PPP) LMIC,Australia,0.7
2010,$6.85 a day (2017 PPP) UMIC,Australia,1.0
2014,$2.15 a day (2017 PPP) dollar-a-day,Australia,0.5
2014,$3.65 a day (2017 PPP) LMIC,Australia,0.7
2014,$6.85 a day (2017 PPP) UMIC,Australia,1.0
2016,$2.15 a day (2017 PPP) dollar-a-day,Australia,0.5
2016,$3.65 a day (2017 PPP) LMIC,Australia,0.5
2016,$6.85 a day (2017 PPP) UMIC,Australia,1.0
2018,$2.15 a day (2017 PPP) dollar-a-day,Australia,0.5
2018,$3.65 a day (2017 PPP) LMIC,Australia,0.7
2018,$6.85 a day (2017 PPP) UMIC,Australia,1.0
1998,$2.15 a day (2017 PPP) dollar-a-day,Canada,0.5
1998,$3.65 a day (2017 PPP) LMIC,Canada,0.7
1998,$6.85 a day (2017 PPP) UMIC,Canada,1.2
1999,$2.15 a day (2017 PPP) dollar-a-day,Canada,0.5
1999,$3.65 a day (2017 PPP) LMIC,Canada,0.5
1999,$6.85 a day (2017 PPP) UMIC,Canada,1.2
2000,$2.15 a day (2017 PPP) dollar-a-day,Canada,0.2
2000,$3.65 a day (2017 PPP) LMIC,Canada,0.5
2000,$6.85 a day (2017 PPP) UMIC,Canada,1.0
2001,$2.15 a day (2017 PPP) dollar-a-day,Canada,0.2
2001,$3.65 a day (2017 PPP) LMIC,Canada,0.5
2001,$6.85 a day (2017 PPP) UMIC,Canada,0.7
2002,$2.15 a day (2017 PPP) dollar-a-day,Canada,0.2
2002,$3.65 a day (2017 PPP) LMIC,Canada,0.5
2002,$6.85 a day (2017 PPP) UMIC,Canada,0.7
2003,$2.15 a day (2017 PPP) dollar-a-day,Canada,0.2
2003,$3.65 a day (2017 PPP) LMIC,Canada,0.5
2003,$6.85 a day (2017 PPP) UMIC,Canada,0.7
2004,$2.15 a day (2017 PPP) dollar-a-day,Canada,0.2
2004,$3.65 a day (2017 PPP) LMIC,Canada,0.2
2004,$6.85 a day (2017 PPP) UMIC,Canada,0.7
2005,$2.15 a day (2017 PPP) dollar-a-day,Canada,0.2
2005,$3.65 a day (2017 PPP) LMIC,Canada,0.5
2005,$6.85 a day (2017 PPP) UMIC,Canada,1.0
2006,$2.15 a day (2017 PPP) dollar-a-day,Canada,0.2
2006,$3.65 a day (2017 PPP) LMIC,Canada,0.5
2006,$6.85 a day (2017 PPP) UMIC,Canada,0.7
2007,$2.15 a day (2017 PPP) dollar-a-day,Canada,0.2
2007,$3.65 a day (2017 PPP) LMIC,Canada,0.2
2007,$6.85 a day (2017 PPP) UMIC,Canada,0.5
2008,$2.15 a day (2017 PPP) dollar-a-day,Canada,0.2
2008,$3.65 a day (2017 PPP) LMIC,Canada,0.2
2008,$6.85 a day (2017 PPP) UMIC,Canada,0.7
2009,$2.15 a day (2017 PPP) dollar-a-day,Canada,0.2
2009,$3.65 a day (2017 PPP) LMIC,Canada,0.2
2009,$6.85 a day (2017 PPP) UMIC,Canada,0.7
2010,$2.15 a day (2017 PPP) dollar-a-day,Canada,0.2
2010,$3.65 a day (2017 PPP) LMIC,Canada,0.2
2010,$6.85 a day (2017 PPP) UMIC,Canada,0.5
2011,$2.15 a day (2017 PPP) dollar-a-day,Canada,0.2
2011,$3.65 a day (2017 PPP) LMIC,Canada,0.5
2011,$6.85 a day (2017 PPP) UMIC,Canada,0.7
2012,$2.15 a day (2017 PPP) dollar-a-day,Canada,0.2
2012,$3.65 a day (2017 PPP) LMIC,Canada,0.5
2012,$6.85 a day (2017 PPP) UMIC,Canada,0.7
2013,$2.15 a day (2017 PPP) dollar-a-day,Canada,0.5
2013,$3.65 a day (2017 PPP) LMIC,Canada,0.5
2013,$6.85 a day (2017 PPP) UMIC,Canada,1.0
2014,$2.15 a day (2017 PPP) dollar-a-day,Canada,0.2
2014,$3.65 a day (2017 PPP) LMIC,Canada,0.5
2014,$6.85 a day (2017 PPP) UMIC,Canada,1.0
2015,$2.15 a day (2017 PPP) dollar-a-day,Canada,0.2
2015,$3.65 a day (2017 PPP) LMIC,Canada,0.5
2015,$6.85 a day (2017 PPP) UMIC,Canada,1.0
2016,$2.15 a day (2017 PPP) dollar-a-day,Canada,0.2
2016,$3.65 a day (2017 PPP) LMIC,Canada,0.5
2016,$6.85 a day (2017 PPP) UMIC,Canada,1.0
2017,$2.15 a day (2017 PPP) dollar-a-day,Canada,0.2
2017,$3.65 a day (2017 PPP) LMIC,Canada,0.5
2017,$6.85 a day (2017 PPP) UMIC,Canada,0.7
2018,$2.15 a day (2017 PPP) dollar-a-day,Canada,0.2
2018,$3.65 a day (2017 PPP) LMIC,Canada,0.5
2018,$6.85 a day (2017 PPP) UMIC,Canada,0.7
2019,$2.15 a day (2017 PPP) dollar-a-day,Canada,0.2
2019,$3.65 a day (2017 PPP) LMIC,Canada,0.5
2019,$6.85 a day (2017 PPP) UMIC,Canada,0.7
1998,$2.15 a day (2017 PPP) dollar-a-day,Chile,4.6
1998,$3.65 a day (2017 PPP) LMIC,Chile,14.9
1998,$6.85 a day (2017 PPP) UMIC,Chile,38.9
2000,$2.15 a day (2017 PPP) dollar-a-day,Chile,5.8
2000,$3.65 a day (2017 PPP) LMIC,Chile,16.0
2000,$6.85 a day (2017 PPP) UMIC,Chile,41.4
2003,$2.15 a day (2017 PPP) dollar-a-day,Chile,5.3
2003,$3.65 a day (2017 PPP) LMIC,Chile,15.3
2003,$6.85 a day (2017 PPP) UMIC,Chile,40.6
2006,$2.15 a day (2017 PPP) dollar-a-day,Chile,2.1
2006,$3.65 a day (2017 PPP) LMIC,Chile,7.8
2006,$6.85 a day (2017 PPP) UMIC,Chile,29.9
2009,$2.15 a day (2017 PPP) dollar-a-day,Chile,1.7
2009,$3.65 a day (2017 PPP) LMIC,Chile,5.8
2009,$6.85 a day (2017 PPP) UMIC,Chile,25.4
2011,$2.15 a day (2017 PPP) dollar-a-day,Chile,0.9
2011,$3.65 a day (2017 PPP) LMIC,Chile,4.0
2011,$6.85 a day (2017 PPP) UMIC,Chile,21.2
2013,$2.15 a day (2017 PPP) dollar-a-day,Chile,0.5
2013,$3.65 a day (2017 PPP) LMIC,Chile,2.0
2013,$6.85 a day (2017 PPP) UMIC,Chile,12.9
2015,$2.15 a day (2017 PPP) dollar-a-day,Chile,0.4
2015,$3.65 a day (2017 PPP) LMIC,Chile,1.6
2015,$6.85 a day (2017 PPP) UMIC,Chile,10.2
2017,$2.15 a day (2017 PPP) dollar-a-day,Chile,0.3
2017,$3.65 a day (2017 PPP) LMIC,Chile,1.1
2017,$6.85 a day (2017 PPP) UMIC,Chile,7.5
2020,$2.15 a day (2017 PPP) dollar-a-day,Chile,0.7
2020,$3.65 a day (2017 PPP) LMIC,Chile,1.7
2020,$6.85 a day (2017 PPP) UMIC,Chile,8.0
1999,$2.15 a day (2017 PPP) dollar-a-day,China,46.0
1999,$3.65 a day (2017 PPP) LMIC,China,73.3
1999,$6.85 a day (2017 PPP) UMIC,China,93.1
2002,$2.15 a day (2017 PPP) dollar-a-day,China,36.5
2002,$3.65 a day (2017 PPP) LMIC,China,62.8
2002,$6.85 a day (2017 PPP) UMIC,China,86.9
2005,$2.15 a day (2017 PPP) dollar-a-day,China,22.1
2005,$3.65 a day (2017 PPP) LMIC,China,49.0
2005,$6.85 a day (2017 PPP) UMIC,China,78.5
2008,$2.15 a day (2017 PPP) dollar-a-day,China,18.0
2008,$3.65 a day (2017 PPP) LMIC,China,39.7
2008,$6.85 a day (2017 PPP) UMIC,China,69.5
2010,$2.15 a day (2017 PPP) dollar-a-day,China,13.9
2010,$3.65 a day (2017 PPP) LMIC,China,33.1
2010,$6.85 a day (2017 PPP) UMIC,China,62.5
2011,$2.15 a day (2017 PPP) dollar-a-day,China,10.2
2011,$3.65 a day (2017 PPP) LMIC,China,28.0
2011,$6.85 a day (2017 PPP) UMIC,China,58.9
2012,$2.15 a day (2017 PPP) dollar-a-day,China,8.5
2012,$3.65 a day (2017 PPP) LMIC,China,24.2
2012,$6.85 a day (2017 PPP) UMIC,China,54.1
2013,$2.15 a day (2017 PPP) dollar-a-day,China,2.9
2013,$3.65 a day (2017 PPP) LMIC,China,15.8
2013,$6.85 a day (2017 PPP) UMIC,China,47.3
2014,$2.15 a day (2017 PPP) dollar-a-day,China,2.1
2014,$3.65 a day (2017 PPP) LMIC,China,12.7
2014,$6.85 a day (2017 PPP) UMIC,China,42.3
2015,$2.15 a day (2017 PPP) dollar-a-day,China,1.2
2015,$3.65 a day (2017 PPP) LMIC,China,9.8
