Year,SeriesCode,Country,Age,Sex,Type of occupation,Value
2018,SL_EMP_EARN,Estonia,,Female,isco08-4,6.0
2018,SL_EMP_EARN,Estonia,,Both sexes,isco08-9,5.0
2018,SL_EMP_EARN,Estonia,,Both sexes,isco08-4,7.0
2018,SL_EMP_EARN,Estonia,,Both sexes,isco08-3,8.0
2018,SL_EMP_EARN,Estonia,,Male,isco08-7,7.0
2018,SL_EMP_EARN,Estonia,,Female,isco08-2,9.0
2018,SL_EMP_EARN,Estonia,,Female,Total or no breakdown,7.0
2018,SL_EMP_EARN,Estonia,,Female,isco08-1,11.0
2018,SL_EMP_EARN,Estonia,,Female,isco08-9,4.0
2002,SL_EMP_EARN,Finland,,Female,isco88-3,13.74
2002,SL_EMP_EARN,Finland,,Female,isco88-7,10.88
2002,SL_EMP_EARN,Finland,,Female,isco88-5,10.16
2002,SL_EMP_EARN,Finland,,Both sexes,isco88-7,12.71
2002,SL_EMP_EARN,Finland,,Both sexes,isco88-1,25.58
2002,SL_EMP_EARN,Finland,,Both sexes,isco88-2,19.86
2002,SL_EMP_EARN,Finland,,Male,isco88-1,26.78
2002,SL_EMP_EARN,Finland,,Male,isco88-2,20.24
2002,SL_EMP_EARN,Finland,,Male,isco88-3,16.29
2002,SL_EMP_EARN,Finland,,Male,isco88-X,16.33
2002,SL_EMP_EARN,Finland,,Male,isco88-5,11.52
2002,SL_EMP_EARN,Finland,,Male,isco88-9,11.49
2002,SL_EMP_EARN,Finland,,Female,isco88-X,9.64
2002,SL_EMP_EARN,Finland,,Male,Total or no breakdown,14.8
2002,SL_EMP_EARN,Finland,,Both sexes,Total or no breakdown,13.8
2002,SL_EMP_EARN,Finland,,Both sexes,isco88-X,12.78
2002,SL_EMP_EARN,Finland,,Female,Total or no breakdown,12.13
2002,SL_EMP_EARN,Finland,,Both sexes,isco88-9,10.61
2002,SL_EMP_EARN,Finland,,Male,isco88-4,12.63
2002,SL_EMP_EARN,Finland,,Male,isco88-8,13.14
2002,SL_EMP_EARN,Finland,,Male,isco88-7,12.91
2008,SL_EMP_EARN,Colombia,,Female,Total or no breakdown,4123.57
2008,SL_EMP_EARN,Colombia,,Both sexes,isco08-X,4447.47
2009,SL_EMP_EARN,Colombia,,Both sexes,isco08-2,5843.97
2009,SL_EMP_EARN,Colombia,,Female,isco08-5,3170.15
2009,SL_EMP_EARN,Colombia,,Female,isco08-2,5483.73
2009,SL_EMP_EARN,Colombia,,Both sexes,isco08-3,4272.6
2009,SL_EMP_EARN,Colombia,,Both sexes,Total or no breakdown,3927.69
2009,SL_EMP_EARN,Colombia,,Both sexes,isco08-6,2316.23
2009,SL_EMP_EARN,Colombia,,Both sexes,isco08-7,3234.55
2009,SL_EMP_EARN,Colombia,,Both sexes,isco08-1,7537.44
2009,SL_EMP_EARN,Colombia,,Male,isco08-1,7261.56
2009,SL_EMP_EARN,Colombia,,Female,isco08-6,2745.33
2009,SL_EMP_EARN,Colombia,,Male,isco08-9,2565.23
2009,SL_EMP_EARN,Colombia,,Male,isco08-7,3311.93
2009,SL_EMP_EARN,Colombia,,Male,isco08-X,4493.04
2009,SL_EMP_EARN,Colombia,,Female,isco08-7,2952.71
2009,SL_EMP_EARN,Colombia,,Female,isco08-9,2642.8
2009,SL_EMP_EARN,Colombia,,Male,isco08-8,2701.14
2002,SL_EMP_EARN,Finland,,Female,isco88-4,11.65
2002,SL_EMP_EARN,Finland,,Female,isco88-1,21.43
2002,SL_EMP_EARN,Finland,,Female,isco88-2,18.78
2002,SL_EMP_EARN,Finland,,Female,isco88-8,11.05
2002,SL_EMP_EARN,Finland,,Female,isco88-9,9.4
2002,SL_EMP_EARN,Finland,,Both sexes,isco88-8,12.61
2009,SL_EMP_EARN,Colombia,,Both sexes,isco08-X,5174.19
2009,SL_EMP_EARN,Colombia,,Both sexes,isco08-8,2683.71
2009,SL_EMP_EARN,Colombia,,Female,Total or no breakdown,4077.71
2009,SL_EMP_EARN,Colombia,,Both sexes,isco08-9,2594.8
2009,SL_EMP_EARN,Colombia,,Female,isco08-1,7889.93
2009,SL_EMP_EARN,Colombia,,Female,isco08-4,4317.7
2009,SL_EMP_EARN,Colombia,,Female,isco08-3,4291.43
2009,SL_EMP_EARN,Colombia,,Both sexes,isco08-4,4311.64
2009,SL_EMP_EARN,Colombia,,Male,isco08-3,4260.42
2009,SL_EMP_EARN,Colombia,,Both sexes,isco08-5,3479.01
2009,SL_EMP_EARN,Colombia,,Male,isco08-5,4173.99
2009,SL_EMP_EARN,Colombia,,Male,isco08-6,2281.47
2009,SL_EMP_EARN,Colombia,,Male,isco08-4,4301.91
2009,SL_EMP_EARN,Colombia,,Male,isco08-2,6308.09
2009,SL_EMP_EARN,Colombia,,Female,isco08-X,5453.24
2009,SL_EMP_EARN,Colombia,,Male,Total or no breakdown,3823.65
2009,SL_EMP_EARN,Colombia,,Female,isco08-8,2565.4
2010,SL_EMP_EARN,Colombia,,Female,isco08-7,2974.62
2010,SL_EMP_EARN,Colombia,,Male,isco08-1,7278.32
2010,SL_EMP_EARN,Colombia,,Male,Total or no breakdown,4048.74
2010,SL_EMP_EARN,Colombia,,Female,isco08-X,4517.09
2010,SL_EMP_EARN,Colombia,,Male,isco08-2,6690.52
2010,SL_EMP_EARN,Colombia,,Male,isco08-4,4698.97
2010,SL_EMP_EARN,Colombia,,Male,isco08-6,2485.7
2010,SL_EMP_EARN,Colombia,,Male,isco08-5,4364.58
2010,SL_EMP_EARN,Colombia,,Both sexes,isco08-2,6233.74
2010,SL_EMP_EARN,Colombia,,Female,isco08-1,8476.92
2010,SL_EMP_EARN,Colombia,,Female,isco08-4,4352.89
2010,SL_EMP_EARN,Colombia,,Female,isco08-3,4443.61
2010,SL_EMP_EARN,Colombia,,Both sexes,isco08-9,2689.26
2010,SL_EMP_EARN,Colombia,,Female,Total or no breakdown,4303.6
2010,SL_EMP_EARN,Colombia,,Both sexes,isco08-8,2832.72
2010,SL_EMP_EARN,Colombia,,Both sexes,isco08-X,3592.55
2010,SL_EMP_EARN,Colombia,,Female,isco08-5,3379.9
2010,SL_EMP_EARN,Colombia,,Male,isco08-8,2856.27
2010,SL_EMP_EARN,Colombia,,Female,isco08-8,2693.2
2010,SL_EMP_EARN,Colombia,,Female,isco08-6,2383.43
2010,SL_EMP_EARN,Colombia,,Female,isco08-9,2702.63
2010,SL_EMP_EARN,Colombia,,Male,isco08-7,3381.49
2010,SL_EMP_EARN,Colombia,,Male,isco08-9,2678.98
2010,SL_EMP_EARN,Colombia,,Male,isco08-X,2979.2
2010,SL_EMP_EARN,Colombia,,Both sexes,isco08-5,3696.71
2002,SL_EMP_EARN,Finland,,Both sexes,isco88-3,15.27
2002,SL_EMP_EARN,Finland,,Both sexes,isco88-4,11.92
2002,SL_EMP_EARN,Finland,,Both sexes,isco88-5,10.57
2006,SL_EMP_EARN,Finland,,Female,isco88-5,11.3
2006,SL_EMP_EARN,Finland,,Female,isco88-7,12.14
2006,SL_EMP_EARN,Finland,,Female,isco88-2,18.86
2020,SL_EMP_EARN,Armenia,,Male,isco08-3,780.9
2020,SL_EMP_EARN,Armenia,,Male,isco08-2,1103.68
2020,SL_EMP_EARN,Armenia,,Male,isco08-6,502.33
2020,SL_EMP_EARN,Armenia,,Female,Total or no breakdown,658.02
2020,SL_EMP_EARN,Armenia,,Both sexes,isco08-9,479.19
2020,SL_EMP_EARN,Armenia,,Both sexes,isco08-5,541.16
2020,SL_EMP_EARN,Armenia,,Female,isco08-1,1182.09
2020,SL_EMP_EARN,Armenia,,Female,isco08-4,563.97
2020,SL_EMP_EARN,Armenia,,Female,isco08-3,664.07
2020,SL_EMP_EARN,Armenia,,Female,isco08-5,464.06
2020,SL_EMP_EARN,Armenia,,Female,isco08-6,424.94
2002,SL_EMP_EARN,Belgium,,Both sexes,isco88-4,13.15
2002,SL_EMP_EARN,Belgium,,Male,isco88-2,20.67
2002,SL_EMP_EARN,Belgium,,Male,isco88-3,16.12
2002,SL_EMP_EARN,Belgium,,Male,isco88-5,11.88
2002,SL_EMP_EARN,Belgium,,Female,isco88-1,22.48
2002,SL_EMP_EARN,Belgium,,Both sexes,isco88-3,15.38
2002,SL_EMP_EARN,Belgium,,Both sexes,isco88-X,11.99
2002,SL_EMP_EARN,Belgium,,Female,isco88-4,12.4
2002,SL_EMP_EARN,Belgium,,Female,Total or no breakdown,12.05
2006,SL_EMP_EARN,Finland,,Both sexes,isco88-4,13.3
2006,SL_EMP_EARN,Finland,,Both sexes,isco88-3,15.98
2006,SL_EMP_EARN,Finland,,Both sexes,isco88-9,11.37
2006,SL_EMP_EARN,Finland,,Female,Total or no breakdown,13.75
2006,SL_EMP_EARN,Finland,,Both sexes,isco88-8,14.4
2006,SL_EMP_EARN,Finland,,Both sexes,Total or no breakdown,15.52
2002,SL_EMP_EARN,Belgium,,Female,isco88-5,9.66
2002,SL_EMP_EARN,Belgium,,Male,isco88-4,14.1
2002,SL_EMP_EARN,Belgium,,Male,isco88-1,29.69
2002,SL_EMP_EARN,Belgium,,Male,isco88-X,12.41
2002,SL_EMP_EARN,Belgium,,Female,isco88-3,13.67
2002,SL_EMP_EARN,Belgium,,Both sexes,isco88-5,10.65
2006,SL_EMP_EARN,Finland,,Female,isco88-9,10.51
2006,SL_EMP_EARN,Finland,,Female,isco88-8,12.51
2006,SL_EMP_EARN,Finland,,Male,Total or no breakdown,17.46
2006,SL_EMP_EARN,Finland,,Female,isco88-1,23.42
2006,SL_EMP_EARN,Finland,,Male,isco88-5,0.24
2006,SL_EMP_EARN,Finland,,Male,isco88-9,12.43
2006,SL_EMP_EARN,Finland,,Male,isco88-3,18.08
2006,SL_EMP_EARN,Finland,,Male,isco88-4,14.12
2006,SL_EMP_EARN,Finland,,Male,isco88-2,22.63
2006,SL_EMP_EARN,Finland,,Male,isco88-1,33.24
2006,SL_EMP_EARN,Finland,,Both sexes,isco88-1,30.08
2006,SL_EMP_EARN,Finland,,Both sexes,isco88-7,14.56
2006,SL_EMP_EARN,Finland,,Both sexes,isco88-2,20.8
2006,SL_EMP_EARN,Finland,,Both sexes,isco88-5,11.54
2006,SL_EMP_EARN,Finland,,Female,isco88-3,14.48
2006,SL_EMP_EARN,Finland,,Female,isco88-4,13.05
2006,SL_EMP_EARN,Finland,,Male,isco88-8,15.0
2006,SL_EMP_EARN,Finland,,Male,isco88-7,14.77
2010,SL_EMP_EARN,Finland,,Female,isco08-4,14.86
2010,SL_EMP_EARN,Finland,,Female,isco08-3,17.01
2010,SL_EMP_EARN,Finland,,Female,isco08-7,13.9
2010,SL_EMP_EARN,Finland,,Both sexes,isco08-1,36.37
2010,SL_EMP_EARN,Finland,,Both sexes,isco08-2,23.71
2010,SL_EMP_EARN,Finland,,Both sexes,isco08-9,12.56
2010,SL_EMP_EARN,Finland,,Male,Total or no breakdown,20.35
2010,SL_EMP_EARN,Finland,,Male,isco08-6,12.59
2010,SL_EMP_EARN,Finland,,Male,isco08-3,20.76
2010,SL_EMP_EARN,Finland,,Male,isco08-2,25.88
2010,SL_EMP_EARN,Finland,,Male,isco08-1,39.4
2010,SL_EMP_EARN,Finland,,Female,Total or no breakdown,16.22
2010,SL_EMP_EARN,Finland,,Male,isco08-9,14.18
2010,SL_EMP_EARN,Finland,,Female,isco08-2,21.78
2010,SL_EMP_EARN,Finland,,Female,isco08-8,14.46
2010,SL_EMP_EARN,Finland,,Female,isco08-9,11.59
2010,SL_EMP_EARN,Finland,,Female,isco08-6,11.85
2010,SL_EMP_EARN,Finland,,Female,isco08-5,13.18
2010,SL_EMP_EARN,Finland,,Male,isco08-5,14.6
2010,SL_EMP_EARN,Finland,,Male,isco08-4,15.57
2010,SL_EMP_EARN,Finland,,Both sexes,Total or no breakdown,18.12
2010,SL_EMP_EARN,Finland,,Both sexes,isco08-4,15.04
2010,SL_EMP_EARN,Finland,,Both sexes,isco08-5,13.48
2010,SL_EMP_EARN,Finland,,Both sexes,isco08-3,18.61
2010,SL_EMP_EARN,Finland,,Female,isco08-1,29.99
2010,SL_EMP_EARN,Finland,,Both sexes,isco08-6,12.26
2013,SL_EMP_EARN,Finland,,Both sexes,Total or no breakdown,19.33
2013,SL_EMP_EARN,Finland,,Female,Total or no breakdown,17.57
2013,SL_EMP_EARN,Finland,,Both sexes,isco08-0,24.59
2013,SL_EMP_EARN,Finland,,Female,isco08-4,15.9
2013,SL_EMP_EARN,Finland,,Female,isco08-2,23.67
2013,SL_EMP_EARN,Finland,,Female,isco08-9,12.05
2013,SL_EMP_EARN,Finland,,Female,isco08-1,32.67
2013,SL_EMP_EARN,Finland,,Female,isco08-0,21.02
2013,SL_EMP_EARN,Finland,,Both sexes,isco08-9,13.09
2013,SL_EMP_EARN,Finland,,Both sexes,isco08-X,18.19
2013,SL_EMP_EARN,Finland,,Both sexes,isco08-6,14.06
2013,SL_EMP_EARN,Finland,,Both sexes,isco08-2,25.81
2013,SL_EMP_EARN,Finland,,Male,isco08-7,17.85
2013,SL_EMP_EARN,Finland,,Male,isco08-0,24.78
2013,SL_EMP_EARN,Finland,,Male,Total or no breakdown,21.33
2013,SL_EMP_EARN,Finland,,Male,isco08-2,28.36
2013,SL_EMP_EARN,Finland,,Male,isco08-4,16.01
2013,SL_EMP_EARN,Finland,,Male,isco08-5,15.56
2013,SL_EMP_EARN,Finland,,Both sexes,isco08-8,17.8
2013,SL_EMP_EARN,Finland,,Both sexes,isco08-7,17.64
2013,SL_EMP_EARN,Finland,,Both sexes,isco08-1,37.22
2013,SL_EMP_EARN,Finland,,Both sexes,isco08-5,14.53
2013,SL_EMP_EARN,Finland,,Both sexes,isco08-3,20.13
2013,SL_EMP_EARN,Finland,,Both sexes,isco08-4,15.92
2013,SL_EMP_EARN,Finland,,Male,isco08-3,22.32
2013,SL_EMP_EARN,Finland,,Male,isco08-1,39.74
2013,SL_EMP_EARN,Finland,,Male,isco08-6,14.2
2013,SL_EMP_EARN,Finland,,Male,isco08-8,18.32
2013,SL_EMP_EARN,Finland,,Female,isco08-7,15.24
2013,SL_EMP_EARN,Finland,,Female,isco08-5,14.17
2013,SL_EMP_EARN,Finland,,Female,isco08-3,18.46
2013,SL_EMP_EARN,Finland,,Female,isco08-6,13.9
2013,SL_EMP_EARN,Finland,,Female,isco08-X,17.35
2013,SL_EMP_EARN,Finland,,Female,isco08-8,15.55
2013,SL_EMP_EARN,Finland,,Male,isco08-9,14.64
2013,SL_EMP_EARN,Finland,,Male,isco08-X,18.53
2014,SL_EMP_EARN,Finland,,Female,isco08-5,14.3
2014,SL_EMP_EARN,Finland,,Male,isco08-5,15.65
2014,SL_EMP_EARN,Finland,,Male,isco08-4,16.39
2014,SL_EMP_EARN,Finland,,Both sexes,isco08-2,26.05
2014,SL_EMP_EARN,Finland,,Both sexes,isco08-6,14.17
2014,SL_EMP_EARN,Finland,,Both sexes,isco08-X,17.49
2014,SL_EMP_EARN,Finland,,Male,isco08-X,18.08
2014,SL_EMP_EARN,Finland,,Male,isco08-9,14.62
2014,SL_EMP_EARN,Finland,,Female,isco08-8,15.86
2014,SL_EMP_EARN,Finland,,Female,isco08-9,12.23
2014,SL_EMP_EARN,Finland,,Female,isco08-2,23.96
2014,SL_EMP_EARN,Finland,,Female,isco08-4,16.1
2014,SL_EMP_EARN,Finland,,Male,isco08-8,18.39
2014,SL_EMP_EARN,Finland,,Male,isco08-6,14.32
2014,SL_EMP_EARN,Finland,,Male,isco08-1,40.23
2014,SL_EMP_EARN,Finland,,Male,isco08-3,22.37
2014,SL_EMP_EARN,Finland,,Both sexes,isco08-0,25.97
2014,SL_EMP_EARN,Finland,,Both sexes,Total or no breakdown,19.44
2014,SL_EMP_EARN,Finland,,Both sexes,isco08-7,17.63
2014,SL_EMP_EARN,Finland,,Both sexes,isco08-8,17.93
2014,SL_EMP_EARN,Finland,,Female,isco08-7,15.53
2014,SL_EMP_EARN,Finland,,Female,isco08-X,15.79
2014,SL_EMP_EARN,Finland,,Female,isco08-6,14.0
2014,SL_EMP_EARN,Finland,,Female,isco08-3,18.48
2014,SL_EMP_EARN,Finland,,Male,isco08-2,28.58
2014,SL_EMP_EARN,Finland,,Male,Total or no breakdown,21.38
2014,SL_EMP_EARN,Finland,,Male,isco08-0,26.12
2014,SL_EMP_EARN,Finland,,Male,isco08-7,17.81
2014,SL_EMP_EARN,Finland,,Both sexes,isco08-4,16.18
2014,SL_EMP_EARN,Finland,,Both sexes,isco08-3,20.11
2014,SL_EMP_EARN,Finland,,Both sexes,isco08-5,14.65
2014,SL_EMP_EARN,Finland,,Both sexes,isco08-1,37.4
2014,SL_EMP_EARN,Finland,,Both sexes,isco08-9,13.2
2014,SL_EMP_EARN,Finland,,Female,isco08-0,23.41
2014,SL_EMP_EARN,Finland,,Female,Total or no breakdown,17.76
2014,SL_EMP_EARN,Finland,,Female,isco08-1,32.69
2016,SL_EMP_EARN,Finland,,Both sexes,isco08-2,26.24
2016,SL_EMP_EARN,Finland,,Both sexes,isco08-1,38.32
2016,SL_EMP_EARN,Finland,,Both sexes,isco08-5,14.79
2016,SL_EMP_EARN,Finland,,Female,isco08-5,14.43
2016,SL_EMP_EARN,Finland,,Female,isco08-6,13.74
2016,SL_EMP_EARN,Finland,,Female,isco08-4,16.24
2016,SL_EMP_EARN,Finland,,Both sexes,isco08-8,17.77
2016,SL_EMP_EARN,Finland,,Both sexes,isco08-7,17.29
2016,SL_EMP_EARN,Finland,,Female,isco08-1,33.74
2016,SL_EMP_EARN,Finland,,Female,Total or no breakdown,17.92
2016,SL_EMP_EARN,Finland,,Male,isco08-1,40.99
2016,SL_EMP_EARN,Finland,,Male,isco08-6,14.26
2016,SL_EMP_EARN,Finland,,Male,isco08-7,17.46
2016,SL_EMP_EARN,Finland,,Male,isco08-8,18.23
2016,SL_EMP_EARN,Finland,,Male,isco08-0,27.03
2016,SL_EMP_EARN,Finland,,Male,isco08-3,22.53
2016,SL_EMP_EARN,Finland,,Female,isco08-7,15.27
2016,SL_EMP_EARN,Finland,,Female,isco08-8,15.63
2016,SL_EMP_EARN,Finland,,Male,isco08-9,14.71
2016,SL_EMP_EARN,Finland,,Male,isco08-X,17.93
2016,SL_EMP_EARN,Finland,,Female,isco08-0,22.31
2016,SL_EMP_EARN,Finland,,Both sexes,isco08-9,13.23
2016,SL_EMP_EARN,Finland,,Both sexes,isco08-X,17.47
2016,SL_EMP_EARN,Finland,,Both sexes,isco08-6,14.02
2016,SL_EMP_EARN,Finland,,Both sexes,isco08-4,16.31
2016,SL_EMP_EARN,Finland,,Both sexes,isco08-0,26.87
2016,SL_EMP_EARN,Finland,,Both sexes,isco08-3,20.28
2016,SL_EMP_EARN,Finland,,Both sexes,Total or no breakdown,19.55
2016,SL_EMP_EARN,Finland,,Male,Total or no breakdown,21.42
2016,SL_EMP_EARN,Finland,,Male,isco08-2,28.79
2016,SL_EMP_EARN,Finland,,Male,isco08-4,16.51
2016,SL_EMP_EARN,Finland,,Male,isco08-5,15.78
2016,SL_EMP_EARN,Finland,,Female,isco08-3,18.6
2016,SL_EMP_EARN,Finland,,Female,isco08-2,24.17
2016,SL_EMP_EARN,Finland,,Female,isco08-X,16.37
2016,SL_EMP_EARN,Finland,,Female,isco08-9,12.19
2017,SL_EMP_EARN,Finland,,Female,isco08-2,24.43
2017,SL_EMP_EARN,Finland,,Female,isco08-4,16.23
2017,SL_EMP_EARN,Finland,,Female,isco08-3,18.66
2017,SL_EMP_EARN,Finland,,Both sexes,isco08-3,20.41
2017,SL_EMP_EARN,Finland,,Both sexes,isco08-4,16.35
2017,SL_EMP_EARN,Finland,,Both sexes,isco08-1,39.1
2017,SL_EMP_EARN,Finland,,Male,isco08-X,17.29
2017,SL_EMP_EARN,Finland,,Male,isco08-9,14.85
2017,SL_EMP_EARN,Finland,,Male,isco08-3,22.81
2017,SL_EMP_EARN,Finland,,Male,isco08-2,28.91
2002,SL_EMP_EARN,Belgium,,Female,isco88-X,9.83
2002,SL_EMP_EARN,Belgium,,Male,Total or no breakdown,14.54
2002,SL_EMP_EARN,Belgium,,Both sexes,isco88-1,28.48
2002,SL_EMP_EARN,Belgium,,Female,isco88-2,17.6
2002,SL_EMP_EARN,Belgium,,Both sexes,isco88-2,19.83
2002,SL_EMP_EARN,Belgium,,Both sexes,Total or no breakdown,13.75
2006,SL_EMP_EARN,Belgium,,Both sexes,isco88-5,12.63
2006,SL_EMP_EARN,Belgium,,Male,Total or no breakdown,17.4
2006,SL_EMP_EARN,Belgium,,Female,Total or no breakdown,16.18
2006,SL_EMP_EARN,Belgium,,Male,isco88-7,13.79
2006,SL_EMP_EARN,Belgium,,Male,isco88-8,14.49
2006,SL_EMP_EARN,Belgium,,Male,isco88-9,13.15
2006,SL_EMP_EARN,Belgium,,Male,isco88-3,18.36
2006,SL_EMP_EARN,Belgium,,Male,isco88-2,26.7
2006,SL_EMP_EARN,Belgium,,Male,isco88-4,16.28
2006,SL_EMP_EARN,Belgium,,Male,isco88-1,33.9
2006,SL_EMP_EARN,Belgium,,Both sexes,isco88-7,13.51
2006,SL_EMP_EARN,Belgium,,Both sexes,isco88-8,14.17
2006,SL_EMP_EARN,Belgium,,Female,isco88-3,16.59
2006,SL_EMP_EARN,Belgium,,Both sexes,isco88-2,26.34
2006,SL_EMP_EARN,Belgium,,Female,isco88-2,25.95
2006,SL_EMP_EARN,Belgium,,Female,isco88-8,11.97
2006,SL_EMP_EARN,Belgium,,Female,isco88-5,12.2
2006,SL_EMP_EARN,Belgium,,Female,isco88-9,10.6
2006,SL_EMP_EARN,Belgium,,Female,isco88-4,14.5
2006,SL_EMP_EARN,Belgium,,Female,isco88-7,11.53
2006,SL_EMP_EARN,Belgium,,Both sexes,isco88-9,12.0
2006,SL_EMP_EARN,Belgium,,Both sexes,isco88-1,32.53
2006,SL_EMP_EARN,Belgium,,Both sexes,Total or no breakdown,16.88
2006,SL_EMP_EARN,Belgium,,Both sexes,isco88-3,17.39
2017,SL_EMP_EARN,Finland,,Male,Total or no breakdown,21.73
2017,SL_EMP_EARN,Finland,,Male,isco08-0,26.97
2017,SL_EMP_EARN,Finland,,Male,isco08-6,13.21
2017,SL_EMP_EARN,Finland,,Male,isco08-8,18.49
2017,SL_EMP_EARN,Finland,,Both sexes,isco08-8,18.0
2017,SL_EMP_EARN,Finland,,Both sexes,isco08-9,13.36
2017,SL_EMP_EARN,Finland,,Female,isco08-0,23.2
2017,SL_EMP_EARN,Finland,,Female,Total or no breakdown,18.12
2017,SL_EMP_EARN,Finland,,Female,isco08-1,34.54
2017,SL_EMP_EARN,Finland,,Both sexes,isco08-7,17.55
2017,SL_EMP_EARN,Finland,,Female,isco08-8,15.77
2017,SL_EMP_EARN,Finland,,Female,isco08-7,15.59
2017,SL_EMP_EARN,Finland,,Female,isco08-9,12.37
2017,SL_EMP_EARN,Finland,,Female,isco08-X,15.53
2017,SL_EMP_EARN,Finland,,Female,isco08-6,12.45
2017,SL_EMP_EARN,Finland,,Female,isco08-5,14.47
2017,SL_EMP_EARN,Finland,,Male,isco08-5,15.75
2017,SL_EMP_EARN,Finland,,Male,isco08-4,16.72
2017,SL_EMP_EARN,Finland,,Male,isco08-7,17.73
2017,SL_EMP_EARN,Finland,,Male,isco08-1,41.74
2017,SL_EMP_EARN,Finland,,Both sexes,isco08-5,14.81
2017,SL_EMP_EARN,Finland,,Both sexes,Total or no breakdown,19.77
2017,SL_EMP_EARN,Finland,,Both sexes,isco08-0,26.83
2017,SL_EMP_EARN,Finland,,Both sexes,isco08-2,26.41
2017,SL_EMP_EARN,Finland,,Both sexes,isco08-6,12.82
2017,SL_EMP_EARN,Finland,,Both sexes,isco08-X,16.0
2020,SL_EMP_EARN,Finland,,Both sexes,isco08-9,13.62
2020,SL_EMP_EARN,Finland,,Both sexes,isco08-X,17.77
2020,SL_EMP_EARN,Finland,,Both sexes,isco08-8,17.8
2020,SL_EMP_EARN,Finland,,Male,Total or no breakdown,22.22
2020,SL_EMP_EARN,Finland,,Male,isco08-4,17.6
2020,SL_EMP_EARN,Finland,,Male,isco08-3,23.27
2020,SL_EMP_EARN,Finland,,Both sexes,isco08-4,16.98
2020,SL_EMP_EARN,Finland,,Both sexes,isco08-3,20.69
2020,SL_EMP_EARN,Finland,,Both sexes,Total or no breakdown,20.39
2020,SL_EMP_EARN,Finland,,Both sexes,isco08-5,15.5
2020,SL_EMP_EARN,Finland,,Male,isco08-1,43.54
2020,SL_EMP_EARN,Finland,,Male,isco08-7,17.93
2020,SL_EMP_EARN,Finland,,Female,isco08-2,25.09
2020,SL_EMP_EARN,Finland,,Female,isco08-3,18.93
2020,SL_EMP_EARN,Finland,,Female,isco08-X,17.26
2020,SL_EMP_EARN,Finland,,Female,isco08-9,12.78
2020,SL_EMP_EARN,Finland,,Female,isco08-7,15.59
2020,SL_EMP_EARN,Finland,,Female,isco08-8,15.82
2020,SL_EMP_EARN,Finland,,Both sexes,isco08-7,17.73
2020,SL_EMP_EARN,Finland,,Female,isco08-1,35.34
2020,SL_EMP_EARN,Finland,,Female,Total or no breakdown,18.81
2020,SL_EMP_EARN,Finland,,Female,isco08-0,23.75
2020,SL_EMP_EARN,Finland,,Both sexes,isco08-6,14.17
2020,SL_EMP_EARN,Finland,,Both sexes,isco08-0,27.54
2020,SL_EMP_EARN,Finland,,Both sexes,isco08-2,26.96
2020,SL_EMP_EARN,Finland,,Both sexes,isco08-1,40.39
2020,SL_EMP_EARN,Finland,,Male,isco08-8,18.24
2020,SL_EMP_EARN,Finland,,Male,isco08-6,14.31
2020,SL_EMP_EARN,Finland,,Male,isco08-2,29.2
2002,SL_EMP_EARN,Hungary,,Both sexes,isco88-2,3.34
2002,SL_EMP_EARN,Hungary,,Both sexes,isco88-1,5.01
2002,SL_EMP_EARN,Hungary,,Male,isco88-7,2.07
2002,SL_EMP_EARN,Hungary,,Male,isco88-8,2.2
2002,SL_EMP_EARN,Hungary,,Male,isco88-9,1.56
2002,SL_EMP_EARN,Hungary,,Male,isco88-X,1.58
2002,SL_EMP_EARN,Hungary,,Male,isco88-3,3.18
2002,SL_EMP_EARN,Hungary,,Male,isco88-4,2.18
2002,SL_EMP_EARN,Hungary,,Female,isco88-1,4.2
2002,SL_EMP_EARN,Hungary,,Female,isco88-9,1.45
2002,SL_EMP_EARN,Hungary,,Both sexes,Total or no breakdown,2.41
2002,SL_EMP_EARN,Hungary,,Both sexes,isco88-3,2.63
2002,SL_EMP_EARN,Hungary,,Both sexes,isco88-4,2.09
2002,SL_EMP_EARN,Hungary,,Both sexes,isco88-5,1.57
2002,SL_EMP_EARN,Hungary,,Both sexes,isco88-9,1.5
2002,SL_EMP_EARN,Hungary,,Both sexes,isco88-8,2.09
2002,SL_EMP_EARN,Hungary,,Both sexes,isco88-X,1.56
2002,SL_EMP_EARN,Hungary,,Female,Total or no breakdown,2.18
2002,SL_EMP_EARN,Hungary,,Both sexes,isco88-7,1.96
2002,SL_EMP_EARN,Hungary,,Male,isco88-5,1.65
2002,SL_EMP_EARN,Hungary,,Male,isco88-2,4.19
2002,SL_EMP_EARN,Hungary,,Male,isco88-1,5.53
2002,SL_EMP_EARN,Hungary,,Female,isco88-2,2.85
2002,SL_EMP_EARN,Hungary,,Female,isco88-3,2.39
2002,SL_EMP_EARN,Hungary,,Male,Total or no breakdown,2.64
2002,SL_EMP_EARN,Hungary,,Female,isco88-4,2.06
2006,SL_EMP_EARN,Belgium,,Both sexes,isco88-4,15.26
2006,SL_EMP_EARN,Belgium,,Female,isco88-1,28.28
2006,SL_EMP_EARN,Belgium,,Male,isco88-5,13.43
2010,SL_EMP_EARN,Belgium,,Both sexes,isco08-7,15.52
2010,SL_EMP_EARN,Belgium,,Female,isco08-5,13.91
2010,SL_EMP_EARN,Belgium,,Female,isco08-4,16.69
