Year,SeriesCode,Country,Disability status,Grounds of discrimination,Location,Sex,Value
2019,VC_VOV_GDSD,Israel,Total or no breakdown,Ethnic,All areas,Male,10.7
2019,VC_VOV_GDSD,Israel,Persons with disability,Disability or health status,All areas,Both sexes,9.4
2019,VC_VOV_GDSD,Israel,Persons without disability,Disability or health status,All areas,Both sexes,1.8
2019,VC_VOV_GDSD,Israel,Total or no breakdown,Disability or health status,Urban,Both sexes,2.9
2019,VC_VOV_GDSD,Israel,Total or no breakdown,Disability or health status,All areas,Female,2.5
2019,VC_VOV_GDSD,Israel,Total or no breakdown,Religion or belief,Rural,Both sexes,6.9
2019,VC_VOV_GDSD,Israel,Total or no breakdown,Sexual orientation and gender identity,All areas,Male,1.1
2019,VC_VOV_GDSD,Israel,Total or no breakdown,Ethnic,Urban,Both sexes,10.6
2019,VC_VOV_GDSD,Israel,Total or no breakdown,Sex,All areas,Male,1.8
2019,VC_VOV_GDSD,Israel,Persons without disability,Age,All areas,Both sexes,7.1
2019,VC_VOV_GDSD,Israel,Total or no breakdown,Sex,All areas,Female,8.9
2019,VC_VOV_GDSD,Israel,Total or no breakdown,Age,Rural,Both sexes,7.2
2014,VC_VOV_GDSD,Canada,Total or no breakdown,Sex,All areas,Both sexes,3.5
2014,VC_VOV_GDSD,Canada,Total or no breakdown,Sex,All areas,Male,1.8
2014,VC_VOV_GDSD,Canada,Total or no breakdown,Religion or belief,All areas,Female,2.0
2014,VC_VOV_GDSD,Canada,Total or no breakdown,Sexual orientation,All areas,Male,0.6
2014,VC_VOV_GDSD,Canada,Total or no breakdown,Age,Rural,Both sexes,1.91
2018,VC_VOV_GDSD,New Zealand,Total or no breakdown,All or no breakdown,Rural,Both sexes,14.7
2018,VC_VOV_GDSD,New Zealand,Total or no breakdown,Sexual/gender identity,All areas,Female,7.1
2018,VC_VOV_GDSD,New Zealand,Persons with disability,"Ethnicity, race, colour, language",All areas,Both sexes,11.0
2018,VC_VOV_GDSD,New Zealand,Persons without disability,Disability or health status,All areas,Both sexes,1.2
2018,VC_VOV_GDSD,New Zealand,Total or no breakdown,Gender identity,All areas,Female,1.0
2018,VC_VOV_GDSD,New Zealand,Total or no breakdown,Sexual/gender identity,All areas,Both sexes,4.7
2018,VC_VOV_GDSD,New Zealand,Persons with disability,Age,All areas,Both sexes,6.6
2018,VC_VOV_GDSD,New Zealand,Persons without disability,All or no breakdown,All areas,Both sexes,16.9
2014,VC_VOV_GDSD,Canada,Total or no breakdown,All or no breakdown,Urban,Both sexes,13.9
2014,VC_VOV_GDSD,Canada,Total or no breakdown,Age,Urban,Both sexes,2.84
2014,VC_VOV_GDSD,Canada,Total or no breakdown,Disability,Rural,Both sexes,1.36
2014,VC_VOV_GDSD,Canada,Total or no breakdown,Sexual orientation,Rural,Both sexes,0.6
2014,VC_VOV_GDSD,Canada,Persons with disability,"Ethnicity, colour, language",All areas,Both sexes,9.3
2019,VC_VOV_GDSD,Israel,Total or no breakdown,Disability or health status,All areas,Both sexes,2.9
2019,VC_VOV_GDSD,Israel,Total or no breakdown,All or no breakdown,Urban,Both sexes,25.5
2019,VC_VOV_GDSD,Israel,Total or no breakdown,All or no breakdown,Rural,Both sexes,17.7
2019,VC_VOV_GDSD,Israel,Total or no breakdown,Migration status,All areas,Both sexes,8.9
2019,VC_VOV_GDSD,Israel,Total or no breakdown,Migration status,All areas,Male,9.9
2019,VC_VOV_GDSD,Israel,Persons with disability,Migration status,All areas,Both sexes,8.5
2019,VC_VOV_GDSD,Israel,Total or no breakdown,Ethnic,Rural,Both sexes,6.4
2019,VC_VOV_GDSD,Israel,Total or no breakdown,Colour,All areas,Male,2.8
2019,VC_VOV_GDSD,Israel,Total or no breakdown,Colour,All areas,Female,2.0
2019,VC_VOV_GDSD,Israel,Persons with disability,Colour,All areas,Both sexes,2.2
2019,VC_VOV_GDSD,Israel,Persons without disability,Colour,All areas,Both sexes,2.4
2019,VC_VOV_GDSD,Israel,Total or no breakdown,Sexual orientation and gender identity,Urban,Both sexes,1.1
2018,VC_VOV_GDSD,New Zealand,Persons without disability,Age,All areas,Both sexes,4.0
2018,VC_VOV_GDSD,New Zealand,Total or no breakdown,Religion or belief,All areas,Female,2.4
2018,VC_VOV_GDSD,New Zealand,Total or no breakdown,Disability or health status,All areas,Female,2.3
2018,VC_VOV_GDSD,New Zealand,Total or no breakdown,All or no breakdown,All areas,Female,19.9
2018,VC_VOV_GDSD,New Zealand,Total or no breakdown,"Ethnicity, race, colour, language",All areas,Female,9.0
2018,VC_VOV_GDSD,New Zealand,Total or no breakdown,All or no breakdown,Urban,Both sexes,17.8
2018,VC_VOV_GDSD,New Zealand,Total or no breakdown,Disability or health status,All areas,Both sexes,1.7
2018,VC_VOV_GDSD,New Zealand,Total or no breakdown,"Ethnicity, race, colour, language",All areas,Both sexes,9.3
2019,VC_VOV_GDSD,Israel,Total or no breakdown,All or no breakdown,All areas,Both sexes,24.9
2019,VC_VOV_GDSD,Israel,Total or no breakdown,All or no breakdown,All areas,Male,23.8
2019,VC_VOV_GDSD,Israel,Total or no breakdown,Sexual orientation and gender identity,All areas,Female,1.1
2019,VC_VOV_GDSD,Israel,Persons without disability,Sexual orientation and gender identity,All areas,Both sexes,1.1
2019,VC_VOV_GDSD,Israel,Total or no breakdown,Disability or health status,All areas,Male,3.3
2019,VC_VOV_GDSD,Israel,Total or no breakdown,Age,All areas,Male,7.3
2019,VC_VOV_GDSD,Israel,Total or no breakdown,Sex,Rural,Both sexes,6.3
2019,VC_VOV_GDSD,Israel,Total or no breakdown,Age,All areas,Both sexes,7.5
2019,VC_VOV_GDSD,Israel,Persons with disability,Ethnic,All areas,Both sexes,10.2
2019,VC_VOV_GDSD,Israel,Total or no breakdown,Religion or belief,All areas,Female,9.4
2019,VC_VOV_GDSD,Israel,Persons with disability,Religion or belief,All areas,Both sexes,8.9
2019,VC_VOV_GDSD,Israel,Persons without disability,Religion or belief,All areas,Both sexes,9.5
2018,VC_VOV_GDSD,New Zealand,Total or no breakdown,Other,All areas,Both sexes,4.5
2018,VC_VOV_GDSD,New Zealand,Persons without disability,Gender identity,All areas,Both sexes,0.8
2018,VC_VOV_GDSD,New Zealand,Persons without disability,Other,All areas,Both sexes,4.1
2018,VC_VOV_GDSD,New Zealand,Total or no breakdown,Age,All areas,Female,5.1
2014,VC_VOV_GDSD,Canada,Total or no breakdown,Age,All areas,Male,2.1
2014,VC_VOV_GDSD,Canada,Total or no breakdown,All or no breakdown,All areas,Both sexes,13.3
2014,VC_VOV_GDSD,Canada,Total or no breakdown,Disability,All areas,Both sexes,1.5
2014,VC_VOV_GDSD,Canada,Total or no breakdown,Religion or belief,Rural,Both sexes,1.29
2014,VC_VOV_GDSD,Canada,Total or no breakdown,Sex,All areas,Female,5.3
2019,VC_VOV_GDSD,Israel,Total or no breakdown,Religion or belief,Urban,Both sexes,9.6
2019,VC_VOV_GDSD,Israel,Persons with disability,Sex,All areas,Both sexes,4.1
2019,VC_VOV_GDSD,Israel,Persons without disability,Sex,All areas,Both sexes,5.7
2019,VC_VOV_GDSD,Israel,Total or no breakdown,Sex,Urban,Both sexes,5.4
2019,VC_VOV_GDSD,Israel,Total or no breakdown,Age,All areas,Female,7.7
2019,VC_VOV_GDSD,Israel,Persons with disability,Age,All areas,Both sexes,10.1
2019,VC_VOV_GDSD,Israel,Total or no breakdown,Age,Urban,Both sexes,7.5
2019,VC_VOV_GDSD,Israel,Total or no breakdown,Ethnic,All areas,Female,9.8
2019,VC_VOV_GDSD,Israel,Total or no breakdown,Migration status,All areas,Female,8.1
2019,VC_VOV_GDSD,Israel,Persons without disability,Migration status,All areas,Both sexes,9.0
2019,VC_VOV_GDSD,Israel,Persons without disability,Ethnic,All areas,Both sexes,10.3
2019,VC_VOV_GDSD,Israel,Total or no breakdown,Migration status,Urban,Both sexes,9.3
2018,VC_VOV_GDSD,New Zealand,Persons with disability,Sexual/gender identity,All areas,Both sexes,5.4
2018,VC_VOV_GDSD,New Zealand,Persons with disability,All or no breakdown,All areas,Both sexes,23.0
2018,VC_VOV_GDSD,New Zealand,Total or no breakdown,Age,All areas,Male,3.3
2018,VC_VOV_GDSD,New Zealand,Persons without disability,Sexual/gender identity,All areas,Both sexes,4.6
2018,VC_VOV_GDSD,New Zealand,Persons without disability,Religion or belief,All areas,Both sexes,1.9
2015,VC_VOV_GDSD,Norway,Persons without disability,All or no breakdown,All areas,Both sexes,7.0
2015,VC_VOV_GDSD,Norway,Total or no breakdown,Disability or health status,Rural,Both sexes,2.0
2015,VC_VOV_GDSD,Norway,Total or no breakdown,Disability or health status,All areas,Male,1.0
2015,VC_VOV_GDSD,Norway,Total or no breakdown,All or no breakdown,All areas,Male,7.0
2015,VC_VOV_GDSD,Norway,Total or no breakdown,All or no breakdown,All areas,Female,10.0
2014,VC_VOV_GDSD,Canada,Total or no breakdown,"Ethnicity, colour, language",All areas,Both sexes,6.9
2014,VC_VOV_GDSD,Canada,Total or no breakdown,Disability,All areas,Female,1.6
2014,VC_VOV_GDSD,Canada,Total or no breakdown,Sex,Urban,Both sexes,3.79
2014,VC_VOV_GDSD,Canada,Total or no breakdown,Other,Urban,Both sexes,3.84
2014,VC_VOV_GDSD,Canada,Total or no breakdown,Religion or belief,All areas,Male,2.0
2019,VC_VOV_GDSD,Israel,Total or no breakdown,Religion or belief,All areas,Both sexes,9.4
2019,VC_VOV_GDSD,Israel,Total or no breakdown,Colour,Urban,Both sexes,2.4
2019,VC_VOV_GDSD,Israel,Total or no breakdown,Sex,All areas,Both sexes,5.4
2019,VC_VOV_GDSD,Israel,Total or no breakdown,Religion or belief,All areas,Male,9.5
2020,VC_VOV_GDSD,Israel,Persons with disability,Ethnic,All areas,Both sexes,10.0
2020,VC_VOV_GDSD,Israel,Total or no breakdown,Disability or health status,Rural,Both sexes,1.9
2015,VC_VOV_GDSD,Norway,Total or no breakdown,Disability or health status,All areas,Female,3.0
2015,VC_VOV_GDSD,Norway,Total or no breakdown,Disability or health status,All areas,Both sexes,2.0
2015,VC_VOV_GDSD,Norway,Persons without disability,Disability or health status,All areas,Both sexes,2.0
2015,VC_VOV_GDSD,Norway,Total or no breakdown,All or no breakdown,Rural,Both sexes,9.0
2015,VC_VOV_GDSD,Norway,Persons with disability,All or no breakdown,All areas,Both sexes,14.0
2015,VC_VOV_GDSD,Norway,Persons with disability,Disability or health status,All areas,Both sexes,6.0
2015,VC_VOV_GDSD,Norway,Total or no breakdown,Disability or health status,Urban,Both sexes,1.0
2015,VC_VOV_GDSD,Norway,Total or no breakdown,All or no breakdown,All areas,Both sexes,8.0
2015,VC_VOV_GDSD,Norway,Total or no breakdown,All or no breakdown,Urban,Both sexes,6.0
2020,VC_VOV_GDSD,Norway,Total or no breakdown,All or no breakdown,All areas,Male,18.8
2020,VC_VOV_GDSD,Norway,Persons without disability,Political opinion,All areas,Both sexes,2.8
2020,VC_VOV_GDSD,Norway,Persons with disability,Sexual orientation and gender identity,All areas,Both sexes,1.9
2020,VC_VOV_GDSD,Norway,Persons without disability,Sexual orientation and gender identity,All areas,Both sexes,0.8
2014,VC_VOV_GDSD,Canada,Total or no breakdown,Sex,Rural,Both sexes,2.4
2014,VC_VOV_GDSD,Canada,Total or no breakdown,Other,Rural,Both sexes,2.53
2014,VC_VOV_GDSD,Canada,Total or no breakdown,"Ethnicity, colour, language",Rural,Both sexes,4.55
2014,VC_VOV_GDSD,Canada,Persons with disability,Other,All areas,Both sexes,7.2
2014,VC_VOV_GDSD,Canada,Persons without disability,"Ethnicity, colour, language",All areas,Both sexes,6.2
2020,VC_VOV_GDSD,Israel,Total or no breakdown,Ethnic,All areas,Male,8.6
2020,VC_VOV_GDSD,Israel,Persons without disability,Colour,All areas,Both sexes,1.6
2020,VC_VOV_GDSD,Israel,Total or no breakdown,Ethnic,All areas,Female,8.1
2020,VC_VOV_GDSD,Israel,Persons with disability,Colour,All areas,Both sexes,2.3
2020,VC_VOV_GDSD,Israel,Total or no breakdown,Ethnic,Rural,Both sexes,6.6
2020,VC_VOV_GDSD,Israel,Total or no breakdown,Colour,All areas,Both sexes,1.6
2020,VC_VOV_GDSD,Norway,Total or no breakdown,Disability,All areas,Both sexes,1.9
2020,VC_VOV_GDSD,Norway,Total or no breakdown,All or no breakdown,All areas,Both sexes,22.0
2020,VC_VOV_GDSD,Norway,Total or no breakdown,Sex,All areas,Both sexes,7.2
2020,VC_VOV_GDSD,Norway,Total or no breakdown,Age,All areas,Both sexes,7.2
2020,VC_VOV_GDSD,Norway,Total or no breakdown,Sexual orientation and gender identity,All areas,Female,1.0
2020,VC_VOV_GDSD,Norway,Total or no breakdown,Religion or belief,All areas,Female,2.3
2018,VC_VOV_GDSD,Costa Rica,Persons with disability,Religion or belief,All areas,Female,15.4
2018,VC_VOV_GDSD,Costa Rica,Total or no breakdown,Age,Urban,Female,7.7
2018,VC_VOV_GDSD,Costa Rica,Total or no breakdown,All or no breakdown,Urban,Female,30.0
2018,VC_VOV_GDSD,Costa Rica,Total or no breakdown,Disability,Urban,Female,2.2
2018,VC_VOV_GDSD,Costa Rica,Total or no breakdown,Other,All areas,Female,6.2
2018,VC_VOV_GDSD,Costa Rica,Total or no breakdown,Sexual orientation,Urban,Female,1.9
2014,VC_VOV_GDSD,Canada,Persons with disability,Sexual orientation,All areas,Both sexes,1.8
2014,VC_VOV_GDSD,Canada,Persons with disability,Sex,All areas,Both sexes,6.1
2014,VC_VOV_GDSD,Canada,Total or no breakdown,Sexual orientation,Urban,Both sexes,0.78
2014,VC_VOV_GDSD,Canada,Persons with disability,Religion or belief,All areas,Both sexes,3.0
2014,VC_VOV_GDSD,Canada,Total or no breakdown,Sexual orientation,All areas,Both sexes,0.8
2020,VC_VOV_GDSD,Norway,Total or no breakdown,Ethnic,All areas,Female,3.8
2020,VC_VOV_GDSD,Norway,Total or no breakdown,Colour,All areas,Both sexes,2.1
2020,VC_VOV_GDSD,Norway,Total or no breakdown,Ethnic,All areas,Both sexes,3.9
2020,VC_VOV_GDSD,Norway,Persons without disability,Age,All areas,Both sexes,6.3
2020,VC_VOV_GDSD,Norway,Total or no breakdown,"Health problems, illness or injury",All areas,Female,8.5
2020,VC_VOV_GDSD,Norway,Total or no breakdown,Religion or belief,All areas,Male,3.0
2018,VC_VOV_GDSD,Costa Rica,Persons with disability,Age,All areas,Female,12.2
2018,VC_VOV_GDSD,Costa Rica,Persons with disability,All or no breakdown,All areas,Female,37.7
2018,VC_VOV_GDSD,Costa Rica,Persons with disability,Disability,All areas,Female,7.5
2018,VC_VOV_GDSD,Costa Rica,Total or no breakdown,Sex,Urban,Female,11.6
2018,VC_VOV_GDSD,Costa Rica,Total or no breakdown,Sexual orientation,All areas,Female,1.7
2018,VC_VOV_GDSD,Costa Rica,Total or no breakdown,Religion or belief,All areas,Female,11.0
2020,VC_VOV_GDSD,Israel,Persons with disability,Age,All areas,Both sexes,9.8
2020,VC_VOV_GDSD,Israel,Total or no breakdown,Religion or belief,Urban,Both sexes,10.0
2020,VC_VOV_GDSD,Israel,Persons without disability,Religion or belief,All areas,Both sexes,9.8
2020,VC_VOV_GDSD,Israel,Total or no breakdown,Migration status,All areas,Female,7.0
2020,VC_VOV_GDSD,Israel,Total or no breakdown,Religion or belief,All areas,Female,9.0
2020,VC_VOV_GDSD,Israel,Persons with disability,Migration status,All areas,Both sexes,10.0
2014,VC_VOV_GDSD,Canada,Total or no breakdown,Age,All areas,Female,3.3
2014,VC_VOV_GDSD,Canada,Total or no breakdown,All or no breakdown,All areas,Male,12.0
2014,VC_VOV_GDSD,Canada,Total or no breakdown,All or no breakdown,All areas,Female,14.5
2014,VC_VOV_GDSD,Canada,Total or no breakdown,Age,All areas,Both sexes,2.7
2014,VC_VOV_GDSD,Canada,Total or no breakdown,Sexual orientation,All areas,Female,0.9
2020,VC_VOV_GDSD,Norway,Persons with disability,"Health problems, illness or injury",All areas,Both sexes,19.7
2020,VC_VOV_GDSD,Norway,Total or no breakdown,"Health problems, illness or injury",All areas,Both sexes,7.2
2020,VC_VOV_GDSD,Norway,Total or no breakdown,Political opinion,All areas,Female,2.9
2020,VC_VOV_GDSD,Norway,Total or no breakdown,Age,All areas,Male,6.5
2020,VC_VOV_GDSD,Norway,Persons with disability,Religion or belief,All areas,Both sexes,3.7
2020,VC_VOV_GDSD,Norway,Persons without disability,Colour,All areas,Both sexes,2.0
2020,VC_VOV_GDSD,Israel,Total or no breakdown,Religion or belief,All areas,Male,10.3
2020,VC_VOV_GDSD,Israel,Total or no breakdown,Religion or belief,All areas,Both sexes,9.6
2020,VC_VOV_GDSD,Israel,Persons without disability,Migration status,All areas,Both sexes,7.8
2020,VC_VOV_GDSD,Israel,Total or no breakdown,Disability or health status,All areas,Male,2.2
2020,VC_VOV_GDSD,Israel,Total or no breakdown,Migration status,All areas,Both sexes,8.0
2020,VC_VOV_GDSD,Israel,Total or no breakdown,Disability or health status,All areas,Both sexes,2.2
2020,VC_VOV_GDSD,Norway,Total or no breakdown,Disability,All areas,Female,1.8
2020,VC_VOV_GDSD,Norway,Persons with disability,All or no breakdown,All areas,Both sexes,66.5
2020,VC_VOV_GDSD,Norway,Persons with disability,Sex,All areas,Both sexes,9.2
2020,VC_VOV_GDSD,Norway,Persons with disability,Age,All areas,Both sexes,9.5
2020,VC_VOV_GDSD,Norway,Persons without disability,Sex,All areas,Both sexes,6.5
2020,VC_VOV_GDSD,Norway,Total or no breakdown,Sexual orientation and gender identity,All areas,Both sexes,1.1
2014,VC_VOV_GDSD,Canada,Total or no breakdown,Other,All areas,Male,3.0
2014,VC_VOV_GDSD,Canada,Persons without disability,Religion or belief,All areas,Both sexes,1.7
2014,VC_VOV_GDSD,Canada,Total or no breakdown,Religion or belief,All areas,Both sexes,2.0
2014,VC_VOV_GDSD,Canada,Total or no breakdown,"Ethnicity, colour, language",All areas,Female,6.6
2014,VC_VOV_GDSD,Canada,Total or no breakdown,Other,All areas,Female,4.2
2020,VC_VOV_GDSD,Israel,Total or no breakdown,Colour,Urban,Both sexes,1.7
2020,VC_VOV_GDSD,Israel,Total or no breakdown,Ethnic,All areas,Both sexes,8.4
2020,VC_VOV_GDSD,Israel,Total or no breakdown,Migration status,All areas,Male,9.2
2020,VC_VOV_GDSD,Israel,Total or no breakdown,Sexual orientation and gender identity,Urban,Both sexes,0.6
2020,VC_VOV_GDSD,Israel,Total or no breakdown,Age,All areas,Both sexes,5.7
2020,VC_VOV_GDSD,Israel,Persons without disability,All or no breakdown,All areas,Both sexes,22.7
2020,VC_VOV_GDSD,Norway,Total or no breakdown,Religion or belief,All areas,Both sexes,2.7
2020,VC_VOV_GDSD,Norway,Persons with disability,Ethnic,All areas,Both sexes,3.8
2020,VC_VOV_GDSD,Norway,Persons with disability,Colour,All areas,Both sexes,2.2
2020,VC_VOV_GDSD,Norway,Total or no breakdown,Colour,All areas,Female,1.7
2020,VC_VOV_GDSD,Norway,Total or no breakdown,Sex,All areas,Female,10.8
2020,VC_VOV_GDSD,Norway,Persons without disability,"Health problems, illness or injury",All areas,Both sexes,2.7
2020,VC_VOV_GDSD,Israel,Total or no breakdown,All or no breakdown,All areas,Both sexes,23.2
2020,VC_VOV_GDSD,Israel,Total or no breakdown,Sex,All areas,Male,1.3
2020,VC_VOV_GDSD,Israel,Total or no breakdown,Sex,All areas,Female,8.8
2020,VC_VOV_GDSD,Israel,Persons with disability,Sex,All areas,Both sexes,4.3
2020,VC_VOV_GDSD,Israel,Persons without disability,Sex,All areas,Both sexes,5.3
2020,VC_VOV_GDSD,Israel,Total or no breakdown,Sex,Urban,Both sexes,5.1
2014,VC_VOV_GDSD,Canada,Total or no breakdown,All or no breakdown,Rural,Both sexes,10.0
2020,VC_VOV_GDSD,Canada,Total or no breakdown,Religion or belief,All areas,Male,1.5
2020,VC_VOV_GDSD,Canada,Total or no breakdown,Ethnicity or culture,All areas,Both sexes,5.0
2020,VC_VOV_GDSD,Canada,Total or no breakdown,Race or Colour,All areas,Both sexes,6.3
2020,VC_VOV_GDSD,Canada,Total or no breakdown,Religion or belief,All areas,Both sexes,1.55
2020,VC_VOV_GDSD,Canada,Total or no breakdown,Language  or dialect,All areas,Both sexes,2.7
2020,VC_VOV_GDSD,Norway,Total or no breakdown,Age,All areas,Female,7.9
2020,VC_VOV_GDSD,Norway,Total or no breakdown,Disability,All areas,Male,1.9
2020,VC_VOV_GDSD,Norway,Total or no breakdown,Colour,All areas,Male,2.5
2020,VC_VOV_GDSD,Norway,Total or no breakdown,Ethnic,All areas,Male,4.1
2020,VC_VOV_GDSD,Norway,Persons without disability,Religion or belief,All areas,Both sexes,2.3
2020,VC_VOV_GDSD,Norway,Total or no breakdown,Sex,All areas,Male,3.4
2018,VC_VOV_GDSD,Costa Rica,Total or no breakdown,Age,All areas,Female,6.6
2018,VC_VOV_GDSD,Costa Rica,Total or no breakdown,All or no breakdown,All areas,Female,27.8
2018,VC_VOV_GDSD,Costa Rica,Persons without disability,Sex,All areas,Female,10.8
2018,VC_VOV_GDSD,Costa Rica,Total or no breakdown,Religion or belief,Rural,Female,8.4
2018,VC_VOV_GDSD,Costa Rica,Total or no breakdown,Sex,Rural,Female,7.1
2018,VC_VOV_GDSD,Costa Rica,Total or no breakdown,Age,Rural,Female,3.5
2020,VC_VOV_GDSD,Israel,Total or no breakdown,Sex,Rural,Both sexes,5.3
2020,VC_VOV_GDSD,Israel,Total or no breakdown,Age,All areas,Male,5.1
2020,VC_VOV_GDSD,Israel,Persons without disability,Ethnic,All areas,Both sexes,8.2
2020,VC_VOV_GDSD,Israel,Persons without disability,Disability or health status,All areas,Both sexes,1.2
2020,VC_VOV_GDSD,Israel,Total or no breakdown,Disability or health status,Urban,Both sexes,2.2
2020,VC_VOV_GDSD,Israel,Total or no breakdown,Colour,All areas,Male,1.7
2020,VC_VOV_GDSD,Israel,Total or no breakdown,Colour,All areas,Female,1.6
2020,VC_VOV_GDSD,Israel,Total or no breakdown,Ethnic,Urban,Both sexes,8.5
2020,VC_VOV_GDSD,Israel,Total or no breakdown,Sexual orientation and gender identity,All areas,Male,0.6
2020,VC_VOV_GDSD,Israel,Persons with disability,Disability or health status,All areas,Both sexes,9.0
2020,VC_VOV_GDSD,Israel,Total or no breakdown,Sexual orientation and gender identity,All areas,Both sexes,0.7
2020,VC_VOV_GDSD,Israel,Total or no breakdown,Sexual orientation and gender identity,All areas,Female,0.7
2020,VC_VOV_GDSD,Norway,Total or no breakdown,Political opinion,All areas,Both sexes,3.5
2020,VC_VOV_GDSD,Norway,Persons without disability,All or no breakdown,All areas,Both sexes,33.5
2020,VC_VOV_GDSD,Norway,Total or no breakdown,All or no breakdown,All areas,Female,25.0
2020,VC_VOV_GDSD,Norway,Persons with disability,Political opinion,All areas,Both sexes,5.4
2020,VC_VOV_GDSD,Norway,Persons without disability,Disability,All areas,Both sexes,0.5
2020,VC_VOV_GDSD,Norway,Persons without disability,Ethnic,All areas,Both sexes,4.0
2020,VC_VOV_GDSD,Israel,Total or no breakdown,Religion or belief,Rural,Both sexes,5.5
2020,VC_VOV_GDSD,Israel,Persons with disability,Religion or belief,All areas,Both sexes,8.6
2020,VC_VOV_GDSD,Israel,Total or no breakdown,Disability or health status,All areas,Female,2.2
2020,VC_VOV_GDSD,Israel,Total or no breakdown,Age,Rural,Both sexes,8.5
2020,VC_VOV_GDSD,Israel,Persons without disability,Age,All areas,Both sexes,5.2
2020,VC_VOV_GDSD,Israel,Total or no breakdown,Migration status,Urban,Both sexes,8.4
2018,VC_VOV_GDSD,Costa Rica,Total or no breakdown,Ethnic,Rural,Female,1.7
2018,VC_VOV_GDSD,Costa Rica,Persons without disability,Sexual orientation,All areas,Female,1.8
2018,VC_VOV_GDSD,Costa Rica,Persons without disability,Religion or belief,All areas,Female,10.4
2018,VC_VOV_GDSD,Costa Rica,Persons with disability,Sexual orientation,All areas,Female,1.0
2018,VC_VOV_GDSD,Costa Rica,Persons with disability,Ethnic,All areas,Female,3.5
2018,VC_VOV_GDSD,Costa Rica,Total or no breakdown,Nationality,Urban,Female,3.8
2020,VC_VOV_GDSD,Norway,Persons with disability,Disability,All areas,Both sexes,5.7
2020,VC_VOV_GDSD,Norway,Total or no breakdown,Political opinion,All areas,Male,4.2
2020,VC_VOV_GDSD,Norway,Total or no breakdown,Sexual orientation and gender identity,All areas,Male,1.2
2020,VC_VOV_GDSD,Norway,Total or no breakdown,"Health problems, illness or injury",All areas,Male,5.9
2021,VC_VOV_GDSD,Norway,Total or no breakdown,Age,All areas,Male,6.2
2021,VC_VOV_GDSD,Norway,Total or no breakdown,"Health problems, illness or injury",All areas,Male,5.8
2018,VC_VOV_GDSD,Costa Rica,Total or no breakdown,Other,Urban,Female,6.6
2018,VC_VOV_GDSD,Costa Rica,Total or no breakdown,All or no breakdown,Rural,Female,21.7
2018,VC_VOV_GDSD,Costa Rica,Total or no breakdown,Disability,Rural,Female,1.7
2018,VC_VOV_GDSD,Costa Rica,Total or no breakdown,Sexual orientation,Rural,Female,1.1
2018,VC_VOV_GDSD,Costa Rica,Total or no breakdown,Nationality,Rural,Female,2.8
2018,VC_VOV_GDSD,Costa Rica,Total or no breakdown,Other,Rural,Female,5.1
2021,VC_VOV_GDSD,Norway,Total or no breakdown,Sexual orientation and gender identity,All areas,Female,1.0
2021,VC_VOV_GDSD,Norway,Total or no breakdown,"Health problems, illness or injury",All areas,Both sexes,7.2
2021,VC_VOV_GDSD,Norway,Total or no breakdown,Sex,All areas,Both sexes,7.1
2021,VC_VOV_GDSD,Norway,Total or no breakdown,Disability,All areas,Both sexes,3.5
2021,VC_VOV_GDSD,Norway,Total or no breakdown,Age,All areas,Both sexes,7.0
2021,VC_VOV_GDSD,Norway,Total or no breakdown,All or no breakdown,All areas,Both sexes,21.9
2018,VC_VOV_GDSD,Costa Rica,Persons without disability,Ethnic,All areas,Female,2.3
2018,VC_VOV_GDSD,Costa Rica,Persons without disability,Disability,All areas,Female,1.6
2018,VC_VOV_GDSD,Costa Rica,Persons without disability,Age,All areas,Female,6.0
2018,VC_VOV_GDSD,Costa Rica,Total or no breakdown,Disability,All areas,Female,2.1
2018,VC_VOV_GDSD,Costa Rica,Persons with disability,Sex,All areas,Female,10.3
2018,VC_VOV_GDSD,Costa Rica,Total or no breakdown,Ethnic,All areas,Female,2.4
2018,VC_VOV_GDSD,Costa Rica,Total or no breakdown,Religion or belief,Urban,Female,11.9
2018,VC_VOV_GDSD,Costa Rica,Total or no breakdown,Nationality,All areas,Female,3.5
2018,VC_VOV_GDSD,Costa Rica,Persons without disability,All or no breakdown,All areas,Female,26.8
2018,VC_VOV_GDSD,Costa Rica,Persons without disability,Other,All areas,Female,5.5
2018,VC_VOV_GDSD,Costa Rica,Persons with disability,Nationality,All areas,Female,6.2
2018,VC_VOV_GDSD,Costa Rica,Total or no breakdown,Sex,All areas,Female,10.4
2018,VC_VOV_GDSD,Costa Rica,Persons with disability,Other,All areas,Female,11.6
2018,VC_VOV_GDSD,Costa Rica,Persons without disability,Nationality,All areas,Female,3.5
2014,VC_VOV_GDSD,Denmark,Total or no breakdown,All or no breakdown,All areas,Female,5.4
2014,VC_VOV_GDSD,Denmark,Total or no breakdown,All or no breakdown,All areas,Both sexes,4.9
2014,VC_VOV_GDSD,Denmark,Persons without disability,All or no breakdown,All areas,Both sexes,8.05
2014,VC_VOV_GDSD,Denmark,Persons with disability,All or no breakdown,All areas,Both sexes,3.75
2020,VC_VOV_GDSD,Canada,Total or no breakdown,Religion or belief,All areas,Female,1.6
2020,VC_VOV_GDSD,Canada,Total or no breakdown,All or no breakdown,All areas,Male,13.8
2020,VC_VOV_GDSD,Canada,Total or no breakdown,Language  or dialect,All areas,Male,2.7
