Indicator,Reporting status,UN custodian agency,Non-statistical,Show map,Geographical coverage,Units,Graph type
#16-7-2-IU_DMK_RESP,complete,,,,custom.central_asia,,line
#16-8-1,notstarted,"Financing for Sustainable Development Office (FSDO), United Nations Department of Economic and Social Affairs (UN-DESA)
",True,,,,line
#16-8-1-SG_INT_MBRDEV,complete,,,,custom.central_asia,,line
#16-8-1-SG_INT_VRTDEV,complete,,,,custom.central_asia,,line
#16-9-1,complete,United Nations Children&apos;s Fund (UNICEF),,,custom.central_asia,,line
#16-a-1,notstarted,United Nations Office of the High Commissioner for Human Rights,True,,,,line
#16-a-1-SG_NHR_IMPLN,complete,,,,custom.central_asia,,line
#16-a-1-SG_NHR_INTEXSTN,complete,,,,custom.central_asia,,line
#16-a-1-SG_NHR_NOAPPLN,complete,,,,custom.central_asia,,line
#16-a-1-SG_NHR_NOSTUSN,complete,,,,custom.central_asia,,line
#16-b-1,complete,Office of the United Nations High Commissioner for Human Rights (OHCHR),,,custom.central_asia,,line
#17-1-1,notstarted,International Monetary Fund (IMF) Statistics Department (Government Finance Division),True,,,,line
#17-1-1-GR_G14_GDP,complete,,,,custom.central_asia,,line
#17-1-1-GR_G14_XDC,complete,,,,custom.central_asia,,line
#17-1-2,complete,International Monetary Fund (IMF) Statistics Department (Government Finance Division),,,custom.central_asia,,line
#17-10-1,notstarted,"International Trade Centre (ITC)
United Nations Conference on Trade and Development (UNCTAD)
The World Trade Organization (WTO)",True,,,,line
#17-10-1-TM_TAX_WMFN,complete,,,,custom.central_asia,,line
#17-10-1-TM_TAX_WMPS,complete,,,,custom.central_asia,,line
#17-11-1,notstarted,"International Trade Centre (ITC)
United Nations Conference on Trade and Development (UNCTAD)
The World Trade Organization (WTO)",True,,,,line
#17-11-1-TX_EXP_GBMRCH,complete,,,,custom.central_asia,,line
#17-11-1-TX_EXP_GBSVR,complete,,,,custom.central_asia,,line
#17-11-1-TX_IMP_GBMRCH,complete,,,,custom.central_asia,,line
#17-11-1-TX_IMP_GBSVR,complete,,,,custom.central_asia,,line
#17-12-1,notstarted,"International Trade Centre (ITC)
United Nations Conference on Trade and Development (UNCTAD)
The World Trade Organization (WTO)",True,,,,line
#17-12-1-TM_TAX_DMFN,complete,,,,custom.central_asia,,line
#17-12-1-TM_TAX_DPRF,complete,,,,custom.central_asia,,line
#17-13-1,notstarted,World Bank,True,,,,line
#17-13-1-BN_CAB_XOKA_GD_ZS,complete,,,,custom.central_asia,,line
#17-13-1-BN_KLT_PTXL_CD,complete,,,,custom.central_asia,,line
#17-13-1-BX_KLT_DINV_WD_GD_ZS,complete,,,,custom.central_asia,,line
#17-13-1-DP_DOD_DLD2_CR_CG_Z1,complete,,,,custom.central_asia,,line
#17-13-1-DT_DOD_DECT_GN_ZS,complete,,,,custom.central_asia,,line
#17-13-1-FB_BNK_CAPA_ZS,complete,,,,custom.central_asia,,line
#17-13-1-FI_RES_TOTL_MO,complete,,,,custom.central_asia,,line
#17-13-1-FM_LBL_BMNY_IR_ZS,complete,,,,custom.central_asia,,line
#17-13-1-FM_LBL_BMNY_ZG,complete,,,,custom.central_asia,,line
#17-13-1-FP_CPI_TOTL_ZG,complete,,,,custom.central_asia,,line
#17-13-1-GC_BAL_CASH_GD_ZS,complete,,,,custom.central_asia,,line
#17-13-1-GC_TAX_TOTL_GD_ZS,complete,,,,custom.central_asia,,line
#17-13-1-NE_CON_GOVT_KD_ZG,complete,,,,custom.central_asia,,line
#17-13-1-NE_CON_PRVT_KD_ZG,complete,,,,custom.central_asia,,line
#17-13-1-NE_EXP_GNFS_KD_ZG,complete,,,,custom.central_asia,,line
#17-13-1-NE_GDI_TOTL_KD_ZG,complete,,,,custom.central_asia,,line
#17-13-1-NE_IMP_GNFS_KD_ZG,complete,,,,custom.central_asia,,line
#17-13-1-NY_GDP_MKTP_KD_ZG,complete,,,,custom.central_asia,,line
#17-13-1-PA_NUS_ATLS,complete,,,,custom.central_asia,,line
#17-13-1-TG_VAL_TOTL_GD_ZS,complete,,,,custom.central_asia,,line
#17-14-1,complete,United Nations Environment Programme (UNEP),,,custom.central_asia,,line
#17-15-1,notstarted,"Organisation for Economic Co-operation and Development (OECD)
United Nations Development Programme (UNDP)",True,,,,line
#17-15-1-SG_PLN_PRPOLRES,complete,,,,custom.central_asia,,line
#17-15-1-SG_PLN_PRVNDI,complete,,,,custom.central_asia,,line
#17-15-1-SG_PLN_PRVRICTRY,complete,,,,custom.central_asia,,line
#17-15-1-SG_PLN_PRVRIMON,complete,,,,custom.central_asia,,line
#17-15-1-SG_PLN_RECNDI,complete,,,,custom.central_asia,,line
#17-15-1-SG_PLN_RECRICTRY,complete,,,,custom.central_asia,,line
#17-15-1-SG_PLN_RECRIMON,complete,,,,custom.central_asia,,line
#17-15-1-SG_PLN_REPOLRES,complete,,,,custom.central_asia,,line
#17-16-1,notstarted,"Organisation for Economic Co-operation and Development (OECD)
United Nations Development Programme (UNDP)",True,,,,line
#17-16-1-SG_PLN_MSTKSDG_P,complete,,,,custom.central_asia,,line
#17-16-1-SG_PLN_MSTKSDG_R,complete,,,,custom.central_asia,,line
#17-17-1,notstarted,World Bank,True,,,,line
#17-17-1-GF_COM_PPPI,complete,,,,custom.central_asia,,line
#17-17-1-GF_COM_PPPI_KD,complete,,,,custom.central_asia,,line
#17-18-1,notstarted,World Bank (WB),True,,,,line
#17-18-1-IQ_SPI_PIL4,complete,,,,custom.central_asia,,line
#17-18-1-IQ_SPI_PIL5,complete,,,,custom.central_asia,,line
#17-18-1-SG_STT_ODIN,complete,,,,custom.central_asia,,line
#17-18-2,complete,Partnership in Statistics for Development in the 21st Century (PARIS21),,,custom.central_asia,,line
#17-18-3,notstarted,Partnership in Statistics for Development in the 21st Century (PARIS21),True,,,,line
#17-18-3-SG_STT_NSDSFDDNR,complete,,,,custom.central_asia,,line
#17-18-3-SG_STT_NSDSFDGVT,complete,,,,custom.central_asia,,line
#17-18-3-SG_STT_NSDSFDOTHR,complete,,,,custom.central_asia,,line
#17-18-3-SG_STT_NSDSFND,complete,,,,custom.central_asia,,line
#17-18-3-SG_STT_NSDSIMPL,complete,,,,custom.central_asia,,line
#17-19-1,complete,Partnership in Statistics for Development in the 21st Century (PARIS21),,,custom.central_asia,,line
#17-19-2,notstarted,"United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations",True,,,,line
#17-19-2-SG_REG_BRTH90,complete,,,,custom.central_asia,,line
#17-19-2-SG_REG_BRTH90N,complete,,,,custom.central_asia,,line
#17-19-2-SG_REG_CENSUS,complete,,,,custom.central_asia,,line
#17-19-2-SG_REG_CENSUSN,complete,,,,custom.central_asia,,line
#17-19-2-SG_REG_DETH75,complete,,,,custom.central_asia,,line
#17-19-2-SG_REG_DETH75N,complete,,,,custom.central_asia,,line
#17-2-1,notstarted,Organisation for Economic Co-operation and Development (OECD),True,,,,line
#17-2-1-DC_ODA_LDCG,complete,,,,custom.central_asia,,line
#17-2-1-DC_ODA_LDCS,complete,,,,custom.central_asia,,line
#17-2-1-DC_ODA_LLDC,complete,,,,custom.central_asia,,line
#17-2-1-DC_ODA_LLDCG,complete,,,,custom.central_asia,,line
#17-2-1-DC_ODA_SIDS,complete,,,,custom.central_asia,,line
#17-2-1-DC_ODA_SIDSG,complete,,,,custom.central_asia,,line
#17-2-1-DC_ODA_TOTG,complete,,,,custom.central_asia,,line
#17-2-1-DC_ODA_TOTGGE,complete,,,,custom.central_asia,,line
#17-2-1-DC_ODA_TOTL,complete,,,,custom.central_asia,,line
#17-2-1-DC_ODA_TOTLGE,complete,,,,custom.central_asia,,line
#17-3-1,notstarted,OECD and UNCTAD,True,,,,line
#17-3-1-DC_OSSD_GRT,complete,,,,custom.central_asia,,line
#17-3-1-DC_OSSD_MPF,complete,,,,custom.central_asia,,line
#17-3-1-DC_OSSD_OFFCL,complete,,,,custom.central_asia,,line
#17-3-1-DC_OSSD_OFFNL,complete,,,,custom.central_asia,,line
#17-3-1-DC_OSSD_PRVGRT,complete,,,,custom.central_asia,,line
#17-3-1-GF_FRN_FDI,complete,,,,custom.central_asia,,line
#17-3-2,complete,World Bank (WB),,,custom.central_asia,,line
#17-4-1,complete,World Bank (WB),,,custom.central_asia,,line
#17-5-1,notstarted,United Nations Conference on Trade and Development (UNCTAD),True,,,,line
#17-6-1,notstarted,International Telecommunication Union (ITU),True,,,,line
#17-6-1-IT_NET_BBND,complete,,,,custom.central_asia,,line
#17-6-1-IT_NET_BBNDN,complete,,,,custom.central_asia,,line
#17-7-1,notstarted,United Nations Environment Programme (UNEP),True,,,,line
#17-7-1-DC_ENVTECH_EXP,complete,,,,custom.central_asia,,line
#17-7-1-DC_ENVTECH_IMP,complete,,,,custom.central_asia,,line
#17-7-1-DC_ENVTECH_INV,complete,,,,custom.central_asia,,line
#17-7-1-DC_ENVTECH_REXP,complete,,,,custom.central_asia,,line
#17-7-1-DC_ENVTECH_RIMP,complete,,,,custom.central_asia,,line
#17-7-1-DC_ENVTECH_TT,complete,,,,custom.central_asia,,line
#17-8-1,complete,International Telecommunication Union (ITU),,,custom.central_asia,,line
#17-9-1,notstarted,Organisation for Economic Co-operation and Development (OECD),True,,,,line
#2-1-1,complete,Food and Agriculture Organization of the United Nations (FAO),,,custom.central_asia,,line
#2-1-2,complete,Food and Agriculture Organisation of the United Nations (FAO),,,custom.central_asia,,line
#2-2-1,complete,"United Nations Children&apos;s Fund (UNICEF)
World Health Organization (WHO)
World Bank (WB)",,,custom.central_asia,,line
#2-2-2,complete,"United Nations Children&apos;s Fund (UNICEF)
World Health Organization (WHO)
World Bank (WB)",,,custom.central_asia,,line
#2-2-3,complete,World Health Organization (WHO),,,custom.central_asia,,line
#2-3-1,complete,Food and Agriculture Organization (FAO),,,custom.central_asia,,line
#2-3-2,complete,Food and Agriculture Organization (FAO),,,custom.central_asia,,line
#2-4-1,complete,Food and Agriculture Organization of the United Nations (FAO),,,custom.central_asia,,line
#2-4-1-a-AG_LND_AGRBIO,complete,,,,custom.central_asia,,line
#2-4-1-a-AG_LND_AGRWAG,complete,,,,custom.central_asia,,line
#2-4-1-a-AG_LND_FERTMG,complete,,,,custom.central_asia,,line
#2-4-1-a-AG_LND_FIES,complete,,,,custom.central_asia,,line
#2-4-1-a-AG_LND_FOVH,complete,,,,custom.central_asia,,line
#2-4-1-a-AG_LND_H2OAVAIL,complete,,,,custom.central_asia,,line
#2-4-1-a-AG_LND_LNDSTR,complete,,,,custom.central_asia,,line
#2-4-1-a-AG_LND_NFI,complete,,,,custom.central_asia,,line
#2-4-1-a-AG_LND_PSTCDSMG,complete,,,,custom.central_asia,,line
#2-4-1-a-AG_LND_RMM,complete,,,,custom.central_asia,,line
#2-4-1-a-AG_LND_SDGRD,complete,,,,custom.central_asia,,line
#2-5-1,notstarted,Food and Agriculture Organization of the United Nations (FAO),True,,,,line
#2-5-1-ER_GRF_ANIMKPT,complete,,,,custom.central_asia,,line
#2-5-1-ER_GRF_ANIMKPT_TRB,complete,,,,custom.central_asia,,line
#2-5-1-ER_GRF_ANIMRCNTN,complete,,,,custom.central_asia,,line
#2-5-1-ER_GRF_ANIMRCNTN_TRB,complete,,,,custom.central_asia,,line
#2-5-1-ER_GRF_PLNTSTOR,complete,,,,custom.central_asia,,line
#2-5-2,complete,Food and Agriculture Organization of the United Nations (FAO),,,custom.central_asia,,line
#2-a-1,notstarted,Food and Agriculture Organization of the United Nations (FAO),True,,,,line
#2-a-1-AG_PRD_AGVAS,complete,,,,custom.central_asia,,line
#2-a-1-AG_PRD_ORTIND,complete,,,,custom.central_asia,,line
#2-a-1-AG_XPD_AGSGB,complete,,,,custom.central_asia,,line
#2-a-2,complete,Organisation for Economic Co-operation and Development (OECD),,,custom.central_asia,,line
#2-b-1,complete,The World Trade Organization (WTO),,,custom.central_asia,,line
#2-c-1,notstarted,Food and Agriculture Organization of the United Nations (FAO),True,,,,line
#2-c-1-AG_FPA_CFPI,complete,,,,custom.central_asia,,line
#2-c-1-AG_FPA_COMM,complete,,,,custom.central_asia,,line
#3-1-1,notstarted,World Health Organization (WHO). Department of Sexual and Reproductive Health and Research.,True,,,,line
#3-1-1-SH_STA_MORT,complete,,,,custom.central_asia,,line
#3-1-2,notstarted,United Nations Children&#x2019;s Fund (UNICEF) and World Health Organization (WHO),True,,,,line
#3-1-2-SH_STA_BRTC,complete,,,,custom.central_asia,,line
#3-2-1,notstarted,United Nations Children&apos;s Fund (UNICEF),True,,,,line
#3-2-1-a,complete,,,,custom.central_asia,,line
#3-2-1-b,complete,,,,custom.central_asia,,line
#3-2-2,complete,United Nations Children&apos;s Fund (UNICEF) ,,,custom.central_asia,,line
#3-3-1,complete,The Joint United Nations Programme on HIV/AIDS (UNAIDS),,,custom.central_asia,,line
#3-3-2,complete,World Health Organization (WHO),,,custom.central_asia,,line
#3-3-3,complete,Global Malaria Programme at World Health Organization(WHO),,,custom.central_asia,,line
#3-3-4,complete,World Health Organization ,,,custom.central_asia,,line
#3-3-5,complete,World Health Organization (WHO),,,custom.central_asia,,line
#3-4-1,complete,World Health Organization (WHO) ,,,custom.central_asia,,line
#3-4-1-a,complete,,,,custom.central_asia,,line
#3-4-2,complete,World Health Organization (WHO) ,,,custom.central_asia,,line
#3-5-1,notstarted,"World Health Organization (WHO) 
United Nations Office on Drugs and Crime (UNODC) ",True,,,,line
#3-5-1-SH_SUD_ALCOL,complete,,,,custom.central_asia,,line
#3-5-1-SH_SUD_TREAT,complete,,,,custom.central_asia,,line
#3-5-2,complete,World Health Organization (WHO) ,,,custom.central_asia,,line
#3-6-1,complete,World Health Organization (WHO) ,,,custom.central_asia,,line
#3-7-1,complete,"Population Division, Department of Economic and Social Affairs (DESA)
United Nations Population Fund (UNFPA)",,,custom.central_asia,,line
#3-7-2,complete,"Population Division, Department of Economic and Social Affairs (DESA) 
United Nations Population Fund (UNFPA)",,,custom.central_asia,,line
#3-8-1,complete,World Health Organization (WHO) ,,,custom.central_asia,,line
#3-8-2,complete,World Health Organization (WHO) and the World Bank,,,custom.central_asia,,line
#3-9-1,complete,World Health Organization (WHO),,,custom.central_asia,,line
#3-9-2,complete,World Health Organization (WHO),,,custom.central_asia,,line
#3-9-3,complete,"World Health Organization (WHO)
 ",,,custom.central_asia,,line
#3-a-1,complete,World Health Organization; Secretariat of the WHO Framework Convention on Tobacco Control (co-custodians) ,,,custom.central_asia,,line
#3-b-1,complete,"World Health Organization (WHO), United Nations Children&#x2019;s Fund (UNICEF) ",,,custom.central_asia,,line
#3-b-2,notstarted,Organisation for Economic Co-operation and Development (OECD) ,True,,,,line
#3-b-2-DC_TOF_HLTHL,complete,,,,custom.central_asia,,line
#3-b-2-DC_TOF_HLTHNT,complete,,,,custom.central_asia,,line
#3-b-3,complete,World Health Organization (WHO),,,custom.central_asia,,line
#3-c-1,notstarted,"Health Workforce Department, World Health Organization (WHO)",True,,,,line
#3-c-1-SH_MED_DEN,complete,,,,custom.central_asia,,line
#3-c-1-SH_MED_HWRKDIS,complete,,,,custom.central_asia,,line
#3-d-1,complete,World Health Organization (WHO),,,custom.central_asia,,line
#3-d-2,notstarted,World Health Organization (WHO) ,True,,,,line
#3-d-2-SH_BLD_ECOLI,complete,,,,custom.central_asia,,line
#3-d-2-SH_BLD_MRSA,complete,,,,custom.central_asia,,line
#4-1-1,complete,UNESCO Institute of Statistics (UIS),,,custom.central_asia,,line
#4-1-2,complete,UNESCO Institute for Statistics (UIS),,,custom.central_asia,,line
#4-2-1,complete,United Nations Children&apos;s Fund (UNICEF),,,custom.central_asia,,line
#4-2-2,complete,UNESCO Institute for Statistics (UIS),,,custom.central_asia,,line
#4-3-1,complete,UNESCO Institute for Statistics (UIS),,,custom.central_asia,,line
#4-4-1,complete,International Telecommunication Union (ITU),,,custom.central_asia,,line
#4-5-1,notstarted,UNESCO Institute for Statistics (UIS),True,,,,line
#4-5-1-SE_AGP_CPRA,complete,,,,custom.central_asia,,line
#4-5-1-SE_ALP_CPLR,complete,,,,custom.central_asia,,line
#4-5-1-SE_AWP_CPRA,complete,,,,custom.central_asia,,line
#4-5-1-SE_GPI_ICTS,complete,,,,custom.central_asia,,line
#4-5-1-SE_GPI_PART,complete,,,,custom.central_asia,,line
#4-5-1-SE_GPI_PTNPRE,complete,,,,custom.central_asia,,line
#4-5-1-SE_GPI_TCAQ,complete,,,,custom.central_asia,,line
#4-5-1-SE_IMP_FPOF,complete,,,,custom.central_asia,,line
#4-5-1-SE_LGP_ACHI,complete,,,,custom.central_asia,,line
#4-5-1-SE_NAP_ACHI,complete,,,,custom.central_asia,,line
#4-5-1-SE_TOT_GPI,complete,,,,custom.central_asia,,line
#4-5-1-SE_TOT_GPI_FS,complete,,,,custom.central_asia,,line
#4-5-1-SE_TOT_RUPI,complete,,,,custom.central_asia,,line
#4-5-1-SE_TOT_SESPI,complete,,,,custom.central_asia,,line
#4-5-1-SE_TOT_SESPI_FS,complete,,,,custom.central_asia,,line
#4-6-1,complete,UNESCO Institute for Statistics (UIS),,,custom.central_asia,,line
#4-7-1,complete,"UNESCO Education Sector, Division for Peace and Sustainable Development, Section of Education for Sustainable Development (UNESCO-ED/PSD/ESD)
UNESCO Institute for Statistics (UNESCO-UIS)",,,custom.central_asia,,line
#4-a-1,notstarted,UNESCO Institute for Statistics (UIS),True,,,,line
#4-a-1-SE_ACC_HNDWSH,complete,,,,custom.central_asia,,line
#4-a-1-SE_ACS_CMPTR,complete,,,,custom.central_asia,,line
#4-a-1-SE_ACS_ELECT,complete,,,,custom.central_asia,,line
#4-a-1-SE_ACS_H2O,complete,,,,custom.central_asia,,line
#4-a-1-SE_ACS_INTNT,complete,,,,custom.central_asia,,line
#4-a-1-SE_ACS_SANIT,complete,,,,custom.central_asia,,line
#4-a-1-SE_INF_DSBL,complete,,,,custom.central_asia,,line
#4-b-1,complete,Organisation for Economic Co-operation and Development (OECD),,,custom.central_asia,,line
#4-c-1,complete,UNESCO Institute for Statistics (UNESCO-UIS),,,custom.central_asia,,line
#5-1-1,complete,"UN Women, World Bank Group, OECD Development Centre",,,custom.central_asia,,line
#5-2-1,complete,"World Health Organization (WHO)
United Nations Children&apos;s Fund (UNICEF)
United Nations Entity for Gender Equality and the Empowerment of Women (UN Women)
United Nations Office on Drugs and Crime (UNODC)
United Nations Population Fund (UNFPA)
United Nations Statistics Division (UNSD)",,,custom.central_asia,,line
#5-2-2,notstarted,"United Nations Entity for Gender Equality and the Empowerment of Women (UN Women)
United Nations Children&apos;s Fund (UNICEF)
United Nations Statistics Division (UNSD)
World Health Organization (WHO)
United Nations Population Fund (UNFPA)",True,,,,line
#5-3-1,complete,United Nations Children&apos;s Fund (UNICEF),,,custom.central_asia,,line
#5-3-2,notstarted,United Nations Children&apos;s Fund (UNICEF),True,,,,line
#5-4-1,notstarted,UN Statistics Division (UNSD) and UN WOMEN,True,,,,line
#5-4-1-SL_DOM_TSPD,complete,,,,custom.central_asia,,line
#5-4-1-SL_DOM_TSPDCW,complete,,,,custom.central_asia,,line
#5-4-1-SL_DOM_TSPDDC,complete,,,,custom.central_asia,,line
#5-5-1,notstarted,Inter-Parliamentary Union (IPU),True,,,,line
#5-5-1-SG_GEN_LOCGELS,complete,,,,custom.central_asia,,line
#5-5-1-SG_GEN_PARL,complete,,,,custom.central_asia,,line
#5-5-2,notstarted,International Labour Organization (ILO),True,,,,line
#5-5-2-IC_GEN_MGTL,complete,,,,custom.central_asia,,line
#5-5-2-IC_GEN_MGTL_19ICLS,complete,,,,custom.central_asia,,line
#5-5-2-IC_GEN_MGTN,complete,,,,custom.central_asia,,line
#5-5-2-IC_GEN_MGTN_19ICLS,complete,,,,custom.central_asia,,line
#5-6-1,notstarted,United Nations Population Fund (UNFPA),True,,,,line
#5-6-1-SH_FPL_INFM,complete,,,,custom.central_asia,,line
#5-6-1-SH_FPL_INFMCU,complete,,,,custom.central_asia,,line
#5-6-1-SH_FPL_INFMRH,complete,,,,custom.central_asia,,line
#5-6-1-SH_FPL_INFMSR,complete,,,,custom.central_asia,,line
#5-6-2,notstarted,United Nations Population Fund (UNFPA),True,,,,line
#5-6-2-SH_LGR_ACSRHE,complete,,,,custom.central_asia,,line
#5-6-2-SH_LGR_ACSRHEC1,complete,,,,custom.central_asia,,line
#5-6-2-SH_LGR_ACSRHEC10,complete,,,,custom.central_asia,,line
#5-6-2-SH_LGR_ACSRHEC11,complete,,,,custom.central_asia,,line
#5-6-2-SH_LGR_ACSRHEC12,complete,,,,custom.central_asia,,line
#5-6-2-SH_LGR_ACSRHEC13,complete,,,,custom.central_asia,,line
#5-6-2-SH_LGR_ACSRHEC2,complete,,,,custom.central_asia,,line
#5-6-2-SH_LGR_ACSRHEC3,complete,,,,custom.central_asia,,line
#5-6-2-SH_LGR_ACSRHEC4,complete,,,,custom.central_asia,,line
#5-6-2-SH_LGR_ACSRHEC5,complete,,,,custom.central_asia,,line
#5-6-2-SH_LGR_ACSRHEC6,complete,,,,custom.central_asia,,line
#5-6-2-SH_LGR_ACSRHEC7,complete,,,,custom.central_asia,,line
#5-6-2-SH_LGR_ACSRHEC8,complete,,,,custom.central_asia,,line
#5-6-2-SH_LGR_ACSRHEC9,complete,,,,custom.central_asia,,line
#5-6-2-SH_LGR_ACSRHES1,complete,,,,custom.central_asia,,line
#5-6-2-SH_LGR_ACSRHES2,complete,,,,custom.central_asia,,line
#5-6-2-SH_LGR_ACSRHES3,complete,,,,custom.central_asia,,line
#5-6-2-SH_LGR_ACSRHES4,complete,,,,custom.central_asia,,line
#5-a-1,notstarted,Food and Agriculture Organization of the United Nations (FAO),True,,,,line
#5-a-1-SP_GNP_WNOWNS,complete,,,,custom.central_asia,,line
#5-a-1-SP_LGL_LNDAGSEC,complete,,,,custom.central_asia,,line
#5-a-2,complete,Food and Agriculture Organization of the United Nations (FAO),,,custom.central_asia,,line
#5-b-1,complete,International Telecommunication Union (ITU),,,custom.central_asia,,line
#5-c-1,complete,United Nations Entity for Gender Equality and the Empowerment of Women (UN Women) in collaboration with Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP),,,custom.central_asia,,line
#6-1-1,complete,"World Health Organization (WHO)
United Nations Children&apos;s Fund (UNICEF)",,,custom.central_asia,,line
#6-2-1,notstarted,"World Health Organization (WHO)
United Nations Children&apos;s Fund (UNICEF)",True,,,,line
#6-2-1-SH_SAN_DEFECT,complete,,,,custom.central_asia,,line
#6-2-1-SH_SAN_HNDWSH,complete,,,,custom.central_asia,,line
#6-2-1-SH_SAN_SAFE,complete,,,,custom.central_asia,,line
#6-3-1,complete,"United Nations Human Settlements Programme (UN-Habitat)
World Health Organization (WHO)
United Nations Statistics Division (UNSD)",,,custom.central_asia,,line
#6-3-2,complete,United Nations Environment Programme (UNEP),,,custom.central_asia,,line
#6-4-1,complete,Food and Agriculture Organization of the United Nations (FAO),,,custom.central_asia,,line
#6-4-2,notstarted,Food and Agriculture Organization of the United Nations (FAO),True,,,,line
#6-4-2-ER_H2O_STRESS,complete,,,,custom.central_asia,,line
#6-5-1,notstarted,United Nations Environment Programme (UNEP),True,,,,line
#6-5-1-ER_H2O_IWRMD,complete,,,,custom.central_asia,,line
#6-5-1-ER_H2O_IWRMD_EE,complete,,,,custom.central_asia,,line
#6-5-1-ER_H2O_IWRMD_FI,complete,,,,custom.central_asia,,line
#6-5-1-ER_H2O_IWRMD_IP,complete,,,,custom.central_asia,,line
#6-5-1-ER_H2O_IWRMD_MI,complete,,,,custom.central_asia,,line
#6-5-2,notstarted,"Intergovernmental Hydrological Programme of United Nations Educational, Scientific and Cultural Organization (UNESCO-IHP)
United Nations Economic Commission for Europe (UNECE)",True,,,,line
#6-5-2-EG_TBA_H2CO,complete,,,,custom.central_asia,,line
#6-5-2-EG_TBA_H2COAQ,complete,,,,custom.central_asia,,line
#6-5-2-EG_TBA_H2CORL,complete,,,,custom.central_asia,,line
#6-6-1,notstarted,Secretariat of the Ramsar Convention on Wetlands,True,,,,line
#6-6-1-EN_LKRV_PWAC,complete,,,,custom.central_asia,,line
#6-6-1-EN_LKRV_PWAN,complete,,,,custom.central_asia,,line
#6-6-1-EN_LKRV_PWAP,complete,,,,custom.central_asia,,line
#6-6-1-EN_LKRV_SWAC,complete,,,,custom.central_asia,,line
#6-6-1-EN_LKRV_SWAN,complete,,,,custom.central_asia,,line
#6-6-1-EN_LKRV_SWAP,complete,,,,custom.central_asia,,line
#6-6-1-EN_LKW_QLTRB,complete,,,,custom.central_asia,,line
#6-6-1-EN_LKW_QLTRST,complete,,,,custom.central_asia,,line
#6-6-1-EN_RSRV_MNWAN,complete,,,,custom.central_asia,,line
#6-6-1-EN_RSRV_MNWAP,complete,,,,custom.central_asia,,line
#6-6-1-EN_RSRV_MXWAN,complete,,,,custom.central_asia,,line
#6-6-1-EN_RSRV_MXWAP,complete,,,,custom.central_asia,,line
#6-6-1-EN_WBE_HMWTL,complete,,,,custom.central_asia,,line
#6-6-1-EN_WBE_INWTL,complete,,,,custom.central_asia,,line
#6-6-1-EN_WBE_MANGC,complete,,,,custom.central_asia,,line
#6-6-1-EN_WBE_MANGN,complete,,,,custom.central_asia,,line
#6-6-1-EN_WBE_NDQTGRW,complete,,,,custom.central_asia,,line
#6-6-1-EN_WBE_NDQTRVR,complete,,,,custom.central_asia,,line
#6-6-1-EN_WBE_WTLN,complete,,,,custom.central_asia,,line
#6-6-1-EN_WBE_WTLP,complete,,,,custom.central_asia,,line
#6-a-1,complete,"World Health Organization (WHO)
United Nations Environment Programme (UNEP)
Organisation for Economic Co-operation and Development (OECD)",,,custom.central_asia,,line
#6-b-1,notstarted,"World Health Organization (WHO)
United Nations Environment Programme (UNEP)
Organisation for Economic Co-operation and Development (OECD)",True,,,,line
#6-b-1-ER_H2O_PRDU,complete,,,,custom.central_asia,,line
#6-b-1-ER_H2O_RURP,complete,,,,custom.central_asia,,line
#6-b-1-ER_WAT_PART,complete,,,,custom.central_asia,,line
#6-b-1-ER_WAT_PRDU,complete,,,,custom.central_asia,,line
#7-1-1,complete,World Bank Group,,,custom.central_asia,,line
#7-1-2,complete,World Health Organization (WHO),,,custom.central_asia,,line
#7-2-1,complete,"International Energy Agency (IEA) 
United Nations Statistics Division (UNSD) 
International Renewable Energy Agency (IRENA)",,,custom.central_asia,,line
#7-3-1,complete,"International Energy Agency (IEA) 
United Nations Statistics Division (UNSD)",,,custom.central_asia,,line
#7-a-1,complete,Organisation for Economic Co-operation and Development (OECD) and International Renewable Energy Agency (IRENA),,,custom.central_asia,,line
#7-b-1,complete,International Renewable Energy Agency (IRENA),,,custom.central_asia,,line
#8-1-1,complete,United Nations Statistics Division (UNSD),,,custom.central_asia,,line
#8-10-1,notstarted,International Monetary Fund (STAFI - Financial Access Survey Team) ,True,,,,line
#8-10-1-FB_ATM_TOTL,complete,,,,custom.central_asia,,line
#8-10-1-FB_CBK_BRCH,complete,,,,custom.central_asia,,line
#8-10-2,notstarted,World Bank ,True,,,,line
#8-10-2-FB_BNK_ACCSS,complete,,,,custom.central_asia,,line
#8-10-2-FB_BNK_ACCSS_ILF,complete,,,,custom.central_asia,,line
#8-10-2-FB_BNK_ACCSS_OLF,complete,,,,custom.central_asia,,line
#8-2-1,complete,International Labour Organization (ILO) ,,,custom.central_asia,,line
#8-3-1,notstarted,International Labour Organization (ILO),True,,,,line
#8-3-1-SL_ISV_IFEM,complete,,,,custom.central_asia,,line
#8-3-1-SL_ISV_IFEM_19ICLS,complete,,,,custom.central_asia,,line
#8-4-1,notstarted,United Nations Environment Programme (UNEP),True,,,,line
#8-4-2,notstarted,United Nations Environment Programme (UNEP),True,,,,line
#8-4-2-EN_MAT_DOMCMPC,complete,,,,custom.central_asia,,line
#8-4-2-EN_MAT_DOMCMPG,complete,,,,custom.central_asia,,line
