Year,SeriesCode,Country,Disability status,Sex,Value
2021,SL_TLF_UEMDIS_19ICLS,France,Total or no breakdown,Both sexes,12.58
2021,SL_TLF_UEMDIS_19ICLS,France,Total or no breakdown,Male,13.11
2021,SL_TLF_UEMDIS_19ICLS,France,Persons with disability,Male,28.92
2021,SL_TLF_UEMDIS_19ICLS,France,Total or no breakdown,Female,12.0
2005,SL_TLF_UEMDIS_19ICLS,Germany,Total or no breakdown,Female,13.94
2005,SL_TLF_UEMDIS_19ICLS,Germany,Total or no breakdown,Male,10.62
2005,SL_TLF_UEMDIS_19ICLS,Germany,Total or no breakdown,Both sexes,12.11
2005,SL_TLF_UEMDIS_19ICLS,Germany,Persons with disability,Both sexes,28.48
2005,SL_TLF_UEMDIS_19ICLS,Germany,Persons without disability,Male,9.94
2019,SL_TLF_UEMDIS_19ICLS,New Zealand,Persons with disability,Female,8.5
2019,SL_TLF_UEMDIS_19ICLS,New Zealand,Persons with disability,Both sexes,8.6
2019,SL_TLF_UEMDIS_19ICLS,New Zealand,Persons without disability,Both sexes,3.8
2019,SL_TLF_UEMDIS_19ICLS,New Zealand,Persons with disability,Male,8.7
2019,SL_TLF_UEMDIS_19ICLS,New Zealand,Total or no breakdown,Female,4.2
2019,SL_TLF_UEMDIS_19ICLS,New Zealand,Total or no breakdown,Male,3.6
2020,SL_TLF_UEMDIS_19ICLS,New Zealand,Persons without disability,Male,3.5
2020,SL_TLF_UEMDIS_19ICLS,New Zealand,Total or no breakdown,Male,3.5
2020,SL_TLF_UEMDIS_19ICLS,New Zealand,Persons with disability,Both sexes,7.4
2020,SL_TLF_UEMDIS_19ICLS,New Zealand,Persons with disability,Male,5.3
2020,SL_TLF_UEMDIS_19ICLS,New Zealand,Total or no breakdown,Female,4.4
2020,SL_TLF_UEMDIS_19ICLS,New Zealand,Total or no breakdown,Both sexes,3.9
2020,SL_TLF_UEMDIS_19ICLS,New Zealand,Persons without disability,Female,4.3
2020,SL_TLF_UEMDIS_19ICLS,New Zealand,Persons without disability,Both sexes,3.9
2020,SL_TLF_UEMDIS_19ICLS,New Zealand,Persons with disability,Female,9.5
2004,SL_TLF_UEMDIS_19ICLS,Norway,Persons with disability,Both sexes,13.2
2004,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Both sexes,4.76
2004,SL_TLF_UEMDIS_19ICLS,Norway,Persons with disability,Female,11.99
2004,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Male,4.59
2004,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Male,4.76
2004,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Female,4.76
2004,SL_TLF_UEMDIS_19ICLS,Norway,Persons with disability,Male,14.26
2004,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Female,4.62
2004,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Both sexes,4.6
2005,SL_TLF_UEMDIS_19ICLS,Norway,Persons with disability,Female,18.28
2005,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Both sexes,4.85
2005,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Male,4.72
2005,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Both sexes,5.08
2020,SL_TLF_UEMDIS_19ICLS,Armenia,Total or no breakdown,Both sexes,18.18
2020,SL_TLF_UEMDIS_19ICLS,Armenia,Total or no breakdown,Female,17.13
2020,SL_TLF_UEMDIS_19ICLS,Armenia,Total or no breakdown,Male,19.05
2004,SL_TLF_UEMDIS_19ICLS,Belgium,Persons with disability,Male,23.43
2004,SL_TLF_UEMDIS_19ICLS,Belgium,Persons with disability,Both sexes,29.08
2004,SL_TLF_UEMDIS_19ICLS,Belgium,Persons with disability,Female,35.03
2004,SL_TLF_UEMDIS_19ICLS,Belgium,Total or no breakdown,Female,16.7
2004,SL_TLF_UEMDIS_19ICLS,Belgium,Persons without disability,Male,10.57
2005,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Female,4.99
2005,SL_TLF_UEMDIS_19ICLS,Norway,Persons with disability,Both sexes,16.9
2005,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Female,5.26
2005,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Male,4.94
2005,SL_TLF_UEMDIS_19ICLS,Norway,Persons with disability,Male,15.72
2006,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Both sexes,3.17
2006,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Male,3.08
2006,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Female,3.34
2006,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Female,3.34
2006,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Male,3.01
2006,SL_TLF_UEMDIS_19ICLS,Norway,Persons with disability,Both sexes,4.9
2006,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Both sexes,3.2
2007,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Male,3.23
2007,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Both sexes,2.95
2007,SL_TLF_UEMDIS_19ICLS,Norway,Persons with disability,Both sexes,7.39
2007,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Female,2.62
2007,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Female,2.58
2007,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Male,3.12
2005,SL_TLF_UEMDIS_19ICLS,Germany,Persons with disability,Female,30.63
2005,SL_TLF_UEMDIS_19ICLS,Germany,Persons without disability,Female,13.29
2005,SL_TLF_UEMDIS_19ICLS,Germany,Persons with disability,Male,26.83
2005,SL_TLF_UEMDIS_19ICLS,Germany,Persons without disability,Both sexes,11.45
2006,SL_TLF_UEMDIS_19ICLS,Germany,Total or no breakdown,Female,10.19
2006,SL_TLF_UEMDIS_19ICLS,Germany,Persons with disability,Female,24.35
2006,SL_TLF_UEMDIS_19ICLS,Germany,Persons without disability,Both sexes,8.98
2006,SL_TLF_UEMDIS_19ICLS,Germany,Persons without disability,Female,9.62
2006,SL_TLF_UEMDIS_19ICLS,Germany,Persons without disability,Male,8.44
2006,SL_TLF_UEMDIS_19ICLS,Germany,Persons with disability,Both sexes,27.85
2006,SL_TLF_UEMDIS_19ICLS,Germany,Persons with disability,Male,31.03
2006,SL_TLF_UEMDIS_19ICLS,Germany,Total or no breakdown,Male,9.25
2006,SL_TLF_UEMDIS_19ICLS,Germany,Total or no breakdown,Both sexes,9.68
2007,SL_TLF_UEMDIS_19ICLS,Germany,Persons with disability,Female,32.75
2007,SL_TLF_UEMDIS_19ICLS,Germany,Persons with disability,Male,33.05
2007,SL_TLF_UEMDIS_19ICLS,Germany,Total or no breakdown,Female,12.11
2007,SL_TLF_UEMDIS_19ICLS,Germany,Persons without disability,Both sexes,10.25
2007,SL_TLF_UEMDIS_19ICLS,Germany,Persons with disability,Both sexes,32.91
2007,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Both sexes,2.87
2008,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Female,2.92
2008,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Both sexes,2.65
2008,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Female,2.96
2008,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Male,2.41
2008,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Both sexes,2.68
2008,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Male,2.44
2009,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Female,3.27
2009,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Both sexes,3.48
2009,SL_TLF_UEMDIS_19ICLS,Norway,Persons with disability,Both sexes,16.47
2009,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Male,3.67
2009,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Male,3.77
2009,SL_TLF_UEMDIS_19ICLS,Norway,Persons with disability,Male,13.06
2009,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Female,3.39
2009,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Both sexes,3.6
2010,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Male,4.02
2010,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Both sexes,3.42
2010,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Male,3.92
2007,SL_TLF_UEMDIS_19ICLS,Germany,Persons without disability,Male,9.4
2007,SL_TLF_UEMDIS_19ICLS,Germany,Total or no breakdown,Male,10.24
2007,SL_TLF_UEMDIS_19ICLS,Germany,Persons without disability,Female,11.25
2007,SL_TLF_UEMDIS_19ICLS,Germany,Total or no breakdown,Both sexes,11.1
2008,SL_TLF_UEMDIS_19ICLS,Germany,Persons without disability,Female,9.53
2008,SL_TLF_UEMDIS_19ICLS,Germany,Total or no breakdown,Male,9.98
2008,SL_TLF_UEMDIS_19ICLS,Germany,Persons with disability,Both sexes,37.74
2008,SL_TLF_UEMDIS_19ICLS,Germany,Total or no breakdown,Female,10.73
2008,SL_TLF_UEMDIS_19ICLS,Germany,Persons without disability,Both sexes,8.9
2004,SL_TLF_UEMDIS_19ICLS,Belgium,Persons without disability,Female,15.44
2004,SL_TLF_UEMDIS_19ICLS,Belgium,Persons without disability,Both sexes,12.75
2004,SL_TLF_UEMDIS_19ICLS,Belgium,Total or no breakdown,Both sexes,13.72
2004,SL_TLF_UEMDIS_19ICLS,Belgium,Total or no breakdown,Male,11.28
2005,SL_TLF_UEMDIS_19ICLS,Belgium,Persons with disability,Both sexes,32.01
2005,SL_TLF_UEMDIS_19ICLS,Belgium,Persons without disability,Male,10.98
2005,SL_TLF_UEMDIS_19ICLS,Belgium,Total or no breakdown,Female,17.83
2005,SL_TLF_UEMDIS_19ICLS,Belgium,Total or no breakdown,Both sexes,14.25
2005,SL_TLF_UEMDIS_19ICLS,Belgium,Persons with disability,Female,42.47
2008,SL_TLF_UEMDIS_19ICLS,Germany,Persons with disability,Female,35.95
2008,SL_TLF_UEMDIS_19ICLS,Germany,Total or no breakdown,Both sexes,10.32
2008,SL_TLF_UEMDIS_19ICLS,Germany,Persons with disability,Male,39.07
2008,SL_TLF_UEMDIS_19ICLS,Germany,Persons without disability,Male,8.36
2009,SL_TLF_UEMDIS_19ICLS,Germany,Persons without disability,Both sexes,9.37
2009,SL_TLF_UEMDIS_19ICLS,Germany,Persons with disability,Female,41.58
2009,SL_TLF_UEMDIS_19ICLS,Germany,Total or no breakdown,Male,10.4
2009,SL_TLF_UEMDIS_19ICLS,Germany,Persons with disability,Both sexes,40.3
2009,SL_TLF_UEMDIS_19ICLS,Germany,Persons with disability,Male,39.32
2010,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Female,2.85
2010,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Female,2.88
2010,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Both sexes,3.49
2011,SL_TLF_UEMDIS_19ICLS,Norway,Persons with disability,Male,12.35
2011,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Female,2.43
2011,SL_TLF_UEMDIS_19ICLS,Norway,Persons with disability,Both sexes,11.4
2011,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Both sexes,3.4
2011,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Male,4.15
2011,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Male,4.0
2005,SL_TLF_UEMDIS_19ICLS,Belgium,Persons without disability,Both sexes,13.66
2005,SL_TLF_UEMDIS_19ICLS,Belgium,Total or no breakdown,Male,11.24
2005,SL_TLF_UEMDIS_19ICLS,Belgium,Persons without disability,Female,16.86
2005,SL_TLF_UEMDIS_19ICLS,Belgium,Persons with disability,Male,20.08
2006,SL_TLF_UEMDIS_19ICLS,Belgium,Persons with disability,Both sexes,34.47
2006,SL_TLF_UEMDIS_19ICLS,Belgium,Persons with disability,Female,36.11
2006,SL_TLF_UEMDIS_19ICLS,Belgium,Persons without disability,Both sexes,11.36
2006,SL_TLF_UEMDIS_19ICLS,Belgium,Persons with disability,Male,32.88
2006,SL_TLF_UEMDIS_19ICLS,Belgium,Total or no breakdown,Female,15.29
2011,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Both sexes,3.27
2011,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Female,2.53
2012,SL_TLF_UEMDIS_19ICLS,Norway,Persons with disability,Both sexes,11.77
2012,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Female,3.35
2012,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Male,3.48
2012,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Both sexes,3.47
2012,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Male,3.42
2012,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Female,3.46
2012,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Both sexes,3.39
2006,SL_TLF_UEMDIS_19ICLS,Belgium,Total or no breakdown,Male,9.26
2006,SL_TLF_UEMDIS_19ICLS,Belgium,Persons without disability,Male,8.61
2006,SL_TLF_UEMDIS_19ICLS,Belgium,Persons without disability,Female,14.63
2006,SL_TLF_UEMDIS_19ICLS,Belgium,Total or no breakdown,Both sexes,12.01
2007,SL_TLF_UEMDIS_19ICLS,Belgium,Total or no breakdown,Both sexes,11.02
2007,SL_TLF_UEMDIS_19ICLS,Belgium,Persons without disability,Both sexes,10.44
2007,SL_TLF_UEMDIS_19ICLS,Belgium,Total or no breakdown,Male,9.19
2007,SL_TLF_UEMDIS_19ICLS,Belgium,Persons with disability,Both sexes,31.44
2007,SL_TLF_UEMDIS_19ICLS,Belgium,Persons with disability,Male,33.94
2013,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Female,3.52
2013,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Female,3.49
2013,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Male,3.33
2013,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Both sexes,3.41
2013,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Both sexes,3.42
2013,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Male,3.35
2014,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Female,3.2
2014,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Both sexes,3.05
2014,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Female,3.3
2007,SL_TLF_UEMDIS_19ICLS,Belgium,Persons with disability,Female,28.38
2007,SL_TLF_UEMDIS_19ICLS,Belgium,Persons without disability,Female,12.76
2007,SL_TLF_UEMDIS_19ICLS,Belgium,Persons without disability,Male,8.47
2007,SL_TLF_UEMDIS_19ICLS,Belgium,Total or no breakdown,Female,13.19
2008,SL_TLF_UEMDIS_19ICLS,Belgium,Persons without disability,Both sexes,9.4
2008,SL_TLF_UEMDIS_19ICLS,Belgium,Persons with disability,Both sexes,36.84
2008,SL_TLF_UEMDIS_19ICLS,Belgium,Persons without disability,Male,7.48
2008,SL_TLF_UEMDIS_19ICLS,Belgium,Persons with disability,Male,40.19
2008,SL_TLF_UEMDIS_19ICLS,Belgium,Persons without disability,Female,11.66
2014,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Male,2.91
2014,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Both sexes,3.16
2014,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Male,3.04
2014,SL_TLF_UEMDIS_19ICLS,Norway,Persons with disability,Both sexes,13.63
2014,SL_TLF_UEMDIS_19ICLS,Norway,Persons with disability,Female,12.61
2015,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Female,4.1
2015,SL_TLF_UEMDIS_19ICLS,Norway,Persons with disability,Both sexes,26.78
2015,SL_TLF_UEMDIS_19ICLS,Norway,Persons with disability,Male,25.8
2015,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Male,4.04
2009,SL_TLF_UEMDIS_19ICLS,Germany,Persons without disability,Female,9.77
2009,SL_TLF_UEMDIS_19ICLS,Germany,Total or no breakdown,Female,11.02
2009,SL_TLF_UEMDIS_19ICLS,Germany,Persons without disability,Male,9.02
2009,SL_TLF_UEMDIS_19ICLS,Germany,Total or no breakdown,Both sexes,10.69
2010,SL_TLF_UEMDIS_19ICLS,Germany,Persons with disability,Female,37.05
2010,SL_TLF_UEMDIS_19ICLS,Germany,Total or no breakdown,Female,10.34
2010,SL_TLF_UEMDIS_19ICLS,Germany,Persons without disability,Male,8.66
2010,SL_TLF_UEMDIS_19ICLS,Germany,Total or no breakdown,Both sexes,10.19
2010,SL_TLF_UEMDIS_19ICLS,Germany,Persons without disability,Female,9.1
2010,SL_TLF_UEMDIS_19ICLS,Germany,Persons with disability,Male,38.91
2010,SL_TLF_UEMDIS_19ICLS,Germany,Persons without disability,Both sexes,8.87
2010,SL_TLF_UEMDIS_19ICLS,Germany,Total or no breakdown,Male,10.05
2010,SL_TLF_UEMDIS_19ICLS,Germany,Persons with disability,Both sexes,38.05
2011,SL_TLF_UEMDIS_19ICLS,Germany,Persons without disability,Female,7.49
2011,SL_TLF_UEMDIS_19ICLS,Germany,Total or no breakdown,Male,8.48
2011,SL_TLF_UEMDIS_19ICLS,Germany,Total or no breakdown,Both sexes,8.6
2011,SL_TLF_UEMDIS_19ICLS,Germany,Persons with disability,Female,35.67
2011,SL_TLF_UEMDIS_19ICLS,Germany,Persons with disability,Both sexes,36.77
2015,SL_TLF_UEMDIS_19ICLS,Norway,Persons with disability,Female,27.83
2015,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Both sexes,3.83
2015,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Male,3.81
2015,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Both sexes,4.07
2015,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Female,3.85
2016,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Female,4.15
2016,SL_TLF_UEMDIS_19ICLS,Norway,Persons with disability,Female,16.21
2016,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Female,3.99
2016,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Male,4.65
2008,SL_TLF_UEMDIS_19ICLS,Belgium,Total or no breakdown,Female,12.2
2008,SL_TLF_UEMDIS_19ICLS,Belgium,Persons with disability,Female,33.1
2008,SL_TLF_UEMDIS_19ICLS,Belgium,Total or no breakdown,Male,8.26
2008,SL_TLF_UEMDIS_19ICLS,Belgium,Total or no breakdown,Both sexes,10.07
2009,SL_TLF_UEMDIS_19ICLS,Belgium,Persons without disability,Both sexes,10.45
2009,SL_TLF_UEMDIS_19ICLS,Belgium,Persons with disability,Female,26.09
2009,SL_TLF_UEMDIS_19ICLS,Belgium,Total or no breakdown,Male,9.77
2009,SL_TLF_UEMDIS_19ICLS,Belgium,Persons with disability,Male,40.97
2009,SL_TLF_UEMDIS_19ICLS,Belgium,Persons with disability,Both sexes,33.65
2016,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Both sexes,4.25
2016,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Male,4.48
2016,SL_TLF_UEMDIS_19ICLS,Norway,Persons with disability,Both sexes,19.89
2016,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Both sexes,4.41
2017,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Both sexes,4.4
2017,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Female,4.23
2017,SL_TLF_UEMDIS_19ICLS,Norway,Persons with disability,Male,22.2
2017,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Female,4.15
2017,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Male,4.85
2009,SL_TLF_UEMDIS_19ICLS,Belgium,Total or no breakdown,Both sexes,11.08
2009,SL_TLF_UEMDIS_19ICLS,Belgium,Total or no breakdown,Female,12.62
2009,SL_TLF_UEMDIS_19ICLS,Belgium,Persons without disability,Female,12.21
2009,SL_TLF_UEMDIS_19ICLS,Belgium,Persons without disability,Male,8.95
2010,SL_TLF_UEMDIS_19ICLS,Belgium,Persons with disability,Both sexes,30.23
2010,SL_TLF_UEMDIS_19ICLS,Belgium,Persons with disability,Male,33.82
2010,SL_TLF_UEMDIS_19ICLS,Belgium,Persons without disability,Female,11.58
2010,SL_TLF_UEMDIS_19ICLS,Belgium,Persons with disability,Female,26.5
2010,SL_TLF_UEMDIS_19ICLS,Belgium,Persons without disability,Both sexes,10.94
2010,SL_TLF_UEMDIS_19ICLS,Belgium,Total or no breakdown,Female,11.97
2010,SL_TLF_UEMDIS_19ICLS,Belgium,Total or no breakdown,Male,10.92
2010,SL_TLF_UEMDIS_19ICLS,Belgium,Persons without disability,Male,10.38
2010,SL_TLF_UEMDIS_19ICLS,Belgium,Total or no breakdown,Both sexes,11.4
2011,SL_TLF_UEMDIS_19ICLS,Belgium,Total or no breakdown,Both sexes,11.26
2011,SL_TLF_UEMDIS_19ICLS,Belgium,Persons without disability,Male,9.8
2011,SL_TLF_UEMDIS_19ICLS,Belgium,Total or no breakdown,Male,10.52
2011,SL_TLF_UEMDIS_19ICLS,Belgium,Persons with disability,Female,39.26
2011,SL_TLF_UEMDIS_19ICLS,Belgium,Persons without disability,Female,11.42
2017,SL_TLF_UEMDIS_19ICLS,Norway,Persons with disability,Female,12.82
2017,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Both sexes,4.56
2017,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Male,4.62
2017,SL_TLF_UEMDIS_19ICLS,Norway,Persons with disability,Both sexes,18.44
2018,SL_TLF_UEMDIS_19ICLS,Norway,Persons with disability,Both sexes,16.52
2018,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Both sexes,4.36
2018,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Male,4.92
2018,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Both sexes,4.22
2018,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Female,3.59
2011,SL_TLF_UEMDIS_19ICLS,Belgium,Persons with disability,Both sexes,34.66
2011,SL_TLF_UEMDIS_19ICLS,Belgium,Persons without disability,Both sexes,10.57
2011,SL_TLF_UEMDIS_19ICLS,Belgium,Total or no breakdown,Female,12.1
2011,SL_TLF_UEMDIS_19ICLS,Belgium,Persons with disability,Male,31.62
2012,SL_TLF_UEMDIS_19ICLS,Belgium,Persons without disability,Both sexes,10.23
2012,SL_TLF_UEMDIS_19ICLS,Belgium,Persons with disability,Male,40.52
2012,SL_TLF_UEMDIS_19ICLS,Belgium,Total or no breakdown,Both sexes,10.79
2012,SL_TLF_UEMDIS_19ICLS,Belgium,Persons with disability,Female,35.21
2012,SL_TLF_UEMDIS_19ICLS,Belgium,Persons with disability,Both sexes,37.94
2018,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Female,3.39
2018,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Male,5.02
2018,SL_TLF_UEMDIS_19ICLS,Norway,Persons with disability,Female,17.26
2019,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Both sexes,3.59
2019,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Female,3.65
2019,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Male,3.3
2019,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Male,3.54
2019,SL_TLF_UEMDIS_19ICLS,Norway,Persons with disability,Both sexes,13.2
2019,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Both sexes,3.46
2012,SL_TLF_UEMDIS_19ICLS,Belgium,Total or no breakdown,Male,10.73
2012,SL_TLF_UEMDIS_19ICLS,Belgium,Total or no breakdown,Female,10.86
2012,SL_TLF_UEMDIS_19ICLS,Belgium,Persons without disability,Female,10.33
2012,SL_TLF_UEMDIS_19ICLS,Belgium,Persons without disability,Male,10.14
2013,SL_TLF_UEMDIS_19ICLS,Belgium,Persons with disability,Male,28.5
2013,SL_TLF_UEMDIS_19ICLS,Belgium,Persons without disability,Male,11.14
2013,SL_TLF_UEMDIS_19ICLS,Belgium,Total or no breakdown,Both sexes,11.14
2013,SL_TLF_UEMDIS_19ICLS,Belgium,Total or no breakdown,Female,10.71
2013,SL_TLF_UEMDIS_19ICLS,Belgium,Persons with disability,Both sexes,33.06
2019,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Female,3.65
2019,SL_TLF_UEMDIS_19ICLS,Norway,Persons with disability,Male,25.1
2020,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Both sexes,3.94
2020,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Male,3.64
2020,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Female,3.79
2020,SL_TLF_UEMDIS_19ICLS,Norway,Total or no breakdown,Male,4.06
2020,SL_TLF_UEMDIS_19ICLS,Norway,Persons with disability,Male,32.84
2020,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Both sexes,3.48
2020,SL_TLF_UEMDIS_19ICLS,Norway,Persons with disability,Both sexes,29.48
2013,SL_TLF_UEMDIS_19ICLS,Belgium,Persons without disability,Both sexes,10.55
2013,SL_TLF_UEMDIS_19ICLS,Belgium,Persons with disability,Female,36.7
2013,SL_TLF_UEMDIS_19ICLS,Belgium,Persons without disability,Female,9.89
2013,SL_TLF_UEMDIS_19ICLS,Belgium,Total or no breakdown,Male,11.52
2014,SL_TLF_UEMDIS_19ICLS,Belgium,Persons without disability,Female,10.77
2014,SL_TLF_UEMDIS_19ICLS,Belgium,Total or no breakdown,Male,11.75
2014,SL_TLF_UEMDIS_19ICLS,Belgium,Persons without disability,Both sexes,10.96
2014,SL_TLF_UEMDIS_19ICLS,Belgium,Persons without disability,Male,11.13
2014,SL_TLF_UEMDIS_19ICLS,Belgium,Persons with disability,Both sexes,31.82
2014,SL_TLF_UEMDIS_19ICLS,Belgium,Total or no breakdown,Both sexes,11.55
2014,SL_TLF_UEMDIS_19ICLS,Belgium,Persons with disability,Female,28.46
2014,SL_TLF_UEMDIS_19ICLS,Belgium,Total or no breakdown,Female,11.33
2014,SL_TLF_UEMDIS_19ICLS,Belgium,Persons with disability,Male,35.62
2015,SL_TLF_UEMDIS_19ICLS,Belgium,Persons with disability,Both sexes,32.94
2015,SL_TLF_UEMDIS_19ICLS,Belgium,Total or no breakdown,Both sexes,10.69
2015,SL_TLF_UEMDIS_19ICLS,Belgium,Total or no breakdown,Male,10.59
2015,SL_TLF_UEMDIS_19ICLS,Belgium,Persons with disability,Male,35.64
2015,SL_TLF_UEMDIS_19ICLS,Belgium,Persons without disability,Both sexes,10.12
2020,SL_TLF_UEMDIS_19ICLS,Norway,Persons without disability,Female,3.29
2020,SL_TLF_UEMDIS_19ICLS,Norway,Persons with disability,Female,26.83
2005,SL_TLF_UEMDIS_19ICLS,Poland,Persons with disability,Both sexes,72.4
2005,SL_TLF_UEMDIS_19ICLS,Poland,Persons with disability,Female,100.0
2005,SL_TLF_UEMDIS_19ICLS,Poland,Persons without disability,Both sexes,21.27
2005,SL_TLF_UEMDIS_19ICLS,Poland,Total or no breakdown,Female,23.1
2005,SL_TLF_UEMDIS_19ICLS,Poland,Persons without disability,Female,23.04
2005,SL_TLF_UEMDIS_19ICLS,Poland,Persons without disability,Male,19.77
