Year,Показатели,Страна,Quantile,Sex,Value
2014,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Malta,,FEMALE,41.3
2009,[World Bank] Proportion of population covered by labour market programs (%),Chile,Q1,,12.30475
2011,[World Bank] Proportion of population covered by labour market programs (%),Chile,_T,,0.59718
2011,[World Bank] Proportion of population covered by labour market programs (%),Chile,Q1,,0.44437
2013,[World Bank] Proportion of population covered by labour market programs (%),Chile,_T,,20.50725
2013,[World Bank] Proportion of population covered by labour market programs (%),Chile,Q1,,13.8681
2015,[World Bank] Proportion of population covered by labour market programs (%),Chile,_T,,24.27583
2015,[World Bank] Proportion of population covered by labour market programs (%),Chile,Q1,,14.23999
2017,[World Bank] Proportion of population covered by labour market programs (%),Chile,Q1,,13.33355
2015,[World Bank] Proportion of population covered by social assistance programs (%),Bosnia and Herzegovina,_T,,17.4175
2007,[World Bank] Proportion of population covered by social assistance programs (%),Bulgaria,_T,,39.53489
2007,[World Bank] Proportion of population covered by social assistance programs (%),Bulgaria,Q1,,57.58197
2008,[World Bank] Proportion of population covered by social assistance programs (%),Belarus,_T,,59.94743
2008,[World Bank] Proportion of population covered by social assistance programs (%),Belarus,Q1,,69.87466
2009,[World Bank] Proportion of population covered by social assistance programs (%),Belarus,Q1,,71.10539
2009,[World Bank] Proportion of population covered by social assistance programs (%),Belarus,_T,,58.55187
2010,[World Bank] Proportion of population covered by social assistance programs (%),Belarus,Q1,,68.86802
2015,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Malta,,BOTHSEX,62.2
2020,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Malta,,BOTHSEX,49.7
2017,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Mexico,,BOTHSEX,14.9
2017,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Mexico,,MALE,11.5
2017,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Mexico,,FEMALE,19.9
2020,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Mexico,,BOTHSEX,6.0
2000,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Republic of Moldova,,BOTHSEX,22.8
2005,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Republic of Moldova,,BOTHSEX,6.5
2007,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Republic of Moldova,,BOTHSEX,10.6
2009,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Republic of Moldova,,BOTHSEX,14.0
2017,[World Bank] Proportion of population covered by labour market programs (%),Chile,_T,,22.32238
2008,[World Bank] Proportion of population covered by labour market programs (%),Costa Rica,Q1,,16.19802
2008,[World Bank] Proportion of population covered by labour market programs (%),Costa Rica,_T,,21.155
2009,[World Bank] Proportion of population covered by labour market programs (%),Costa Rica,_T,,25.33946
2009,[World Bank] Proportion of population covered by labour market programs (%),Costa Rica,Q1,,22.64373
2010,[World Bank] Proportion of population covered by labour market programs (%),Costa Rica,_T,,19.84133
2010,[World Bank] Proportion of population covered by labour market programs (%),Costa Rica,Q1,,15.04027
2011,[World Bank] Proportion of population covered by labour market programs (%),Costa Rica,Q1,,16.76853
2010,[World Bank] Proportion of population covered by social assistance programs (%),Belarus,_T,,58.2791
2012,[World Bank] Proportion of population covered by social assistance programs (%),Belarus,Q1,,66.19946
2012,[World Bank] Proportion of population covered by social assistance programs (%),Belarus,_T,,57.30478
2013,[World Bank] Proportion of population covered by social assistance programs (%),Belarus,Q1,,62.91737
2013,[World Bank] Proportion of population covered by social assistance programs (%),Belarus,_T,,54.09911
2014,[World Bank] Proportion of population covered by social assistance programs (%),Belarus,Q1,,66.39224
2014,[World Bank] Proportion of population covered by social assistance programs (%),Belarus,_T,,55.23861
2015,[World Bank] Proportion of population covered by social assistance programs (%),Belarus,_T,,52.7002
2010,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Republic of Moldova,,BOTHSEX,11.1
2011,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Republic of Moldova,,BOTHSEX,8.5
2014,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Republic of Moldova,,BOTHSEX,10.5
2020,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Republic of Moldova,,BOTHSEX,10.5
2009,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Montenegro,,BOTHSEX,43.9
2010,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Montenegro,,BOTHSEX,41.6
2011,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Montenegro,,BOTHSEX,40.9
2014,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Montenegro,,BOTHSEX,35.6
2020,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Montenegro,,BOTHSEX,29.3
2020,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Montenegro,,FEMALE,38.3
2011,[World Bank] Proportion of population covered by labour market programs (%),Costa Rica,_T,,21.76401
2012,[World Bank] Proportion of population covered by labour market programs (%),Costa Rica,_T,,21.79102
2012,[World Bank] Proportion of population covered by labour market programs (%),Costa Rica,Q1,,16.03325
2014,[World Bank] Proportion of population covered by labour market programs (%),Costa Rica,_T,,23.09385
2014,[World Bank] Proportion of population covered by labour market programs (%),Costa Rica,Q1,,19.82315
2015,[World Bank] Proportion of population covered by labour market programs (%),Costa Rica,_T,,24.48749
2015,[World Bank] Proportion of population covered by labour market programs (%),Costa Rica,Q1,,20.64208
2016,[World Bank] Proportion of population covered by labour market programs (%),Costa Rica,_T,,25.34954
2015,[World Bank] Proportion of population covered by social assistance programs (%),Belarus,Q1,,60.86168
2016,[World Bank] Proportion of population covered by social assistance programs (%),Belarus,_T,,54.08126
2016,[World Bank] Proportion of population covered by social assistance programs (%),Belarus,Q1,,64.8575
2017,[World Bank] Proportion of population covered by social assistance programs (%),Belarus,_T,,53.52727
2017,[World Bank] Proportion of population covered by social assistance programs (%),Belarus,Q1,,61.79156
2018,[World Bank] Proportion of population covered by social assistance programs (%),Belarus,_T,,49.06598
2018,[World Bank] Proportion of population covered by social assistance programs (%),Belarus,Q1,,55.08405
2019,[World Bank] Proportion of population covered by social assistance programs (%),Belarus,_T,,47.07458
2016,[World Bank] Proportion of population covered by labour market programs (%),Costa Rica,Q1,,20.18356
2017,[World Bank] Proportion of population covered by labour market programs (%),Costa Rica,Q1,,22.9862
2017,[World Bank] Proportion of population covered by labour market programs (%),Costa Rica,_T,,26.08644
2018,[World Bank] Proportion of population covered by labour market programs (%),Costa Rica,_T,,21.87133
2018,[World Bank] Proportion of population covered by labour market programs (%),Costa Rica,Q1,,18.55113
2019,[World Bank] Proportion of population covered by labour market programs (%),Costa Rica,Q1,,19.84239
2019,[World Bank] Proportion of population covered by labour market programs (%),Costa Rica,_T,,21.69569
2008,[World Bank] Proportion of population covered by labour market programs (%),Croatia,_T,,4.09476
2020,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Montenegro,,MALE,22.0
2002,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Netherlands (Kingdom of the),,BOTHSEX,66.7
2005,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Netherlands (Kingdom of the),,BOTHSEX,69.3
2007,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Netherlands (Kingdom of the),,BOTHSEX,65.1
2009,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Netherlands (Kingdom of the),,BOTHSEX,60.1
2010,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Netherlands (Kingdom of the),,BOTHSEX,65.1
2011,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Netherlands (Kingdom of the),,BOTHSEX,64.8
2013,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Netherlands (Kingdom of the),,MALE,36.5
2013,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Netherlands (Kingdom of the),,FEMALE,58.7
2013,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Netherlands (Kingdom of the),,BOTHSEX,67.9
2019,[World Bank] Proportion of population covered by social assistance programs (%),Belarus,Q1,,61.23793
2006,[World Bank] Proportion of population covered by social assistance programs (%),Chile,Q1,,94.3654
2006,[World Bank] Proportion of population covered by social assistance programs (%),Chile,_T,,76.94376
2009,[World Bank] Proportion of population covered by social assistance programs (%),Chile,Q1,,93.3232
2009,[World Bank] Proportion of population covered by social assistance programs (%),Chile,_T,,77.89655
2011,[World Bank] Proportion of population covered by social assistance programs (%),Chile,Q1,,94.08615
2011,[World Bank] Proportion of population covered by social assistance programs (%),Chile,_T,,77.42603
2013,[World Bank] Proportion of population covered by social assistance programs (%),Chile,_T,,74.69486
2008,[World Bank] Proportion of population covered by labour market programs (%),Croatia,Q1,,4.7013
2010,[World Bank] Proportion of population covered by labour market programs (%),Croatia,Q1,,8.62459
2010,[World Bank] Proportion of population covered by labour market programs (%),Croatia,_T,,5.79397
2011,[World Bank] Proportion of population covered by labour market programs (%),Croatia,_T,,5.35082
2011,[World Bank] Proportion of population covered by labour market programs (%),Croatia,Q1,,6.8212
2014,[World Bank] Proportion of population covered by labour market programs (%),Croatia,_T,,5.11951
2014,[World Bank] Proportion of population covered by labour market programs (%),Croatia,Q1,,7.96386
2011,[World Bank] Proportion of population covered by labour market programs (%),Georgia,Q1,,0.06922
2014,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Netherlands (Kingdom of the),,FEMALE,61.9
2014,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Netherlands (Kingdom of the),,MALE,35.1
2014,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Netherlands (Kingdom of the),,BOTHSEX,67.2
2015,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Netherlands (Kingdom of the),,BOTHSEX,73.0
2020,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Netherlands (Kingdom of the),,MALE,100.0
2020,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Netherlands (Kingdom of the),,FEMALE,73.6
2020,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Netherlands (Kingdom of the),,BOTHSEX,74.8
2007,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",New Zealand,,BOTHSEX,28.0
2009,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",New Zealand,,BOTHSEX,35.8
2010,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",New Zealand,,BOTHSEX,41.8
2013,[World Bank] Proportion of population covered by social assistance programs (%),Chile,Q1,,92.95161
2015,[World Bank] Proportion of population covered by social assistance programs (%),Chile,Q1,,89.33721
2015,[World Bank] Proportion of population covered by social assistance programs (%),Chile,_T,,71.56242
2017,[World Bank] Proportion of population covered by social assistance programs (%),Chile,Q1,,95.87274
2017,[World Bank] Proportion of population covered by social assistance programs (%),Chile,_T,,82.60617
2013,[World Bank] Proportion of population covered by social assistance programs (%),China,_T,,43.81318
2013,[World Bank] Proportion of population covered by social assistance programs (%),China,Q1,,65.03974
2010,[World Bank] Proportion of population covered by social assistance programs (%),Colombia,Q1,,65.83488
2010,[World Bank] Proportion of population covered by social assistance programs (%),Colombia,_T,,44.79681
2011,[World Bank] Proportion of population covered by social assistance programs (%),Colombia,Q1,,63.33681
2011,[World Bank] Proportion of population covered by social assistance programs (%),Colombia,_T,,43.98663
2012,[World Bank] Proportion of population covered by social assistance programs (%),Colombia,_T,,41.7057
2012,[World Bank] Proportion of population covered by social assistance programs (%),Colombia,Q1,,61.08944
2014,[World Bank] Proportion of population covered by social assistance programs (%),Colombia,Q1,,81.35497
2014,[World Bank] Proportion of population covered by social assistance programs (%),Colombia,_T,,59.25074
2015,[World Bank] Proportion of population covered by social assistance programs (%),Colombia,Q1,,52.58138
2011,[World Bank] Proportion of population covered by labour market programs (%),Georgia,_T,,0.32554
2007,[World Bank] Proportion of population covered by labour market programs (%),Hungary,_T,,9.86803
2007,[World Bank] Proportion of population covered by labour market programs (%),Hungary,Q1,,20.65943
2004,[World Bank] Proportion of population covered by labour market programs (%),India,_T,,3.55752
2004,[World Bank] Proportion of population covered by labour market programs (%),India,Q1,,1.50049
2009,[World Bank] Proportion of population covered by labour market programs (%),India,_T,,4.43938
2009,[World Bank] Proportion of population covered by labour market programs (%),India,Q1,,1.96246
2014,[World Bank] Proportion of population covered by labour market programs (%),Казахстан,Q1,,22.62891
2011,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",New Zealand,,BOTHSEX,37.5
2014,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",New Zealand,,BOTHSEX,44.9
2020,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",New Zealand,,BOTHSEX,44.9
2006,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Norway,,BOTHSEX,58.1
2007,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Norway,,BOTHSEX,50.9
2009,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Norway,,BOTHSEX,74.6
2010,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Norway,,BOTHSEX,73.4
2011,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Norway,,BOTHSEX,69.5
2014,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Norway,,BOTHSEX,61.8
2020,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Norway,,BOTHSEX,58.2
2015,[World Bank] Proportion of population covered by social assistance programs (%),Colombia,_T,,26.35351
2016,[World Bank] Proportion of population covered by social assistance programs (%),Colombia,Q1,,49.47548
2016,[World Bank] Proportion of population covered by social assistance programs (%),Colombia,_T,,24.37731
2017,[World Bank] Proportion of population covered by social assistance programs (%),Colombia,_T,,23.58645
2017,[World Bank] Proportion of population covered by social assistance programs (%),Colombia,Q1,,48.09179
2018,[World Bank] Proportion of population covered by social assistance programs (%),Colombia,Q1,,45.72828
2018,[World Bank] Proportion of population covered by social assistance programs (%),Colombia,_T,,22.16488
2019,[World Bank] Proportion of population covered by social assistance programs (%),Colombia,_T,,21.23723
2014,[World Bank] Proportion of population covered by labour market programs (%),Казахстан,_T,,12.50519
2011,[World Bank] Proportion of population covered by labour market programs (%),Кыргызстан,Q1,,25.65016
2011,[World Bank] Proportion of population covered by labour market programs (%),Кыргызстан,_T,,23.89148
2012,[World Bank] Proportion of population covered by labour market programs (%),Кыргызстан,Q1,,17.35811
2012,[World Bank] Proportion of population covered by labour market programs (%),Кыргызстан,_T,,21.08072
2013,[World Bank] Proportion of population covered by labour market programs (%),Кыргызстан,_T,,25.79409
2013,[World Bank] Proportion of population covered by labour market programs (%),Кыргызстан,Q1,,25.32387
2008,[World Bank] Proportion of population covered by labour market programs (%),Latvia,Q1,,7.67277
2019,[World Bank] Proportion of population covered by social assistance programs (%),Colombia,Q1,,43.01952
2008,[World Bank] Proportion of population covered by social assistance programs (%),Costa Rica,Q1,,79.0496
2008,[World Bank] Proportion of population covered by social assistance programs (%),Costa Rica,_T,,54.25786
2009,[World Bank] Proportion of population covered by social assistance programs (%),Costa Rica,Q1,,74.90464
2009,[World Bank] Proportion of population covered by social assistance programs (%),Costa Rica,_T,,52.60413
2010,[World Bank] Proportion of population covered by social assistance programs (%),Costa Rica,_T,,48.80938
2010,[World Bank] Proportion of population covered by social assistance programs (%),Costa Rica,Q1,,77.10853
2011,[World Bank] Proportion of population covered by social assistance programs (%),Costa Rica,_T,,48.77952
2000,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Poland,,BOTHSEX,20.3
2005,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Poland,,BOTHSEX,13.5
2007,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Poland,,BOTHSEX,14.3
2009,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Poland,,BOTHSEX,20.1
2010,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Poland,,BOTHSEX,16.7
2011,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Poland,,BOTHSEX,16.5
2013,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Poland,,BOTHSEX,16.6
2013,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Poland,,MALE,17.2
2013,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Poland,,FEMALE,15.9
2014,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Poland,,FEMALE,16.2
2011,[World Bank] Proportion of population covered by social assistance programs (%),Costa Rica,Q1,,78.07735
2012,[World Bank] Proportion of population covered by social assistance programs (%),Costa Rica,_T,,47.46083
2012,[World Bank] Proportion of population covered by social assistance programs (%),Costa Rica,Q1,,75.03419
2014,[World Bank] Proportion of population covered by social assistance programs (%),Costa Rica,Q1,,77.71158
2014,[World Bank] Proportion of population covered by social assistance programs (%),Costa Rica,_T,,45.85029
2015,[World Bank] Proportion of population covered by social assistance programs (%),Costa Rica,Q1,,81.25194
2015,[World Bank] Proportion of population covered by social assistance programs (%),Costa Rica,_T,,52.70248
2016,[World Bank] Proportion of population covered by social assistance programs (%),Costa Rica,_T,,54.18097
2016,[World Bank] Proportion of population covered by social assistance programs (%),Costa Rica,Q1,,82.3031
2017,[World Bank] Proportion of population covered by social assistance programs (%),Costa Rica,Q1,,83.59783
2017,[World Bank] Proportion of population covered by social assistance programs (%),Costa Rica,_T,,54.69645
2018,[World Bank] Proportion of population covered by social assistance programs (%),Costa Rica,Q1,,85.76971
2018,[World Bank] Proportion of population covered by social assistance programs (%),Costa Rica,_T,,54.85427
2019,[World Bank] Proportion of population covered by social assistance programs (%),Costa Rica,Q1,,84.82443
2019,[World Bank] Proportion of population covered by social assistance programs (%),Costa Rica,_T,,54.17979
2008,[World Bank] Proportion of population covered by social assistance programs (%),Croatia,Q1,,46.32311
2008,[World Bank] Proportion of population covered by labour market programs (%),Latvia,_T,,7.69174
2009,[World Bank] Proportion of population covered by labour market programs (%),Latvia,_T,,9.84013
2009,[World Bank] Proportion of population covered by labour market programs (%),Latvia,Q1,,14.00812
2008,[World Bank] Proportion of population covered by labour market programs (%),Lithuania,Q1,,2.8735
2008,[World Bank] Proportion of population covered by labour market programs (%),Lithuania,_T,,2.22928
2010,[World Bank] Proportion of population covered by labour market programs (%),Republic of Moldova,Q1,,4.73696
2010,[World Bank] Proportion of population covered by labour market programs (%),Republic of Moldova,_T,,2.49661
2012,[World Bank] Proportion of population covered by labour market programs (%),Republic of Moldova,_T,,1.54528
2014,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Poland,,MALE,14.8
2014,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Poland,,BOTHSEX,15.5
2020,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Poland,,BOTHSEX,16.5
2020,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Poland,,FEMALE,19.9
2020,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Poland,,MALE,13.7
2003,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Portugal,,BOTHSEX,64.6
2005,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Portugal,,BOTHSEX,67.3
2007,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Portugal,,BOTHSEX,60.8
2009,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Portugal,,BOTHSEX,61.9
2010,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Portugal,,BOTHSEX,57.2
2012,[World Bank] Proportion of population covered by labour market programs (%),Republic of Moldova,Q1,,3.12991
2013,[World Bank] Proportion of population covered by labour market programs (%),Republic of Moldova,Q1,,2.1085
2013,[World Bank] Proportion of population covered by labour market programs (%),Republic of Moldova,_T,,0.91597
2018,[World Bank] Proportion of population covered by labour market programs (%),Republic of Moldova,Q1,,4.53158
2018,[World Bank] Proportion of population covered by labour market programs (%),Republic of Moldova,_T,,1.72003
2011,[World Bank] Proportion of population covered by labour market programs (%),Montenegro,Q1,,3.58474
2011,[World Bank] Proportion of population covered by labour market programs (%),Montenegro,_T,,3.96
2012,[World Bank] Proportion of population covered by labour market programs (%),Montenegro,_T,,3.54356
2011,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Portugal,,BOTHSEX,41.9
2013,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Portugal,,BOTHSEX,46.4
2013,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Portugal,,FEMALE,44.7
2013,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Portugal,,MALE,48.0
2014,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Portugal,,FEMALE,44.5
2014,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Portugal,,MALE,48.8
2014,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Portugal,,BOTHSEX,46.6
2020,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Portugal,,BOTHSEX,40.2
2001,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Romania,,BOTHSEX,45.2
2005,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Romania,,BOTHSEX,38.0
2008,[World Bank] Proportion of population covered by social assistance programs (%),Croatia,_T,,23.31134
2010,[World Bank] Proportion of population covered by social assistance programs (%),Croatia,Q1,,47.88995
2010,[World Bank] Proportion of population covered by social assistance programs (%),Croatia,_T,,24.56946
2011,[World Bank] Proportion of population covered by social assistance programs (%),Croatia,Q1,,44.72124
2011,[World Bank] Proportion of population covered by social assistance programs (%),Croatia,_T,,20.54094
2014,[World Bank] Proportion of population covered by social assistance programs (%),Croatia,Q1,,58.88799
2014,[World Bank] Proportion of population covered by social assistance programs (%),Croatia,_T,,27.49872
2011,[World Bank] Proportion of population covered by social assistance programs (%),Georgia,_T,,64.63778
2007,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Romania,,BOTHSEX,33.2
2009,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Romania,,BOTHSEX,52.3
2010,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Romania,,BOTHSEX,55.4
2011,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Romania,,BOTHSEX,26.8
2013,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Romania,,BOTHSEX,26.3
2013,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Romania,,MALE,19.0
2013,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Romania,,FEMALE,37.8
2014,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Romania,,BOTHSEX,22.7
2014,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Romania,,MALE,16.9
2014,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Romania,,FEMALE,31.7
2012,[World Bank] Proportion of population covered by labour market programs (%),Montenegro,Q1,,7.14999
2013,[World Bank] Proportion of population covered by labour market programs (%),Montenegro,Q1,,4.923
2013,[World Bank] Proportion of population covered by labour market programs (%),Montenegro,_T,,2.19372
2014,[World Bank] Proportion of population covered by labour market programs (%),Montenegro,_T,,3.61241
2014,[World Bank] Proportion of population covered by labour market programs (%),Montenegro,Q1,,2.46184
2005,[World Bank] Proportion of population covered by labour market programs (%),Poland,Q1,,47.56495
2005,[World Bank] Proportion of population covered by labour market programs (%),Poland,_T,,24.52726
2006,[World Bank] Proportion of population covered by labour market programs (%),Poland,_T,,21.01191
2011,[World Bank] Proportion of population covered by social assistance programs (%),Georgia,Q1,,77.7593
2016,[World Bank] Proportion of population covered by social assistance programs (%),Georgia,_T,,64.26904
2016,[World Bank] Proportion of population covered by social assistance programs (%),Georgia,Q1,,70.59166
2018,[World Bank] Proportion of population covered by social assistance programs (%),Georgia,Q1,,75.75434
2018,[World Bank] Proportion of population covered by social assistance programs (%),Georgia,_T,,63.5544
2007,[World Bank] Proportion of population covered by social assistance programs (%),Hungary,Q1,,81.3064
2007,[World Bank] Proportion of population covered by social assistance programs (%),Hungary,_T,,59.53975
2004,[World Bank] Proportion of population covered by social assistance programs (%),India,_T,,24.0323
2006,[World Bank] Proportion of population covered by labour market programs (%),Poland,Q1,,42.27876
2007,[World Bank] Proportion of population covered by labour market programs (%),Poland,_T,,16.11297
2007,[World Bank] Proportion of population covered by labour market programs (%),Poland,Q1,,31.78217
2008,[World Bank] Proportion of population covered by labour market programs (%),Poland,_T,,12.46534
2008,[World Bank] Proportion of population covered by labour market programs (%),Poland,Q1,,24.77924
2009,[World Bank] Proportion of population covered by labour market programs (%),Poland,Q1,,27.50686
2009,[World Bank] Proportion of population covered by labour market programs (%),Poland,_T,,14.15517
2010,[World Bank] Proportion of population covered by labour market programs (%),Poland,_T,,3.47952
2020,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Romania,,BOTHSEX,15.8
2020,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Romania,,FEMALE,21.1
2020,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Romania,,MALE,12.8
2000,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Serbia,,BOTHSEX,11.1
2005,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Serbia,,BOTHSEX,10.4
2007,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Serbia,,BOTHSEX,7.7
2009,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Serbia,,BOTHSEX,11.6
2010,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Serbia,,BOTHSEX,10.2
2011,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Serbia,,BOTHSEX,8.5
2012,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Serbia,,BOTHSEX,8.8
2010,[World Bank] Proportion of population covered by labour market programs (%),Poland,Q1,,5.86095
2011,[World Bank] Proportion of population covered by labour market programs (%),Poland,_T,,2.58855
2011,[World Bank] Proportion of population covered by labour market programs (%),Poland,Q1,,4.05343
2012,[World Bank] Proportion of population covered by labour market programs (%),Poland,Q1,,4.33946
2012,[World Bank] Proportion of population covered by labour market programs (%),Poland,_T,,2.76575
2015,[World Bank] Proportion of population covered by labour market programs (%),Poland,_T,,1.79158
2015,[World Bank] Proportion of population covered by labour market programs (%),Poland,Q1,,2.78051
2008,[World Bank] Proportion of population covered by labour market programs (%),Romania,_T,,1.51533
2004,[World Bank] Proportion of population covered by social assistance programs (%),India,Q1,,29.06916
2009,[World Bank] Proportion of population covered by social assistance programs (%),India,Q1,,20.7544
