Year,SeriesCode,Страна ,Sex,Type of occupation,Value
2014,SH_MED_HWRKDIS,Japan,FEMALE,NURS,94.7
2016,SH_MED_HWRKDIS,Japan,MALE,NURS,7.1
2016,SH_MED_HWRKDIS,Japan,FEMALE,NURS,92.9
2018,SH_MED_HWRKDIS,Japan,FEMALE,NURS,92.5
2018,SH_MED_HWRKDIS,Japan,MALE,NURS,7.5
2000,SH_MED_HWRKDIS,Кыргызстан,MALE,PHYS,37.2
2000,SH_MED_HWRKDIS,Кыргызстан,FEMALE,PHYS,62.8
2001,SH_MED_HWRKDIS,Кыргызстан,MALE,PHYS,36.7
2001,SH_MED_HWRKDIS,Кыргызстан,FEMALE,PHYS,63.3
2002,SH_MED_HWRKDIS,Кыргызстан,FEMALE,PHYS,63.9
2002,SH_MED_HWRKDIS,Кыргызстан,MALE,PHYS,36.1
2003,SH_MED_HWRKDIS,Кыргызстан,MALE,PHYS,35.6
2003,SH_MED_HWRKDIS,Кыргызстан,FEMALE,PHYS,64.4
2004,SH_MED_HWRKDIS,Кыргызстан,FEMALE,PHYS,64.0
2004,SH_MED_HWRKDIS,Кыргызстан,MALE,PHYS,36.0
2005,SH_MED_HWRKDIS,Кыргызстан,MALE,PHYS,35.7
2005,SH_MED_HWRKDIS,Кыргызстан,FEMALE,PHYS,64.3
2006,SH_MED_HWRKDIS,Кыргызстан,FEMALE,PHYS,64.3
2006,SH_MED_HWRKDIS,Кыргызстан,MALE,PHYS,35.7
2007,SH_MED_HWRKDIS,Кыргызстан,MALE,PHYS,35.9
2007,SH_MED_HWRKDIS,Кыргызстан,FEMALE,PHYS,64.1
2008,SH_MED_HWRKDIS,Кыргызстан,MALE,PHYS,35.9
2008,SH_MED_HWRKDIS,Кыргызстан,FEMALE,PHYS,64.1
2009,SH_MED_HWRKDIS,Кыргызстан,FEMALE,PHYS,64.3
2009,SH_MED_HWRKDIS,Кыргызстан,MALE,PHYS,35.7
2010,SH_MED_HWRKDIS,Кыргызстан,FEMALE,PHYS,64.2
2010,SH_MED_HWRKDIS,Кыргызстан,MALE,PHYS,35.8
2011,SH_MED_HWRKDIS,Кыргызстан,MALE,PHYS,34.7
2011,SH_MED_HWRKDIS,Кыргызстан,FEMALE,PHYS,65.3
2012,SH_MED_HWRKDIS,Кыргызстан,FEMALE,PHYS,65.1
2012,SH_MED_HWRKDIS,Кыргызстан,MALE,PHYS,34.9
2013,SH_MED_HWRKDIS,Кыргызстан,FEMALE,PHYS,64.5
2013,SH_MED_HWRKDIS,Кыргызстан,MALE,PHYS,35.5
2016,SH_MED_HWRKDIS,Latvia,MALE,NURS,0.0
2016,SH_MED_HWRKDIS,Latvia,FEMALE,NURS,100.0
2018,SH_MED_HWRKDIS,Latvia,MALE,NURS,0.4
2018,SH_MED_HWRKDIS,Latvia,FEMALE,NURS,99.6
2016,SH_MED_HWRKDIS,Lithuania,MALE,NURS,0.2
2016,SH_MED_HWRKDIS,Lithuania,FEMALE,NURS,99.8
2016,SH_MED_HWRKDIS,Luxembourg,MALE,NURS,28.5
2016,SH_MED_HWRKDIS,Luxembourg,FEMALE,NURS,71.5
2002,SH_MED_HWRKDIS,Malta,FEMALE,PHYS,21.7
2002,SH_MED_HWRKDIS,Malta,MALE,PHYS,78.3
2003,SH_MED_HWRKDIS,Malta,MALE,PHYS,78.4
2003,SH_MED_HWRKDIS,Malta,FEMALE,PHYS,21.6
2008,SH_MED_HWRKDIS,Malta,MALE,PHYS,71.7
2008,SH_MED_HWRKDIS,Malta,FEMALE,PHYS,28.3
2009,SH_MED_HWRKDIS,Malta,FEMALE,PHYS,32.5
2009,SH_MED_HWRKDIS,Malta,MALE,PHYS,67.5
2010,SH_MED_HWRKDIS,Malta,MALE,PHYS,64.6
2010,SH_MED_HWRKDIS,Malta,FEMALE,PHYS,35.4
2011,SH_MED_HWRKDIS,Malta,MALE,PHYS,63.4
2011,SH_MED_HWRKDIS,Malta,FEMALE,PHYS,36.6
2012,SH_MED_HWRKDIS,Malta,FEMALE,PHYS,36.5
2012,SH_MED_HWRKDIS,Malta,MALE,PHYS,63.5
2013,SH_MED_HWRKDIS,Malta,MALE,PHYS,62.5
2013,SH_MED_HWRKDIS,Malta,FEMALE,PHYS,37.5
2014,SH_MED_HWRKDIS,Malta,MALE,PHYS,61.4
2014,SH_MED_HWRKDIS,Malta,FEMALE,PHYS,38.6
2015,SH_MED_HWRKDIS,Malta,MALE,PHYS,60.0
2015,SH_MED_HWRKDIS,Malta,FEMALE,PHYS,40.0
2010,SH_MED_HWRKDIS,Mexico,FEMALE,NURS,89.4
2010,SH_MED_HWRKDIS,Mexico,FEMALE,PHYS,37.2
2010,SH_MED_HWRKDIS,Mexico,MALE,PHYS,62.8
2010,SH_MED_HWRKDIS,Mexico,MALE,NURS,10.6
2014,SH_MED_HWRKDIS,Mexico,FEMALE,NURS,88.2
2014,SH_MED_HWRKDIS,Mexico,MALE,NURS,11.8
2015,SH_MED_HWRKDIS,Mexico,MALE,NURS,12.3
2015,SH_MED_HWRKDIS,Mexico,FEMALE,NURS,87.7
2016,SH_MED_HWRKDIS,Mexico,MALE,NURS,13.2
2016,SH_MED_HWRKDIS,Mexico,FEMALE,NURS,86.8
2017,SH_MED_HWRKDIS,Mexico,MALE,NURS,13.8
2017,SH_MED_HWRKDIS,Mexico,FEMALE,NURS,86.2
2018,SH_MED_HWRKDIS,Mexico,FEMALE,NURS,85.5
2018,SH_MED_HWRKDIS,Mexico,MALE,NURS,14.5
2019,SH_MED_HWRKDIS,Mexico,MALE,NURS,15.1
2019,SH_MED_HWRKDIS,Mexico,FEMALE,NURS,84.9
2000,SH_MED_HWRKDIS,Montenegro,MALE,PHYS,43.6
2000,SH_MED_HWRKDIS,Montenegro,FEMALE,PHYS,56.4
2001,SH_MED_HWRKDIS,Montenegro,FEMALE,PHYS,56.6
2001,SH_MED_HWRKDIS,Montenegro,MALE,PHYS,43.4
2002,SH_MED_HWRKDIS,Montenegro,FEMALE,PHYS,57.6
2002,SH_MED_HWRKDIS,Montenegro,MALE,PHYS,42.4
2003,SH_MED_HWRKDIS,Montenegro,FEMALE,PHYS,58.7
2003,SH_MED_HWRKDIS,Montenegro,MALE,PHYS,41.3
2004,SH_MED_HWRKDIS,Montenegro,MALE,PHYS,41.4
2004,SH_MED_HWRKDIS,Montenegro,FEMALE,PHYS,58.6
2005,SH_MED_HWRKDIS,Montenegro,FEMALE,PHYS,57.9
2005,SH_MED_HWRKDIS,Montenegro,MALE,PHYS,42.1
2006,SH_MED_HWRKDIS,Montenegro,MALE,PHYS,41.6
2006,SH_MED_HWRKDIS,Montenegro,FEMALE,PHYS,58.4
2007,SH_MED_HWRKDIS,Montenegro,MALE,PHYS,40.6
2007,SH_MED_HWRKDIS,Montenegro,FEMALE,PHYS,59.4
2008,SH_MED_HWRKDIS,Montenegro,MALE,PHYS,40.2
2008,SH_MED_HWRKDIS,Montenegro,FEMALE,PHYS,59.8
2009,SH_MED_HWRKDIS,Montenegro,FEMALE,PHYS,60.7
2009,SH_MED_HWRKDIS,Montenegro,MALE,PHYS,39.3
2010,SH_MED_HWRKDIS,Montenegro,FEMALE,PHYS,61.6
2010,SH_MED_HWRKDIS,Montenegro,MALE,PHYS,38.4
2011,SH_MED_HWRKDIS,Montenegro,FEMALE,PHYS,61.9
2011,SH_MED_HWRKDIS,Montenegro,MALE,PHYS,38.1
2012,SH_MED_HWRKDIS,Montenegro,FEMALE,PHYS,61.8
2012,SH_MED_HWRKDIS,Montenegro,MALE,PHYS,38.2
2013,SH_MED_HWRKDIS,Montenegro,MALE,PHYS,38.1
2013,SH_MED_HWRKDIS,Montenegro,FEMALE,PHYS,61.9
2014,SH_MED_HWRKDIS,Montenegro,MALE,PHYS,38.0
2014,SH_MED_HWRKDIS,Montenegro,FEMALE,PHYS,62.0
2015,SH_MED_HWRKDIS,Montenegro,FEMALE,PHYS,63.3
2015,SH_MED_HWRKDIS,Montenegro,MALE,PHYS,36.7
2018,SH_MED_HWRKDIS,Montenegro,FEMALE,NURS,85.0
2018,SH_MED_HWRKDIS,Montenegro,MALE,NURS,15.0
2018,SH_MED_HWRKDIS,Montenegro,FEMALE,PHYS,64.2
2018,SH_MED_HWRKDIS,Montenegro,MALE,PHYS,35.8
2019,SH_MED_HWRKDIS,Montenegro,FEMALE,NURS,84.3
2019,SH_MED_HWRKDIS,Montenegro,MALE,NURS,15.7
2019,SH_MED_HWRKDIS,Montenegro,FEMALE,PHYS,64.1
2019,SH_MED_HWRKDIS,Montenegro,MALE,PHYS,35.9
2020,SH_MED_HWRKDIS,Montenegro,MALE,NURS,16.3
2020,SH_MED_HWRKDIS,Montenegro,FEMALE,NURS,83.7
2020,SH_MED_HWRKDIS,Montenegro,MALE,PHYS,36.4
2020,SH_MED_HWRKDIS,Montenegro,FEMALE,PHYS,63.6
2021,SH_MED_HWRKDIS,Montenegro,FEMALE,NURS,83.2
2021,SH_MED_HWRKDIS,Montenegro,MALE,PHYS,38.4
2021,SH_MED_HWRKDIS,Montenegro,FEMALE,PHYS,61.6
2021,SH_MED_HWRKDIS,Montenegro,MALE,NURS,16.8
2016,SH_MED_HWRKDIS,Netherlands (Kingdom of the),FEMALE,NURS,84.6
2016,SH_MED_HWRKDIS,Netherlands (Kingdom of the),MALE,NURS,15.4
2013,SH_MED_HWRKDIS,New Zealand,FEMALE,NURS,92.1
2013,SH_MED_HWRKDIS,New Zealand,MALE,NURS,7.9
2014,SH_MED_HWRKDIS,New Zealand,FEMALE,NURS,91.8
2014,SH_MED_HWRKDIS,New Zealand,MALE,NURS,8.2
2015,SH_MED_HWRKDIS,New Zealand,MALE,NURS,8.6
2015,SH_MED_HWRKDIS,New Zealand,FEMALE,NURS,91.4
2016,SH_MED_HWRKDIS,New Zealand,FEMALE,NURS,91.2
2016,SH_MED_HWRKDIS,New Zealand,MALE,NURS,8.8
2017,SH_MED_HWRKDIS,New Zealand,FEMALE,NURS,90.9
2017,SH_MED_HWRKDIS,New Zealand,MALE,NURS,9.1
2018,SH_MED_HWRKDIS,New Zealand,FEMALE,NURS,90.7
2018,SH_MED_HWRKDIS,New Zealand,MALE,NURS,9.3
2016,SH_MED_HWRKDIS,Norway,FEMALE,NURS,89.1
2016,SH_MED_HWRKDIS,Norway,MALE,NURS,10.9
2018,SH_MED_HWRKDIS,Norway,MALE,PHYS,50.1
2018,SH_MED_HWRKDIS,Norway,FEMALE,PHYS,49.9
2018,SH_MED_HWRKDIS,Poland,MALE,NURS,2.3
2018,SH_MED_HWRKDIS,Poland,FEMALE,NURS,97.7
2011,SH_MED_HWRKDIS,Portugal,FEMALE,NURS,82.1
2011,SH_MED_HWRKDIS,Portugal,MALE,NURS,17.9
2016,SH_MED_HWRKDIS,Portugal,MALE,NURS,22.1
2016,SH_MED_HWRKDIS,Portugal,FEMALE,NURS,77.9
2004,SH_MED_HWRKDIS,Romania,FEMALE,PHYS,66.7
2004,SH_MED_HWRKDIS,Romania,MALE,PHYS,33.3
2005,SH_MED_HWRKDIS,Romania,MALE,PHYS,31.3
2005,SH_MED_HWRKDIS,Romania,FEMALE,PHYS,68.7
2006,SH_MED_HWRKDIS,Romania,FEMALE,PHYS,67.7
2006,SH_MED_HWRKDIS,Romania,MALE,PHYS,32.3
2007,SH_MED_HWRKDIS,Romania,FEMALE,PHYS,69.1
2007,SH_MED_HWRKDIS,Romania,MALE,PHYS,30.9
2008,SH_MED_HWRKDIS,Romania,FEMALE,PHYS,69.4
2008,SH_MED_HWRKDIS,Romania,MALE,PHYS,30.6
2009,SH_MED_HWRKDIS,Romania,MALE,PHYS,30.6
2009,SH_MED_HWRKDIS,Romania,FEMALE,PHYS,69.4
2010,SH_MED_HWRKDIS,Romania,MALE,PHYS,30.9
2010,SH_MED_HWRKDIS,Romania,FEMALE,PHYS,69.1
2011,SH_MED_HWRKDIS,Romania,MALE,NURS,8.6
2011,SH_MED_HWRKDIS,Romania,FEMALE,PHYS,69.1
2011,SH_MED_HWRKDIS,Romania,MALE,PHYS,30.9
2011,SH_MED_HWRKDIS,Romania,FEMALE,NURS,91.4
2012,SH_MED_HWRKDIS,Romania,MALE,PHYS,31.3
2012,SH_MED_HWRKDIS,Romania,FEMALE,PHYS,68.7
2013,SH_MED_HWRKDIS,Romania,FEMALE,PHYS,68.8
2013,SH_MED_HWRKDIS,Romania,MALE,PHYS,31.2
2016,SH_MED_HWRKDIS,Romania,FEMALE,PHYS,66.9
2016,SH_MED_HWRKDIS,Romania,MALE,PHYS,33.1
2016,SH_MED_HWRKDIS,Romania,MALE,NURS,10.6
2016,SH_MED_HWRKDIS,Romania,FEMALE,NURS,89.4
2003,SH_MED_HWRKDIS,Serbia,FEMALE,PHYS,61.9
2003,SH_MED_HWRKDIS,Serbia,MALE,PHYS,38.1
2004,SH_MED_HWRKDIS,Serbia,MALE,PHYS,37.0
2004,SH_MED_HWRKDIS,Serbia,FEMALE,PHYS,63.0
2005,SH_MED_HWRKDIS,Serbia,MALE,PHYS,36.5
2005,SH_MED_HWRKDIS,Serbia,FEMALE,PHYS,63.5
2006,SH_MED_HWRKDIS,Serbia,MALE,PHYS,36.3
2006,SH_MED_HWRKDIS,Serbia,FEMALE,PHYS,63.7
2007,SH_MED_HWRKDIS,Serbia,FEMALE,PHYS,63.8
2007,SH_MED_HWRKDIS,Serbia,MALE,PHYS,36.2
2008,SH_MED_HWRKDIS,Serbia,MALE,PHYS,36.0
2008,SH_MED_HWRKDIS,Serbia,FEMALE,PHYS,64.0
2009,SH_MED_HWRKDIS,Serbia,FEMALE,PHYS,64.1
2009,SH_MED_HWRKDIS,Serbia,MALE,PHYS,35.9
2010,SH_MED_HWRKDIS,Serbia,MALE,PHYS,35.8
2010,SH_MED_HWRKDIS,Serbia,FEMALE,PHYS,64.2
2011,SH_MED_HWRKDIS,Serbia,MALE,PHYS,35.5
2011,SH_MED_HWRKDIS,Serbia,FEMALE,PHYS,64.5
2012,SH_MED_HWRKDIS,Serbia,MALE,PHYS,35.4
2012,SH_MED_HWRKDIS,Serbia,FEMALE,PHYS,64.6
2013,SH_MED_HWRKDIS,Serbia,FEMALE,PHYS,64.8
2013,SH_MED_HWRKDIS,Serbia,MALE,PHYS,35.2
2014,SH_MED_HWRKDIS,Serbia,FEMALE,PHYS,64.9
2014,SH_MED_HWRKDIS,Serbia,MALE,PHYS,35.1
2015,SH_MED_HWRKDIS,Serbia,MALE,PHYS,34.8
2015,SH_MED_HWRKDIS,Serbia,FEMALE,PHYS,65.2
2016,SH_MED_HWRKDIS,Serbia,FEMALE,PHYS,65.8
2016,SH_MED_HWRKDIS,Serbia,MALE,PHYS,34.2
2016,SH_MED_HWRKDIS,Slovakia,FEMALE,NURS,85.3
2016,SH_MED_HWRKDIS,Slovakia,MALE,NURS,14.7
2009,SH_MED_HWRKDIS,Viet Nam,MALE,NURS,23.3
2009,SH_MED_HWRKDIS,Viet Nam,FEMALE,NURS,76.7
2018,SH_MED_HWRKDIS,Slovenia,FEMALE,NURS,85.4
2018,SH_MED_HWRKDIS,Slovenia,MALE,NURS,14.6
2016,SH_MED_HWRKDIS,Spain,FEMALE,NURS,83.6
2016,SH_MED_HWRKDIS,Spain,MALE,NURS,16.4
2016,SH_MED_HWRKDIS,Sweden,MALE,NURS,11.5
2016,SH_MED_HWRKDIS,Sweden,FEMALE,NURS,88.5
2017,SH_MED_HWRKDIS,Sweden,MALE,NURS,11.6
2017,SH_MED_HWRKDIS,Sweden,FEMALE,NURS,88.4
2016,SH_MED_HWRKDIS,Switzerland,MALE,NURS,1.4
2016,SH_MED_HWRKDIS,Switzerland,FEMALE,NURS,98.6
2014,SH_MED_HWRKDIS,Таджикистан,MALE,PHYS,60.8
2014,SH_MED_HWRKDIS,Таджикистан,FEMALE,PHYS,39.2
2018,SH_MED_HWRKDIS,Таджикистан,MALE,NURS,16.0
2018,SH_MED_HWRKDIS,Таджикистан,FEMALE,NURS,84.0
2016,SH_MED_HWRKDIS,United Arab Emirates,MALE,NURS,19.5
2016,SH_MED_HWRKDIS,United Arab Emirates,FEMALE,NURS,80.5
2016,SH_MED_HWRKDIS,United Arab Emirates,FEMALE,PHYS,40.0
2016,SH_MED_HWRKDIS,United Arab Emirates,MALE,PHYS,60.0
2017,SH_MED_HWRKDIS,United Arab Emirates,MALE,NURS,19.3
2017,SH_MED_HWRKDIS,United Arab Emirates,MALE,PHYS,59.5
2017,SH_MED_HWRKDIS,United Arab Emirates,FEMALE,PHYS,40.5
2017,SH_MED_HWRKDIS,United Arab Emirates,FEMALE,NURS,80.7
2018,SH_MED_HWRKDIS,United Arab Emirates,FEMALE,PHYS,41.3
2018,SH_MED_HWRKDIS,United Arab Emirates,MALE,PHYS,58.7
2018,SH_MED_HWRKDIS,United Arab Emirates,FEMALE,NURS,81.1
2018,SH_MED_HWRKDIS,United Arab Emirates,MALE,NURS,18.9
2019,SH_MED_HWRKDIS,United Arab Emirates,FEMALE,NURS,81.5
2019,SH_MED_HWRKDIS,United Arab Emirates,MALE,NURS,18.5
2019,SH_MED_HWRKDIS,United Arab Emirates,MALE,PHYS,58.3
2019,SH_MED_HWRKDIS,United Arab Emirates,FEMALE,PHYS,41.7
2020,SH_MED_HWRKDIS,United Arab Emirates,MALE,NURS,20.6
2020,SH_MED_HWRKDIS,United Arab Emirates,FEMALE,NURS,79.4
2020,SH_MED_HWRKDIS,United Arab Emirates,FEMALE,PHYS,42.9
2020,SH_MED_HWRKDIS,United Arab Emirates,MALE,PHYS,57.1
2017,SH_MED_HWRKDIS,Türkiye,MALE,NURS,15.6
2017,SH_MED_HWRKDIS,Türkiye,FEMALE,NURS,84.4
2018,SH_MED_HWRKDIS,Türkiye,FEMALE,NURS,85.2
2018,SH_MED_HWRKDIS,Türkiye,MALE,NURS,14.8
2018,SH_MED_HWRKDIS,Türkiye,MALE,PHYS,64.2
2018,SH_MED_HWRKDIS,Türkiye,FEMALE,PHYS,35.8
2019,SH_MED_HWRKDIS,Türkiye,FEMALE,PHYS,38.3
2019,SH_MED_HWRKDIS,Türkiye,MALE,PHYS,61.7
2019,SH_MED_HWRKDIS,Türkiye,MALE,NURS,15.7
2019,SH_MED_HWRKDIS,Türkiye,FEMALE,NURS,84.3
2008,SH_MED_HWRKDIS,Туркменистан,MALE,PHYS,43.8
2008,SH_MED_HWRKDIS,Туркменистан,FEMALE,PHYS,56.2
2009,SH_MED_HWRKDIS,Туркменистан,FEMALE,PHYS,56.4
2009,SH_MED_HWRKDIS,Туркменистан,MALE,PHYS,43.6
2010,SH_MED_HWRKDIS,Туркменистан,MALE,PHYS,43.8
2010,SH_MED_HWRKDIS,Туркменистан,FEMALE,PHYS,56.2
2011,SH_MED_HWRKDIS,Туркменистан,MALE,PHYS,43.5
2011,SH_MED_HWRKDIS,Туркменистан,FEMALE,PHYS,56.5
2012,SH_MED_HWRKDIS,Туркменистан,MALE,PHYS,43.7
2012,SH_MED_HWRKDIS,Туркменистан,FEMALE,PHYS,56.3
2013,SH_MED_HWRKDIS,Туркменистан,MALE,PHYS,42.3
2013,SH_MED_HWRKDIS,Туркменистан,FEMALE,PHYS,57.7
2014,SH_MED_HWRKDIS,Туркменистан,FEMALE,PHYS,57.3
2014,SH_MED_HWRKDIS,Туркменистан,MALE,PHYS,42.7
2000,SH_MED_HWRKDIS,Ukraine,FEMALE,PHYS,61.0
2000,SH_MED_HWRKDIS,Ukraine,MALE,PHYS,39.0
2001,SH_MED_HWRKDIS,Ukraine,MALE,PHYS,39.2
2001,SH_MED_HWRKDIS,Ukraine,FEMALE,PHYS,60.8
2002,SH_MED_HWRKDIS,Ukraine,FEMALE,PHYS,60.8
2002,SH_MED_HWRKDIS,Ukraine,MALE,PHYS,39.2
2003,SH_MED_HWRKDIS,Ukraine,FEMALE,PHYS,61.1
2003,SH_MED_HWRKDIS,Ukraine,MALE,PHYS,38.9
2004,SH_MED_HWRKDIS,Ukraine,FEMALE,PHYS,60.9
2004,SH_MED_HWRKDIS,Ukraine,MALE,PHYS,39.1
2005,SH_MED_HWRKDIS,Ukraine,MALE,PHYS,39.0
2005,SH_MED_HWRKDIS,Ukraine,FEMALE,PHYS,61.0
2006,SH_MED_HWRKDIS,Ukraine,MALE,PHYS,38.9
2006,SH_MED_HWRKDIS,Ukraine,FEMALE,PHYS,61.1
2007,SH_MED_HWRKDIS,Ukraine,MALE,PHYS,38.9
2007,SH_MED_HWRKDIS,Ukraine,FEMALE,PHYS,61.1
2008,SH_MED_HWRKDIS,Ukraine,FEMALE,PHYS,60.6
2008,SH_MED_HWRKDIS,Ukraine,MALE,PHYS,39.4
2009,SH_MED_HWRKDIS,Ukraine,FEMALE,PHYS,60.4
2009,SH_MED_HWRKDIS,Ukraine,MALE,PHYS,39.6
2010,SH_MED_HWRKDIS,Ukraine,MALE,PHYS,39.4
2010,SH_MED_HWRKDIS,Ukraine,FEMALE,PHYS,60.6
2011,SH_MED_HWRKDIS,Ukraine,MALE,PHYS,39.2
2011,SH_MED_HWRKDIS,Ukraine,FEMALE,PHYS,60.8
2012,SH_MED_HWRKDIS,Ukraine,MALE,PHYS,39.1
2012,SH_MED_HWRKDIS,Ukraine,FEMALE,PHYS,60.9
2013,SH_MED_HWRKDIS,Ukraine,FEMALE,PHYS,61.3
2013,SH_MED_HWRKDIS,Ukraine,MALE,PHYS,38.7
2014,SH_MED_HWRKDIS,Ukraine,FEMALE,PHYS,61.1
2014,SH_MED_HWRKDIS,Ukraine,MALE,PHYS,38.9
2000,SH_MED_HWRKDIS,North Macedonia,FEMALE,PHYS,56.1
2000,SH_MED_HWRKDIS,North Macedonia,MALE,PHYS,43.9
2001,SH_MED_HWRKDIS,North Macedonia,MALE,PHYS,42.5
2001,SH_MED_HWRKDIS,North Macedonia,FEMALE,PHYS,57.5
2002,SH_MED_HWRKDIS,North Macedonia,MALE,PHYS,41.7
2002,SH_MED_HWRKDIS,North Macedonia,FEMALE,PHYS,58.3
2003,SH_MED_HWRKDIS,North Macedonia,FEMALE,PHYS,58.6
2003,SH_MED_HWRKDIS,North Macedonia,MALE,PHYS,41.4
2004,SH_MED_HWRKDIS,North Macedonia,MALE,PHYS,41.6
2004,SH_MED_HWRKDIS,North Macedonia,FEMALE,PHYS,58.4
2005,SH_MED_HWRKDIS,North Macedonia,FEMALE,PHYS,58.4
2005,SH_MED_HWRKDIS,North Macedonia,MALE,PHYS,41.6
2006,SH_MED_HWRKDIS,North Macedonia,MALE,PHYS,52.0
2006,SH_MED_HWRKDIS,North Macedonia,FEMALE,PHYS,48.0
2007,SH_MED_HWRKDIS,North Macedonia,FEMALE,PHYS,59.5
2007,SH_MED_HWRKDIS,North Macedonia,MALE,PHYS,40.5
2008,SH_MED_HWRKDIS,North Macedonia,MALE,PHYS,40.2
2008,SH_MED_HWRKDIS,North Macedonia,FEMALE,PHYS,59.8
2009,SH_MED_HWRKDIS,North Macedonia,MALE,PHYS,40.6
2009,SH_MED_HWRKDIS,North Macedonia,FEMALE,PHYS,59.4
2010,SH_MED_HWRKDIS,North Macedonia,FEMALE,PHYS,59.3
2010,SH_MED_HWRKDIS,North Macedonia,MALE,PHYS,40.7
2011,SH_MED_HWRKDIS,North Macedonia,MALE,PHYS,41.0
2011,SH_MED_HWRKDIS,North Macedonia,FEMALE,PHYS,59.0
2012,SH_MED_HWRKDIS,North Macedonia,FEMALE,PHYS,59.8
2012,SH_MED_HWRKDIS,North Macedonia,MALE,PHYS,40.2
2013,SH_MED_HWRKDIS,North Macedonia,FEMALE,PHYS,60.3
2013,SH_MED_HWRKDIS,North Macedonia,MALE,PHYS,39.7
2015,SH_MED_HWRKDIS,United Kingdom of Great Britain and Northern Ireland,MALE,NURS,11.3
2015,SH_MED_HWRKDIS,United Kingdom of Great Britain and Northern Ireland,FEMALE,NURS,88.7
2016,SH_MED_HWRKDIS,United Kingdom of Great Britain and Northern Ireland,FEMALE,NURS,88.5
2016,SH_MED_HWRKDIS,United Kingdom of Great Britain and Northern Ireland,MALE,NURS,11.5
2017,SH_MED_HWRKDIS,United Kingdom of Great Britain and Northern Ireland,MALE,NURS,11.5
2017,SH_MED_HWRKDIS,United Kingdom of Great Britain and Northern Ireland,FEMALE,NURS,88.5
2018,SH_MED_HWRKDIS,United Kingdom of Great Britain and Northern Ireland,MALE,NURS,11.4
2018,SH_MED_HWRKDIS,United Kingdom of Great Britain and Northern Ireland,FEMALE,NURS,88.6
2008,SH_MED_HWRKDIS,Узбекистан,FEMALE,PHYS,54.2
2008,SH_MED_HWRKDIS,Узбекистан,MALE,PHYS,45.8
2009,SH_MED_HWRKDIS,Узбекистан,MALE,PHYS,45.9
2009,SH_MED_HWRKDIS,Узбекистан,FEMALE,PHYS,54.1
2010,SH_MED_HWRKDIS,Узбекистан,MALE,PHYS,45.9
2010,SH_MED_HWRKDIS,Узбекистан,FEMALE,PHYS,54.1
2011,SH_MED_HWRKDIS,Узбекистан,MALE,PHYS,46.3
2011,SH_MED_HWRKDIS,Узбекистан,FEMALE,PHYS,53.7
2012,SH_MED_HWRKDIS,Узбекистан,FEMALE,PHYS,53.0
2012,SH_MED_HWRKDIS,Узбекистан,MALE,PHYS,47.0
2013,SH_MED_HWRKDIS,Узбекистан,MALE,PHYS,46.9
2017,SH_MED_HWRKDIS,Denmark,MALE,NURS,4.3
2013,SH_MED_HWRKDIS,Узбекистан,FEMALE,PHYS,53.1
2014,SH_MED_HWRKDIS,Узбекистан,MALE,PHYS,47.3
2014,SH_MED_HWRKDIS,Узбекистан,FEMALE,PHYS,52.7
2014,SH_MED_HWRKDIS,Узбекистан,FEMALE,PHYS,52.7
